         8152944 function calls in 2.642 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    59800    0.005    0.000    0.005    0.000 {method '__array_wrap__' of 'numpy.ndarray' objects}
     2560    0.001    0.000    0.005    0.000 fromnumeric.py:2338(sum)
      150    0.000    0.000    0.004    0.000 reference.py:184(continuous_teaching_reference)
    59800    0.004    0.000    0.004    0.000 _linalg.py:316(_solve_dispatcher)
      150    0.000    0.000    0.003    0.000 reference.py:66(_world_from_cuff)
    60849    0.003    0.000    0.003    0.000 {built-in method builtins.len}
    14880    0.003    0.000    0.003    0.000 fromnumeric.py:70(<dictcomp>)
    25498    0.003    0.000    0.003    0.000 {built-in method builtins.max}
    61460    0.003    0.000    0.003    0.000 {built-in method _operator.index}
    30550    0.003    0.000    0.003    0.000 {built-in method math.atan2}
    32000    0.003    0.000    0.003    0.000 fromnumeric.py:2584(_all_dispatcher)
    30700    0.002    0.000    0.002    0.000 numeric.py:2239(_allclose_dispatcher)
    12320    0.002    0.000    0.002    0.000 {method 'reshape' of 'numpy.ndarray' objects}
    10400    0.002    0.000    0.002    0.000 {method 'update' of 'dict' objects}
    30700    0.002    0.000    0.002    0.000 _linalg.py:492(_unary_dispatcher)
    46910    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
      660    0.001    0.000    0.002    0.000 shape_base.py:220(vstack)
    30700    0.002    0.000    0.002    0.000 numeric.py:2333(_isclose_dispatcher)
    30700    0.002    0.000    0.002    0.000 multiarray.py:690(result_type)
      150    0.000    0.000    0.001    0.000 mpc.py:32(_inverse_model)
      640    0.000    0.000    0.001    0.000 fromnumeric.py:3190(min)
    11680    0.001    0.000    0.001    0.000 fromnumeric.py:3047(_max_dispatcher)
      660    0.001    0.000    0.001    0.000 shape_base.py:80(atleast_2d)
    10400    0.001    0.000    0.001    0.000 {method 'conj' of 'numpy.ndarray' objects}
      150    0.000    0.000    0.001    0.000 reference.py:162(continuous_teaching_joint_reference)
    10400    0.001    0.000    0.001    0.000 _twodim_base_impl.py:241(_diag_dispatcher)
      640    0.001    0.000    0.001    0.000 mpc.py:804(<listcomp>)
      450    0.000    0.000    0.001    0.000 _function_base_impl.py:1505(interp)
       10    0.000    0.000    0.001    0.000 profile_stage4_realtime.py:34(_model)
      150    0.000    0.000    0.000    0.000 fromnumeric.py:2241(clip)
      159    0.000    0.000    0.000    0.000 fromnumeric.py:51(_wrapfunc)
      150    0.000    0.000    0.000    0.000 fromnumeric.py:41(_wrapit)
       10    0.000    0.000    0.000    0.000 numeric.py:1522(cross)
       20    0.000    0.000    0.000    0.000 fromnumeric.py:3869(std)
      660    0.000    0.000    0.000    0.000 shape_base.py:216(_vhstack_dispatcher)
       20    0.000    0.000    0.000    0.000 _methods.py:221(_std)
       20    0.000    0.000    0.000    0.000 fromnumeric.py:3735(mean)
       20    0.000    0.000    0.000    0.000 _methods.py:151(_var)
