condition,n_runs,n_windows,lambda_truth_inclusion_fraction,lambda_optimum_relative_error_median,lambda_optimum_relative_error_p95,lambda_profile_width_95_median,lambda_profile_width_95_p95,lambda_profile_relative_width_95_median,lambda_profile_relative_width_95_p95,truth_radial_weighted_residual_rms_median,truth_radial_weighted_residual_rms_median_abs,truth_radial_weighted_autocorr_lag1_median,truth_radial_weighted_autocorr_lag1_median_abs,truth_radial_weighted_autocorr_lag5_median,truth_radial_weighted_autocorr_lag5_median_abs,truth_radial_weighted_autocorr_lag10_median,truth_radial_weighted_autocorr_lag10_median_abs,truth_radial_weighted_squared_corr_state_magnitude_median,truth_radial_weighted_squared_corr_state_magnitude_median_abs,truth_radial_weighted_squared_corr_state_rate_magnitude_median,truth_radial_weighted_squared_corr_state_rate_magnitude_median_abs,truth_radial_weighted_squared_corr_action_magnitude_median,truth_radial_weighted_squared_corr_action_magnitude_median_abs,truth_angular_weighted_residual_rms_median,truth_angular_weighted_residual_rms_median_abs,truth_angular_weighted_autocorr_lag1_median,truth_angular_weighted_autocorr_lag1_median_abs,truth_angular_weighted_autocorr_lag5_median,truth_angular_weighted_autocorr_lag5_median_abs,truth_angular_weighted_autocorr_lag10_median,truth_angular_weighted_autocorr_lag10_median_abs,truth_angular_weighted_squared_corr_state_magnitude_median,truth_angular_weighted_squared_corr_state_magnitude_median_abs,truth_angular_weighted_squared_corr_state_rate_magnitude_median,truth_angular_weighted_squared_corr_state_rate_magnitude_median_abs,truth_angular_weighted_squared_corr_action_magnitude_median,truth_angular_weighted_squared_corr_action_magnitude_median_abs,ls_radial_weighted_residual_rms_median,ls_radial_weighted_residual_rms_median_abs,ls_radial_weighted_autocorr_lag1_median,ls_radial_weighted_autocorr_lag1_median_abs,ls_radial_weighted_autocorr_lag5_median,ls_radial_weighted_autocorr_lag5_median_abs,ls_radial_weighted_autocorr_lag10_median,ls_radial_weighted_autocorr_lag10_median_abs,ls_radial_weighted_squared_corr_state_magnitude_median,ls_radial_weighted_squared_corr_state_magnitude_median_abs,ls_radial_weighted_squared_corr_state_rate_magnitude_median,ls_radial_weighted_squared_corr_state_rate_magnitude_median_abs,ls_radial_weighted_squared_corr_action_magnitude_median,ls_radial_weighted_squared_corr_action_magnitude_median_abs,ls_angular_weighted_residual_rms_median,ls_angular_weighted_residual_rms_median_abs,ls_angular_weighted_autocorr_lag1_median,ls_angular_weighted_autocorr_lag1_median_abs,ls_angular_weighted_autocorr_lag5_median,ls_angular_weighted_autocorr_lag5_median_abs,ls_angular_weighted_autocorr_lag10_median,ls_angular_weighted_autocorr_lag10_median_abs,ls_angular_weighted_squared_corr_state_magnitude_median,ls_angular_weighted_squared_corr_state_magnitude_median_abs,ls_angular_weighted_squared_corr_state_rate_magnitude_median,ls_angular_weighted_squared_corr_state_rate_magnitude_median_abs,ls_angular_weighted_squared_corr_action_magnitude_median,ls_angular_weighted_squared_corr_action_magnitude_median_abs,truth_score_lambda_normalized_median,truth_score_lambda_normalized_median_abs,truth_score_lambda_normalized_p95_abs,truth_score_kappa_normalized_median,truth_score_kappa_normalized_median_abs,truth_score_kappa_normalized_p95_abs,truth_score_beta_normalized_median,truth_score_beta_normalized_median_abs,truth_score_beta_normalized_p95_abs
clean,3,75,0.44,0.00796681137829851,0.021322213747567174,0.007084144172415319,0.009883137960712163,0.008519018305550977,0.011628803402508275,0.003245939452958564,0.003245939452958564,0.5703253905122477,0.5703253905122477,-0.21355900901398417,0.21355900901398417,0.04362494933400675,0.09497666827107848,-0.33021587004149155,0.357545964825221,0.18736211972692085,0.22529695274004227,0.2757714846351894,0.32918216627877744,0.000781658268074476,0.000781658268074476,0.9483003568057248,0.9483003568057248,0.7548032163951832,0.7548032163951832,0.5383512222558394,0.5383512222558394,-0.1331075430983621,0.9514109085374494,0.602615505432516,0.602615505432516,0.08468545112964188,0.9055116896982839,0.0031975760893755757,0.0031975760893755757,0.5499449701664492,0.5499449701664492,-0.2532927830074275,0.2532927830074275,0.03654713931861898,0.08266004070607916,-0.2797837055285211,0.33282018109904565,0.19065737484385428,0.222587422402377,0.28246988581231774,0.2983157572333403,0.0007551445605746784,0.0007551445605746784,0.9189783932354951,0.9189783932354951,0.679169395040836,0.679169395040836,0.33705298983364074,0.33705298983364074,0.5201270633524372,0.6228357567527296,0.3739272465355116,0.4374942368789965,-0.6231638949115494,0.6586635053678656,-0.19503020273522206,0.19503020273522206,0.7732668822393574,0.07076938924513036,0.08076855562286579,0.1683207494874136,0.00381695628401137,0.14111364817322772,0.4491597788569981
initial_theta_offset,3,87,0.5172413793103449,0.005057417816895704,0.019011823343449263,0.0060132833161329335,0.011994544501146676,0.007232875911476775,0.014449557148458494,0.007047262317652797,0.007047262317652797,0.6454229557005534,0.6454229557005534,-0.003248680589084357,0.08540365584435401,-0.1656336756940414,0.1656336756940414,-0.3705612979755601,0.3705612979755601,0.3402590861100246,0.3432481034202157,0.2828298037432969,0.3370029703607855,0.0006089536781224551,0.0006089536781224551,0.9448005484459969,0.9448005484459969,0.7494943785478259,0.7494943785478259,0.5327235168776014,0.5327235168776014,-0.5945514074718969,0.9350084574177459,0.8267715588557738,0.8267715588557738,0.6394597925824761,0.9131818096400081,0.006853601671546007,0.006853601671546007,0.60456366433095,0.60456366433095,-0.016129463006489313,0.07779887846472082,-0.18896982706088528,0.18896982706088528,-0.3024352627505909,0.3056575898785021,0.2881456382668859,0.29516916877341376,0.23184625400986994,0.29826192009158325,0.0004926071134590374,0.0004926071134590374,0.9093151932553233,0.9093151932553233,0.6782748443676984,0.6782748443676984,0.3891283505952393,0.3891283505952393,0.30432140095308446,0.4267755260833462,0.2903362987797299,0.3166170050534485,-0.5290594631034551,0.6176858521158224,-0.14038743291282252,0.14185432706466677,0.8979293146758012,0.07295618083840065,0.09059580272687608,0.19731981115420513,-0.031919939713562585,0.15919793344910796,0.40892048202815273
noise,3,79,0.6329113924050633,0.004653820793466634,0.01844250112886333,0.009708559742507394,0.01994528928345633,0.011687327335331192,0.023929915724268558,0.006093665694464167,0.006093665694464167,0.6171510680093873,0.6171510680093873,-0.16964151072254693,0.1760156679199867,-0.09215526413488545,0.09991359613811009,-0.2709714294831629,0.33367416662318977,0.22787094204066824,0.2625862013337623,0.22359242630738915,0.28212548728383513,0.0007153305878801323,0.0007153305878801323,0.9253688843137712,0.9253688843137712,0.70592399053461,0.70592399053461,0.4712213077258666,0.4712213077258666,-0.23619212846454626,0.8596260840314385,0.4768896444319577,0.4805773463744142,-0.03957202612275562,0.7250083106841001,0.005815451175662655,0.005815451175662655,0.5902913141454141,0.5902913141454141,-0.1695463274667154,0.17357321780421578,-0.07683284558328465,0.0917599484145911,-0.23821819862854407,0.2963010117495765,0.20254609461552026,0.23696932147011643,0.20163837301277174,0.2609980971418323,0.0007535628444963358,0.0007535628444963358,0.899727665994312,0.899727665994312,0.6019995213792554,0.6019995213792554,0.37363628859273657,0.37363628859273657,0.44619567741831795,0.7262260594573077,0.47856909598979125,0.5458468423462518,-0.5009375366080372,0.5856423664245759,0.016731913505122945,0.11111499150982052,0.5255340765685677,0.055736257303275485,0.08392216969376926,0.20547372836534283,-0.079361044054634,0.16167470786280516,0.39317057050036025
noise_bias,3,73,0.589041095890411,0.006109025002441371,0.019471239048057115,0.009766121174597853,0.015446084631051765,0.011703790173865313,0.01843257779697082,0.007443929327359231,0.007443929327359231,0.5469280944054206,0.5469280944054206,-0.08728427365185497,0.12504404776676667,-0.01823766540581888,0.10963187838078305,-0.2755732762760491,0.3566355138828794,0.22879341259405098,0.2698381195595336,0.21516589882689605,0.28270263197124623,0.0008829239327146411,0.0008829239327146411,0.9241192471806104,0.9241192471806104,0.7015136541628585,0.7015136541628585,0.4948024318787589,0.4948024318787589,0.04881099868307598,0.8545580567951006,0.46974534956170233,0.4829216073737936,-0.20321316220326927,0.7951885980299807,0.00718703088652386,0.00718703088652386,0.5368506488279368,0.5368506488279368,-0.15218040394707244,0.16248815461248722,-0.024616411407376415,0.10453201006261746,-0.22322822953602656,0.36124909596061006,0.20682880991850963,0.2500893415186138,0.18135719687089663,0.278562476455877,0.0008907262035836444,0.0008907262035836444,0.8826358385857951,0.8826358385857951,0.6111414010277082,0.6111414010277082,0.40643920380923776,0.40643920380923776,0.5353594292886421,0.6619503786505352,0.3410297126554929,0.39965702534176906,-0.5066883114761426,0.6177852642753429,-0.010626840800347594,0.13555420261940887,0.6506520202248954,0.07074608191461837,0.08242521504797172,0.22488653829313415,-0.012584913202714858,0.1440280559536289,0.40225636104807877
stronger_noise,3,90,0.6333333333333333,0.006887338402807997,0.03481351091751335,0.014158233485669192,0.02712072647307939,0.016920428536731626,0.03365537035023515,0.013933463113017457,0.013933463113017457,0.6567717583093606,0.6567717583093606,-0.08048914885321429,0.16580043662876348,-0.03741905294245193,0.06372794553048187,-0.12931757546458078,0.2743846581052784,0.11702765489260872,0.2415775588667702,0.1559156740460348,0.20890912035569498,0.0010615129674534753,0.0010615129674534753,0.9079408358290368,0.9079408358290368,0.6592315306972103,0.6592315306972103,0.45332640523358186,0.45332640523358186,-0.07575843146111119,0.7522385464426211,0.5003689031897427,0.5003689031897427,-0.15030885750494938,0.7348919168668064,0.012398866839574144,0.012398866839574144,0.5676124425704119,0.5676124425704119,-0.1393028757277947,0.14337940018988177,-0.05135895316717247,0.07605434601199226,-0.13902859511389698,0.23087074485578765,0.11015169270321507,0.2149459140625801,0.16224505867383643,0.18177015166188296,0.0014641826568480964,0.0014641826568480964,0.870869155922126,0.870869155922126,0.5510913218333533,0.5510913218333533,0.37837453464555704,0.37837453464555704,0.205156132516905,0.716730059078404,0.41996899250270125,0.45970899007814586,-0.3110594751981445,0.7229619052711191,0.10020186396242367,0.1642490875305866,0.5262246204131745,0.0870098169695765,0.12741644795072365,0.35446238262907565,-0.1663623040627667,0.18733587660431272,0.6766483714667025
mass_mismatch,3,150,0.4,0.006529233121716072,0.01625729143635084,0.008002647915801742,0.013709177556891938,0.009466660643440723,0.016522879100845926,0.0007507349099053423,0.0007507349099053423,0.5952167699950603,0.5952167699950603,-0.013100110417137573,0.15626207363558897,-0.03491001833218536,0.08841219165716141,-0.35947059893730093,0.35947059893730093,0.31423176692353805,0.31423176692353805,0.27393868648866626,0.27393868648866626,0.0005299530580164801,0.0005299530580164801,0.9409843030963665,0.9409843030963665,0.761117630457796,0.761117630457796,0.55273992917987,0.55273992917987,-0.9293222500790754,0.9564621659730428,0.9333707086005871,0.9333707086005871,0.8182323466973813,0.905981999600387,0.0007719792696480005,0.0007719792696480005,0.5335097808194291,0.5335097808194291,-0.19846188279386615,0.20234688100561782,-0.1974083642024117,0.1974083642024117,-0.3726033524494065,0.3726033524494065,0.2837630072291184,0.2837630072291184,0.25460646846958934,0.25460646846958934,0.00011836698127732707,0.00011836698127732707,0.8864208577265946,0.8864208577265946,0.65400469416757,0.65400469416757,0.42379445408285465,0.42379445408285465,0.12372674301591596,0.5159089534406337,0.3090548865752881,0.4615346639997141,-0.34133712974780406,0.43992983156833454,-0.1844339556278439,0.20678363251366588,0.680946978520826,0.028251627573830686,0.12276740748782625,0.5233198741592653,-0.1507088388847725,0.15557638591872158,0.7601162470822287
parameter_mismatch_low_k,3,84,0.39285714285714285,0.01116440598928985,0.020429605444485688,0.004708562894400137,0.009854887832389525,0.005548383664791054,0.011845831595132904,0.002400384824040231,0.002400384824040231,0.5411966067117946,0.5411966067117946,-0.14960594651931813,0.19215138534836151,0.031528971132679495,0.11730787240482374,-0.4508788389906515,0.4542449918455159,0.36362258613180626,0.36362258613180626,0.4408494516975918,0.4463225330239217,0.0006473263599610889,0.0006473263599610889,0.9472866547656628,0.9472866547656628,0.7561664325237523,0.7561664325237523,0.5170528157707357,0.5170528157707357,-0.5952619934764092,0.9508932626824873,0.8728848828591168,0.8728848828591168,0.5771689560021596,0.8805202360077392,0.0021072534645406064,0.0021072534645406064,0.5168255642802992,0.5168255642802992,-0.18388845547114735,0.18388845547114735,-0.010505192327492535,0.10938250216905887,-0.38029230834599853,0.38811471387516416,0.3394456202737666,0.3394456202737666,0.4076458170232456,0.4076458170232456,0.0004929585516522928,0.0004929585516522928,0.8866787123124489,0.8866787123124489,0.5769864052964823,0.5769864052964823,0.20487175528622398,0.22987919526751716,0.03660377693138759,0.5616099583727389,0.2956168188863656,0.38049826555255906,-0.17665571402402025,0.5810326009328383,-0.4784475367195873,0.4784475367195873,0.8249476560296086,0.06327601567941024,0.07339921604905802,0.3366108137212856,-0.014299952015441014,0.08420436446464613,0.5101095484088748
parameter_mismatch_high_k,3,72,0.4166666666666667,0.007344504167301524,0.02371567353112529,0.003971084450992701,0.007447325326810583,0.004698776675378298,0.008730776689645172,0.002998100861790762,0.002998100861790762,0.5017259408035499,0.5017259408035499,-0.10339075774272409,0.11250792840893972,-0.01825897856919341,0.05252517744193506,-0.29811143795504974,0.3610632094130037,0.23357658306950876,0.2565498605278931,0.24897425326799605,0.34835410827775154,0.0008700643791469312,0.0008700643791469312,0.9498474340992805,0.9498474340992805,0.7551798814275801,0.7551798814275801,0.5262509797183101,0.5262509797183101,0.0058764442472027945,0.9595886339025101,0.4793350515160488,0.4793350515160488,-0.25837092674459566,0.916715505652479,0.002918450354002383,0.002918450354002383,0.4847483764854865,0.4847483764854865,-0.1317669019682253,0.1317669019682253,-0.03745313033044477,0.05048957240306877,-0.29866075309561213,0.36369143855563857,0.20770840460247778,0.2484271488878249,0.22461867957270204,0.3749788841965453,0.0004786420789298539,0.0004786420789298539,0.9209867521405912,0.9209867521405912,0.675961653358013,0.675961653358013,0.3331294700438422,0.3331294700438422,0.383291704393542,0.6818744172715234,0.17054176380630476,0.3661463183663707,-0.5868519821978977,0.6590251451075864,-0.32827319731656246,0.32827319731656246,0.8568977924156997,0.058787573245001126,0.11553830958731133,0.244070604337311,0.016099052248879572,0.09881651315711881,0.373987203309889
overall,24,710,0.4943661971830986,0.006483321436141542,0.02145215942623393,0.008066582600139538,0.016395433150748685,0.009510775756238666,0.019534203735112096,0.0052365184432166985,0.0052365184432166985,0.5998878050180392,0.5998878050180392,-0.09445902415982782,0.14597345470768275,-0.04022377924140212,0.10033455751658278,-0.2976131201120956,0.36178051086087787,0.24214693838851983,0.2730879219871055,0.2606899680497029,0.3101295865277779,0.0007138368210991008,0.0007138368210991008,0.9406766504181606,0.9406766504181606,0.7443411598600632,0.7443411598600632,0.5297891914601229,0.5297891914601229,-0.44647430078723915,0.9279200194793974,0.677132990066829,0.6844100398889496,0.2874592768621964,0.8663958853486989,0.005162319670223156,0.005162319670223156,0.5471507443819668,0.5471507443819668,-0.1565554802268981,0.16502718220958112,-0.07698015187805862,0.10739587244350238,-0.280187440055489,0.33282018109904565,0.23077555044913417,0.2575053111872732,0.23732419064302393,0.29281982903219783,0.0007484012370588614,0.0007484012370588614,0.8937377723994302,0.8937377723994302,0.628176658498226,0.628176658498226,0.3741281470468598,0.3741281470468598,0.2378820189852502,0.5985469552623941,0.3337500667517629,0.4281830857519383,-0.397962957624689,0.6117042058273227,-0.13018756539185117,0.1814578069196956,0.8086238613193623,0.0585377498782782,0.09959108650061167,0.3206603055236657,-0.07150988766575958,0.15055710819808865,0.6096434709241743
