method,family,condition,target_reached,final_theta_deg,T_reach,done_reason,alpha_violation_count,alpha_mean_severity,alpha_p95_severity,alpha_p99_severity,alpha_max_severity,alpha_clipped_max_excluding_top1,alpha_violation_duration_s,alpha_integrated_violation,early_alpha_mean_severity,early_alpha_p95_severity,early_alpha_p99_severity,early_alpha_max_severity,late_alpha_mean_severity,late_alpha_p95_severity,late_alpha_p99_severity,late_alpha_max_severity,omega_violation_count,omega_mean_severity,omega_p95_severity,omega_max_severity,delta_r_violation_count,delta_r_mean_severity,delta_r_max_severity,F_tan_violation_count,F_rad_violation_count,force_violation_count,mean_action_magnitude,max_action_magnitude,action_smoothness,action_total_variation,cem_runtime_s,action_parameterization_mode,num_action_knots,move_block_size,lowpass_beta,solver_safety_mode,alpha_soft_weight,notes
u_knots_4,u_knots,noise,True,90.17473413007586,6.119999999999914,target_reached,237,0.5565478314596102,2.145016884407781,5.855234321061452,9.191883526936763,8.770329539073465,2.37,3.4116382068474103,1.993968865263069,8.464841987669411,8.985322072883747,9.191883526936763,0.4288905460418963,1.982140418161931,3.4156063580747644,5.865634048579073,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,5.048130820199269,7.36893748511069,0.2060466002151468,126.10051933166986,103.38525574999949,u_knots,4,1,0.5,off,1.0,sample 4 action knots and interpolate over horizon
u_knots_4,u_knots,noise_bias,False,89.5534870454537,nan,max_time,258,0.4506948651275186,2.315578360400133,5.365837732233209,9.30297339600257,8.87530751553908,2.58,3.6145728183226993,1.8462241939175486,8.228406132968711,9.093417114575459,9.30297339600257,0.35790701081967086,1.9635920069081199,3.1785890229579508,4.319430451072472,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,4.340498442735785,7.483214630953147,0.17818276724715054,142.72439656496758,135.81914362499992,u_knots,4,1,0.5,off,1.0,sample 4 action knots and interpolate over horizon
u_knots_6,u_knots,clean,True,90.01487043898922,2.4099999999999926,target_reached,137,1.5333770577256813,4.908076052501076,8.489428332911306,10.46829561521119,10.084754037796674,1.37,3.7107724796961485,2.117851948326699,5.66428915136621,6.584323460810012,6.635426899297075,1.3811700549649994,4.895650378083438,9.805427874963632,10.46829561521119,70,0.10012871302400089,0.5483677982157282,0.8065331832980569,0,0.0,0.0,0,0,0,5.071709642674966,8.318296753563638,0.2618009185316714,63.09402136613281,41.56318479199945,u_knots,6,1,0.5,off,1.0,sample 6 action knots and interpolate over horizon
u_knots_6,u_knots,noise,True,90.01284036250536,7.22999999999989,target_reached,254,1.3051330190529333,5.54188112155433,15.521438528278157,47.13585838389158,47.12922869599383,2.54,9.449163057943238,1.8725502338658822,6.548598400489932,7.865315979505682,8.955799430538683,1.2630397538590947,5.467514272172383,15.992569544198963,47.13585838389158,67,0.023541620119082875,0.17261793148201582,0.9703018211943217,0,0.0,0.0,0,0,0,2.967036451524139,7.897687843930571,0.20042939586089095,144.91045320742415,123.22288120800113,u_knots,6,1,0.5,off,1.0,sample 6 action knots and interpolate over horizon
u_knots_6,u_knots,noise_bias,True,90.04280166741349,4.6399999999999455,target_reached,191,1.3170537452013586,5.3358629676971265,8.82762729196321,39.48552558409471,38.82703279875941,1.9100000000000001,6.124299915186318,1.882325442335138,7.563240933419268,8.379717332093627,8.99241303840639,1.248948721450301,4.8287861786946475,8.724668709002897,39.48552558409471,46,0.01877807669151262,0.14053455170357007,0.49808570697083865,0,0.0,0.0,0,0,0,3.7415710428203193,7.893706537334449,0.19631744925992184,91.09129645660373,79.79206049999993,u_knots,6,1,0.5,off,1.0,sample 6 action knots and interpolate over horizon
du_knots_4,du_knots,clean,False,-38.333011113811196,nan,max_time,618,6.577112173582993,19.042956877239902,26.381162214616023,43.10655478222607,42.75323200504449,6.18,52.74843963213561,13.315788966484428,36.33830720379403,42.933426621407094,43.10655478222607,6.129061854906036,18.457170650962432,23.53411918281412,27.469133026873735,122,0.10179495944742206,0.7009129237025278,2.2506624702036593,0,0.0,0.0,0,0,0,4.778663789411625,11.630068659357292,0.5319170491869188,426.065556398722,55.70777341699977,du_knots,4,1,0.5,off,1.0,"sample 4 delta-action knots, interpolate deltas, integrate and clip actions"
du_knots_4,du_knots,noise,False,-39.86259700316419,nan,max_time,608,6.066153779920146,18.08134953051627,28.867855227045137,45.33232059780561,45.062865317789445,6.08,48.65055331495957,12.362159371181395,35.92099292459598,45.20028751059769,45.33232059780561,5.647536386884158,17.102152745100813,26.094901226502735,30.66647851691902,123,0.1109206074189815,0.8316775421360837,2.428266949882011,0,0.0,0.0,0,0,0,4.884141540982751,11.987960199093092,0.5349958067246315,428.53164118642985,56.02482541699828,du_knots,4,1,0.5,off,1.0,"sample 4 delta-action knots, interpolate deltas, integrate and clip actions"
du_knots_4,du_knots,noise_bias,False,-34.08332346218311,nan,max_time,621,6.277009149415833,20.611865204429584,28.156576072208097,34.299268079800996,34.18696105076258,6.21,50.34161337831498,13.867939912533819,31.758649486574214,34.24423763557217,34.299268079800996,5.772293008251074,18.046080114626545,25.233308008486055,31.300169232851317,102,0.09547548396611692,0.6800012768191905,2.3200169468806635,0,0.0,0.0,0,0,0,4.763257756656769,9.945322337256894,0.5153352512490951,412.7835362505252,55.78971674999957,du_knots,4,1,0.5,off,1.0,"sample 4 delta-action knots, interpolate deltas, integrate and clip actions"
du_knots_6,du_knots,clean,False,-21.58139312876638,nan,max_time,609,6.067373503982756,19.048017864408898,22.396362261791396,23.537211660199333,23.18164831006064,6.09,48.6603355019417,6.844565092588328,19.35531306057458,19.803776439332374,20.04566869739748,6.015698531336109,18.584205773090513,22.48248040339175,23.537211660199333,185,0.1053924453324315,0.7353434298415257,1.4246943711586646,0,0.0,0.0,0,0,0,6.005293056283487,10.31309546468889,0.5930638469973509,475.04414144487805,79.82651129100122,du_knots,6,1,0.5,off,1.0,"sample 6 delta-action knots, interpolate deltas, integrate and clip actions"
du_knots_6,du_knots,noise,False,-24.473437990163877,nan,max_time,599,5.8407003935908435,18.198722816046434,21.368408769760105,24.569610153225916,23.850483502119577,5.99,46.842417156598565,4.3613875790004935,18.26916871230883,19.93522411813645,20.137586833286623,5.939058958390735,18.17832737999965,21.384368013892892,24.569610153225916,71,0.02479222413241744,0.18570650481067516,0.9119450418864046,0,0.0,0.0,0,0,0,5.99950530411883,9.92694247833716,0.5966590126306904,477.923869117183,80.52131508300045,du_knots,6,1,0.5,off,1.0,"sample 6 delta-action knots, interpolate deltas, integrate and clip actions"
