phase,method,condition,seed,target_crossed,target_reached,actual_crossing_time,T_reach,final_theta_deg,final_theta_error_signed_deg,planner_success,planner_status,planner_solve_time_s,planner_iterations,planned_alpha_peak,planned_crossing_time,planner_terminal_crossing_margin_deg,planner_F_tan_margin,planner_F_rad_margin,planner_delta_r_margin,planner_omega_margin,tracker_solver_success_count,tracker_solver_failure_count,tracker_solver_failure_rate,fallback_count,fallback_rate,tracker_solve_time_mean,tracker_solve_time_max,tracking_error_mean,tracking_error_max,alpha_abs_mean,alpha_abs_p95,alpha_abs_p99,alpha_abs_max,alpha_p95_severity,alpha_p99_severity,alpha_max_severity,alpha_violation_duration_s,alpha_integrated_violation,alpha_clipped_max,raw_omega_p95,raw_omega_max,delta_r_violation_count,delta_r_violation_max,force_violation_count,force_violation_max,action_magnitude_mean,action_magnitude_max,action_total_variation,runtime_s
phase1_initial_theta_offset,baseline_cem,initial_theta_offset,103,True,True,1.6000000000000012,1.6000000000000012,90.05783227516439,0.05783227544493973,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.8857751599743064,7.826392872455695,8.247382223214187,0.9,2.3926445312569897,7.9700359220486146,nan,nan,0,nan,0,nan,nan,nan,0.2658264699514573,27.22141416699742
phase1_initial_theta_offset,nmpc_base,initial_theta_offset,103,False,False,nan,nan,89.94724859591334,-0.052751403806107156,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,267,0,0.0,0,0.0,0.0317463595135624,0.1447712499939371,nan,nan,nan,nan,nan,nan,0.0,2.673539568114706,3.137920413548983,0.3,0.35810942449608746,3.0297898987010656,nan,nan,0,nan,0,nan,nan,nan,0.01955397209434216,20.16167020899593
phase1_initial_theta_offset,nmpc_crossing_weighted,initial_theta_offset,103,True,True,1.400000000000001,1.400000000000001,90.13903263678993,0.13903263707049013,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,47,0,0.0,0,0.0,0.03321047778739197,0.06934237500536256,nan,nan,nan,nan,nan,nan,0.7287366213657136,26.13371250099277,27.07101946794442,0.17,1.060802306078881,26.363427717214098,nan,nan,0,nan,0,nan,nan,nan,0.18755192414803484,2.876871749991551
phase1_initial_theta_offset,oracle_planner_nmpc_tracker,initial_theta_offset,103,True,True,1.8000000000000014,1.8000000000000014,90.03233129723152,0.03233129751206593,True,Solve_Succeeded,0.06927029199141543,14,2.955387145933049,1.7999999999999998,0.13513107563974858,27.831960115396694,0.5996326876665877,0.046934027686348245,0.020391673833911383,180,0,0.0,0,0.0,0.019158245200621118,0.04349916700448375,0.03756580082713233,0.08825878972971787,1.4386895750426387,2.918269452977201,2.9702385138823924,2.996437212404625,0.0,0.0,0.0,0.0,0.0,0.0,1.1821884588576026,1.1845948646919722,0,0.0,0,0.0,4.415355035110901,7.21471155146926,14.93259010010198,1.8974801659933291
phase1_initial_theta_offset,oracle_planner_nmpc_tracker_with_cem_fallback,initial_theta_offset,103,True,True,1.8000000000000014,1.8000000000000014,90.03233129723152,0.03233129751206593,True,Solve_Succeeded,0.0576799169939477,14,2.955387145933049,1.7999999999999998,0.13513107563974858,27.831960115396694,0.5996326876665877,0.046934027686348245,0.020391673833911383,180,0,0.0,0,0.0,0.019210742348999096,0.04496787500102073,0.03756580082713233,0.08825878972971787,1.4386895750426387,2.918269452977201,2.9702385138823924,2.996437212404625,0.0,0.0,0.0,0.0,0.0,0.0,1.1821884588576026,1.1845948646919722,0,0.0,0,0.0,4.415355035110901,7.21471155146926,14.93259010010198,1.887902792004752
phase2_regression,baseline_cem,clean,101,True,True,2.2799999999999954,2.2799999999999954,90.00147205481456,0.0014720550951010977,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.300254113901126,8.84841596849289,10.34220315549235,0.91,2.3724275116395392,9.876004553504083,nan,nan,0,nan,0,nan,nan,nan,0.21724520520980106,38.22364066699811
phase2_regression,nmpc_base,clean,101,True,True,2.099999999999999,2.099999999999999,90.05607966231653,0.05607966259708274,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,70,0,0.0,0,0.0,0.06520477685699007,0.12716691700916272,nan,nan,nan,nan,nan,nan,2.8997158679894297,3.201436209503789,3.3080968449449273,0.29,0.3936831917989113,3.2324607278166475,nan,nan,0,nan,0,nan,nan,nan,0.07139755730052312,8.72883845900651
phase2_regression,nmpc_crossing_weighted,clean,101,True,True,1.270000000000001,1.270000000000001,90.15076207284329,0.15076207312384124,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,43,0,0.0,0,0.0,0.03537693320940043,0.07276870899659116,nan,nan,nan,nan,nan,nan,2.3237455422385604,21.994095846750934,22.955371111955643,0.1,0.958326633759418,22.157514332027926,nan,nan,0,nan,0,nan,nan,nan,0.191685009365899,2.647536542004673
phase2_regression,oracle_planner_nmpc_tracker,clean,101,True,True,1.7200000000000013,1.7200000000000013,90.04586730869896,0.045867308979516686,True,Solve_Succeeded,0.05552033300045878,13,2.941564423690245,1.7999999999999998,0.477862262410852,27.89111292840151,0.6069202842606982,0.046928487726560775,0.02595656692330972,172,0,0.0,0,0.0,0.01778861726263638,0.04629225000098813,0.03322408960712058,0.0869990016718955,1.3125291434018302,2.879701164892937,2.9601789521987456,3.1789462217011697,0.0,0.004908724643931619,0.1789462217011697,0.02,0.0019647738114378253,0.017531159442612854,1.1742037787842825,1.177777689434928,0,0.0,0,0.0,4.123749979232533,7.146296487205803,14.63701050319243,1.7615040829987265
phase2_regression,oracle_planner_nmpc_tracker_with_cem_fallback,clean,101,True,True,1.7200000000000013,1.7200000000000013,90.04586730869896,0.045867308979516686,True,Solve_Succeeded,0.05786054200143553,13,2.941564423690245,1.7999999999999998,0.477862262410852,27.89111292840151,0.6069202842606982,0.046928487726560775,0.02595656692330972,172,0,0.0,0,0.0,0.018021160429905352,0.0774738750042161,0.03322408960712058,0.0869990016718955,1.3125291434018302,2.879701164892937,2.9601789521987456,3.1789462217011697,0.0,0.004908724643931619,0.1789462217011697,0.02,0.0019647738114378253,0.017531159442612854,1.1742037787842825,1.177777689434928,0,0.0,0,0.0,4.123749979232533,7.146296487205803,14.63701050319243,1.7662569999956759
