method,condition,seed,call_type,step,t,state_source,parameter_source,state_theta,state_omega,state_r,state_r_dot,param_m,param_k,param_b_r,controller_object_id,tracker_object_id,run_instance,plan_X_object_id,plan_U_object_id,action_F_tan,action_F_rad,solver_success,solver_status,tracker_predicted_alpha,tracker_constraint_slack
oracle_planner_tracker,clean,101,tracker,42,0.4200000000000002,true,true,0.3715438382324884,1.1512950395312669,0.34615281227423167,-0.01147761824831113,1.2,450.0,18.0,4865732720,4865736272,oracle_planner_tracker-1783953972764505000-4865732720,4865848880,4865848976,6.678705157884342,0.03111570901722832,True,Solve_Succeeded,0.7446728499189778,9.104040805977633e-05
oracle_planner_tracker,clean,101,tracker,45,0.45000000000000023,true,true,0.40638264594054685,1.1736422248741396,0.34580777835934245,-0.011861657139418839,1.2,450.0,18.0,4865732720,4865736272,oracle_planner_tracker-1783953972764505000-4865732720,4865848880,4865848976,6.516963867649815,0.028289496838387752,True,Solve_Succeeded,0.13769755120934443,9.103302486626616e-05
oracle_planner_tracker,clean,101,tracker,48,0.48000000000000026,true,true,0.441612159796435,1.177777689434928,0.34544336409739096,-0.012655101267098238,1.2,450.0,18.0,4865732720,4865736272,oracle_planner_tracker-1783953972764505000-4865732720,4865848880,4865848976,6.411552411676576,0.026419364274369937,True,Solve_Succeeded,-0.009509246703117332,9.102702210271946e-05
oracle_planner_tracker,clean,101,tracker,51,0.5100000000000002,true,true,0.47689477508628136,1.1774935816892294,0.3450527438286831,-0.01345566614206059,1.2,450.0,18.0,4865732720,4865736272,oracle_planner_tracker-1783953972764505000-4865732720,4865848880,4865848976,6.315265986819937,0.024823143650056567,True,Solve_Succeeded,-0.033858746588344424,9.102770168388456e-05
oracle_planner_tracker,clean,101,tracker,54,0.5400000000000003,true,true,0.5121530953377735,1.1764779819888556,0.34464409634583437,-0.013823478155921685,1.2,450.0,18.0,4865732720,4865736272,oracle_planner_tracker-1783953972764505000-4865732720,4865848880,4865848976,6.212731526096871,0.023312505290864115,True,Solve_Succeeded,-0.039441551087378755,9.10290644321363e-05
oracle_planner_tracker,clean,101,tracker,57,0.5700000000000003,true,true,0.5473732995613144,1.1752952861501422,0.3442312489149265,-0.013769910114516887,1.2,450.0,18.0,4865732720,4865736272,oracle_planner_tracker-1783953972764505000-4865732720,4865848880,4865848976,6.101112754923355,0.0218337530591864,True,Solve_Succeeded,-0.043770807006519405,9.103048057138218e-05
oracle_planner_tracker,clean,101,tracker,60,0.6000000000000003,true,true,0.5825508503082156,1.1739833116417535,0.34382397969715617,-0.013491594733124963,1.2,450.0,18.0,4865732720,4865736272,oracle_planner_tracker-1783953972764505000-4865732720,4865848880,4865848976,5.980190606328015,0.020391368093152278,True,Solve_Succeeded,-0.04875735858214103,9.103173820451905e-05
oracle_planner_tracker,clean,101,tracker,63,0.6300000000000003,true,true,0.617681649096773,1.17252211359867,0.3434264545999027,-0.013144129643155764,1.2,450.0,18.0,4865732720,4865736272,oracle_planner_tracker-1783953972764505000-4865732720,4865848880,4865848976,5.850185731136777,0.018993666650268415,True,Solve_Succeeded,-0.05457187504567251,9.10320460529185e-05
oracle_planner_tracker,clean,101,tracker,66,0.6600000000000004,true,true,0.6527609863496716,1.1708866240425155,0.3430395244687343,-0.012794494083148254,1.2,450.0,18.0,4865732720,4865736272,oracle_planner_tracker-1783953972764505000-4865732720,4865848880,4865848976,5.71137817717938,0.017641525491503073,True,Solve_Succeeded,-0.06133065780618008,9.103205252673222e-05
oracle_planner_tracker,clean,101,tracker,69,0.6900000000000004,true,true,0.6877833699039293,1.1690483897792354,0.34266298548344526,-0.012453034491675785,1.2,450.0,18.0,4865732720,4865736272,oracle_planner_tracker-1783953972764505000-4865732720,4865848880,4865848976,5.564050060855097,0.016332066327116115,True,Solve_Succeeded,-0.06921539470772231,9.103174833672623e-05
