row_type,condition,method,n,target_crossed_mean,crossing_time_mean,true_alpha_p95_mean,true_alpha_p99_mean,true_alpha_max_mean,alpha_violation_duration_mean,alpha_violation_integral_mean,state_tracking_rmse_mean,crossing_time_successful_only_mean,target_crossed_oracle,target_crossed_state_contribution,target_crossed_parameter_contribution,target_crossed_full_gap,target_crossed_interaction_residual,crossing_time_oracle,crossing_time_state_contribution,crossing_time_parameter_contribution,crossing_time_full_gap,crossing_time_interaction_residual,true_alpha_p95_oracle,true_alpha_p95_state_contribution,true_alpha_p95_parameter_contribution,true_alpha_p95_full_gap,true_alpha_p95_interaction_residual,true_alpha_p99_oracle,true_alpha_p99_state_contribution,true_alpha_p99_parameter_contribution,true_alpha_p99_full_gap,true_alpha_p99_interaction_residual,true_alpha_max_oracle,true_alpha_max_state_contribution,true_alpha_max_parameter_contribution,true_alpha_max_full_gap,true_alpha_max_interaction_residual,alpha_violation_duration_oracle,alpha_violation_duration_state_contribution,alpha_violation_duration_parameter_contribution,alpha_violation_duration_full_gap,alpha_violation_duration_interaction_residual,alpha_violation_integral_oracle,alpha_violation_integral_state_contribution,alpha_violation_integral_parameter_contribution,alpha_violation_integral_full_gap,alpha_violation_integral_interaction_residual,state_tracking_rmse_oracle,state_tracking_rmse_state_contribution,state_tracking_rmse_parameter_contribution,state_tracking_rmse_full_gap,state_tracking_rmse_interaction_residual
method_aggregate,noise,oracle_planner_tracker,3,1.0,1.7200000000000013,2.879701164892937,2.9601789521987456,3.1789462217011697,0.02,0.0019647738114378253,0.03844230222815747,1.7200000000000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_aggregate,noise,state_error_only,3,1.0,1.7100000000000015,2.949224501410327,3.0625836907228536,3.2622169436079727,0.08,0.006423918647694495,0.04059984846172509,1.7100000000000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_aggregate,noise,parameter_error_only,3,1.0,2.976666666666647,3.172648904650615,6.314322933209894,6.363365804818863,0.2733333333333334,0.415481820130756,0.6906281003656992,2.976666666666647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_aggregate,noise,fixed_nominal_planner_tracker,3,0.0,nan,3.2730221968658157,6.010543191571539,6.488911979547443,1.0,0.8806913089562878,2.125382398661436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_aggregate,noise,full_adaptive_planner_tracker,3,1.0,3.2533333333333077,3.1972073245574144,6.111890125179589,6.488911979547443,0.3466666666666667,0.41283950236810446,0.6227647960206805,3.2533333333333077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decomposition,noise,gap_decomposition,3,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.7200000000000013,-0.009999999999999787,1.2566666666666457,1.5333333333333063,0.2866666666666604,2.879701164892937,0.06952333651739018,0.29294773975767807,0.3175061596644775,-0.044964916610590766,2.9601789521987456,0.10240473852410803,3.3541439810111484,3.1517111729808436,-0.30483754655441286,3.1789462217011697,0.08327072190680296,3.1844195831176934,3.3099657578462733,0.042275452821777026,0.02,0.06,0.25333333333333335,0.32666666666666666,0.013333333333333308,0.0019647738114378253,0.00445914483625667,0.4135170463193182,0.4108747285566666,-0.007101462598908204,0.03844230222815747,0.00215754623356762,0.6521857981375417,0.584322493792523,-0.07002085057858631
method_aggregate,noise_bias,baseline_cem,3,1.0,2.2499999999999916,7.723034014688996,10.153456483622076,11.963025324904068,0.9266666666666667,2.185425525803702,nan,2.2499999999999916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_aggregate,noise_bias,oracle_planner_tracker,3,1.0,1.7200000000000013,2.879701164892937,2.9601789521987456,3.1789462217011697,0.02,0.0019647738114378253,0.03844230222815747,1.7200000000000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_aggregate,noise_bias,state_error_only,3,1.0,1.700000000000001,2.883278378339032,3.050828185052376,3.3134731949244696,0.02666666666666667,0.0058203394732452484,0.04249980033187193,1.700000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_aggregate,noise_bias,parameter_error_only,3,1.0,2.959999999999981,3.2383134497497807,6.314391657580252,6.363365804818863,0.3033333333333334,0.42181229744909293,0.6704738747714041,2.959999999999981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_aggregate,noise_bias,fixed_nominal_planner_tracker,3,0.0,nan,3.2779845114589214,6.064250826059957,6.8558399808164125,0.9533333333333335,0.8724617582960169,2.1239205360232067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_aggregate,noise_bias,full_adaptive_planner_tracker,3,1.0,3.0733333333333115,3.3020340530042396,6.190838463608372,6.8558399808164125,0.36000000000000004,0.43888470943304037,0.6300372571623676,3.0733333333333115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decomposition,noise_bias,gap_decomposition,3,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.7200000000000013,-0.02000000000000024,1.2399999999999796,1.3533333333333102,0.13333333333333086,2.879701164892937,0.0035772134460949623,0.3586122848568438,0.42233288811130265,0.06014338980836387,2.9601789521987456,0.09064923285363058,3.3542127053815065,3.230659511409627,-0.21420242682551027,3.1789462217011697,0.13452697322329987,3.1844195831176934,3.676893759115243,0.35794720277424963,0.02,0.006666666666666668,0.2833333333333334,0.34,0.04999999999999999,0.0019647738114378253,0.003855565661807423,0.4198475236376551,0.43691993562160253,0.013216846322139986,0.03844230222815747,0.00405749810371446,0.6320315725432466,0.5915949549342101,-0.04449411571275097
method_aggregate,stronger_noise,baseline_cem,3,1.0,2.216666666666661,9.373187511979841,28.409599104961742,31.007747608759956,1.0133333333333334,3.765911356298668,nan,2.216666666666661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_aggregate,stronger_noise,oracle_planner_tracker,3,1.0,1.7200000000000013,2.879701164892937,2.9601789521987456,3.1789462217011697,0.02,0.0019647738114378253,0.03844230222815747,1.7200000000000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_aggregate,stronger_noise,state_error_only,3,1.0,1.6900000000000013,3.1854351250526327,3.946787959532459,4.212568830193008,0.24,0.06832007359045204,0.05480064084991985,1.6900000000000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_aggregate,stronger_noise,parameter_error_only,3,1.0,2.99999999999998,4.185684620799381,33.75949737935647,34.79593568680999,0.4166666666666667,3.192964672701208,0.7349918996200362,2.99999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_aggregate,stronger_noise,fixed_nominal_planner_tracker,3,0.0,nan,3.351570199028893,6.010186432660433,6.619032895218587,0.9700000000000001,0.9539484065269631,2.1231909269207487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_aggregate,stronger_noise,full_adaptive_planner_tracker,3,1.0,3.639999999999967,4.7228902727587325,25.67088677950173,40.23954556448051,0.57,2.2795934639591544,0.6763990487089817,3.639999999999967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decomposition,stronger_noise,gap_decomposition,3,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.7200000000000013,-0.030000000000000027,1.2799999999999787,1.9199999999999655,0.6699999999999868,2.879701164892937,0.3057339601596958,1.305983455906444,1.8431891078657956,0.23147169179965577,2.9601789521987456,0.9866090073337133,30.799318427157722,22.710707827302983,-9.075219607188451,3.1789462217011697,1.033622608491838,31.61698946510882,37.06059934277934,4.409987269178682,0.02,0.22,0.39666666666666667,0.5499999999999999,-0.06666666666666671,0.0019647738114378253,0.06635529977901422,3.1909998988897703,2.2776286901477167,-0.9797265085210678,0.03844230222815747,0.016358338621762378,0.6965495973918787,0.6379567464808242,-0.07495118953281688
