condition,n_windows,rank3_fraction,sigma_max_median,sigma_mid_median,sigma_min_mean,sigma_min_median,sigma_min_p05,jacobian_condition_median,jacobian_condition_p95,jacobian_condition_max,information_condition_median,information_condition_p95,abs_column_corr_m_k_mean,abs_column_corr_m_k_p95,abs_column_corr_m_b_r_mean,abs_column_corr_m_b_r_p95,abs_column_corr_k_b_r_mean,abs_column_corr_k_b_r_p95,scaled_m_column_norm_median,scaled_k_column_norm_median,scaled_b_r_column_norm_median,affine_rank3_fraction,affine_sigma_min_median,affine_condition_median,affine_condition_p95,affine_abs_corr_lambda_kappa_p95,affine_abs_corr_lambda_beta_p95,affine_abs_corr_kappa_beta_p95
clean,93,1.0,0.7778741720508806,0.08564435904984567,0.008865145511119266,0.0105777516289524,0.0003261887133956202,68.17287031174779,2956.6335819851615,3013.2298570194876,532.5178498011139,969.6759131757594,0.524619062390058,0.9997218235746879,0.4373132896265846,0.9886412113527719,0.7749271505950629,0.9892570554880051,0.5762988031396272,0.5493825963296143,0.01406729408144049,1.0,0.7326765531343862,40.02293034905998,2698.477216493,0.5766542159882555,0.5602149621537892,0.9901438218581428
initial_theta_offset,105,1.0,0.7600679487958109,0.059141225822346835,0.00932431327629559,0.007141729217527799,0.00012165224179939659,101.49612712108961,6326.365043343703,7020.896671944491,484.1076139642839,665.9140689724741,0.5132512378623221,0.9997450165245695,0.4419430438883462,0.9594918104891111,0.6735989046491286,0.9735177663000657,0.5539956243392552,0.46413552542157266,0.011908867347166016,1.0,0.5981473266244784,45.8757025531096,5475.888212705989,0.33869952073705417,0.3136727733547567,0.9747557249525263
mass_mismatch,168,1.0,0.7155436118655959,0.06424797825531703,0.009383327877804376,0.00415809394396898,2.8316976122010205e-05,181.66409911113897,22768.7306003567,23626.329492458935,435.6296437790081,582.4225726203446,0.6492010262376933,0.9999950909405844,0.5978909069159093,0.9995922881218494,0.7413291893972888,0.9995880625837722,0.4495096533711387,0.5367931526774161,0.008148073502644192,1.0,0.36611198015734325,153.1800964055285,18532.039859166398,0.9381137904483078,0.9379344396700499,0.9996144061691868
noise,97,1.0,0.7765735347748762,0.07127540943748122,0.01220444560647221,0.013268061619427856,0.004060235005976552,48.971542448733345,218.05068226563338,250.08956615209956,480.4415738338656,963.5158311203198,0.5093782150920827,0.9990368353713744,0.37469707444378475,0.801543428389307,0.6481892942696491,0.8965058871858524,0.5645291687149044,0.5554985956703081,0.016433271138435294,1.0,0.9059874888266344,33.34041625419895,175.53169887771668,0.5483246784960937,0.4106804466198792,0.8861850428413757
noise_bias,91,1.0,0.7707476591473922,0.0832589888115044,0.012247722931482784,0.013739003221634467,0.004932744714529057,51.59747304774227,191.29175921702767,234.7909515714197,484.7525144532726,904.1834370801455,0.47676055946849,0.9984270148775474,0.31824358357696475,0.7350335123582465,0.6220029394870634,0.8923617807129995,0.5710356265814424,0.4870163776473235,0.01801648988004805,1.0,0.952904402821783,30.004018347746424,159.09703933175285,0.3876233840741444,0.21473190582484303,0.8811946517084827
parameter_mismatch_high_k,90,1.0,0.7563560104810861,0.06687564964201924,0.00836719168881486,0.009109031424615308,0.0002985623787211229,73.40366366689926,2769.6953334078235,3788.058681343419,528.5857133366221,684.7343128329637,0.4896542007977348,0.9994904524340227,0.3917402541911373,0.9731186181515947,0.7139731904825896,0.973691300575168,0.599925930717768,0.3907898637869745,0.012116801325021073,1.0,0.6477771568757211,29.592764474689112,2066.4917581447094,0.42413165823572385,0.39562572349673436,0.9751405120489036
parameter_mismatch_low_k,102,1.0,0.8613796384854229,0.0749892509675627,0.009589922085696253,0.011168821094071173,9.685882957849464e-05,62.691295213732886,11367.625278534833,17988.66855634732,606.6721189171004,1334.4463761582185,0.5555886252074849,0.9999330370634988,0.3738340922924137,0.9613567898024197,0.6581912727468947,0.9613920328224643,0.576127409223028,0.7477987060331079,0.013144873951184828,1.0,0.7044019210538984,52.08406294452878,9257.559172018771,0.6034492286414511,0.6077764346184971,0.9652519862482382
stronger_noise,108,1.0,0.7848296505002468,0.18434235605825328,0.016230628502940197,0.01655686106643339,0.008193847155353902,47.707515103042184,104.4300985384287,117.26840357749194,474.3974179747834,806.9900890211885,0.5071070691034282,0.9916932061948438,0.2971311977570776,0.8173879665804347,0.5501172370824279,0.8953695507013225,0.5130822508735825,0.654149994791615,0.021261717644517626,1.0,1.4404420778930491,38.68867470598856,82.9213212344203,0.7259318407539724,0.3990782729608024,0.8706196693478876
all,854,1.0,0.7600679487958109,0.08363726867615157,0.010728819325129856,0.011035583417221504,9.505001481182201e-05,64.5973787872521,8425.82124072439,23626.329492458935,489.11564916754423,998.1140170838897,0.538698014364691,0.9999085328968524,0.41955910993063855,0.9944713685254434,0.6763721328082449,0.9950837225469457,0.5619678253466871,0.5375009331411043,0.015181932832335484,1.0,0.8053817706914621,42.85444811570571,6919.614902653457,0.6729439745894734,0.6369216208784388,0.994658983994705
