phase,method,condition,seed,target_crossed,crossing_time,final_theta_deg,raw_alpha_mean,raw_alpha_p95,raw_alpha_p99,raw_alpha_max,alpha_violation_count,alpha_violation_p95,alpha_violation_max,alpha_violation_duration,alpha_violation_integral,planned_alpha_abs_p95,planned_alpha_abs_max,executed_alpha_abs_p95,executed_alpha_abs_max,raw_omega_mean,raw_omega_p95,raw_omega_max,omega_violation_count,omega_violation_p95,omega_violation_max,delta_r_violation_count,delta_r_violation_max,force_violation_count,force_violation_max,theta_tracking_error_deg_mean,theta_tracking_error_rad_mean,omega_tracking_error_mean,state_tracking_rmse,state_estimation_error_mean,m_error_final,k_error_final,b_r_error_final,planner_failure_count,planner_solve_mean,planner_solve_p95,planner_solve_max,planner_iterations_mean,tracker_failure_count,tracker_solve_mean,tracker_solve_p95,tracker_solve_max,tracker_iterations_mean,fallback_count,fallback_rate,replan_count,replan_reasons,action_magnitude_mean,action_magnitude_max,action_total_variation,runtime_s
phase1,baseline_cem,initial_theta_offset,101,True,2.479999999999991,90.08902768202869,3.1431761623820424,7.142712335933389,11.16859336011227,13.764156179487744,123,4.142712335933389,10.764156179487744,1.23,2.270314714192675,nan,nan,7.142712335933389,13.764156179487744,0.6426570709182873,1.4314114815208634,1.6594240777312292,25,0.23141148152086338,0.4594240777312293,0,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,0,,4.112658913929254,8.740148734579794,50.22469170337405,42.91875883299508
phase1,oracle_planner_tracker,initial_theta_offset,101,True,1.8000000000000014,90.03233129723152,1.4386895750426387,2.918269452977201,2.9702385138823924,2.996437212404625,0,0.0,0.0,0.0,0.0,2.9443004765181686,2.955387145933049,2.918269452977201,2.996437212404625,0.8621871246014349,1.1821884588576026,1.1845948646919722,0,0.0,0.0,0,0.0,0,0.0,0.8916372174660411,0.015562005178103109,0.028054114999733114,0.03782379756986945,nan,0.0,0.0,0.0,0,0.06178716699650977,0.06178716699650977,0.06178716699650977,14.0,0,0.019253252800505532,0.03696628989127929,0.04533466600696556,5.583333333333333,0,0.0,0,,4.415355035110901,7.21471155146926,14.93259010010198,1.9470896669954527
phase1,fixed_planner_tracker,initial_theta_offset,101,False,nan,-38.544378031799106,2.0290792761405063,3.1988350403832855,5.68150306597058,6.24647971050552,98,0.19883504038328537,3.24647971050552,0.98,0.691519485819499,2.92474181670807,2.939704722062642,3.1988350403832855,6.24647971050552,0.5541114804380073,1.0614663527055326,1.5281625523771096,33,0.0,0.3281625523771097,0,0.0,0,0.0,107.97925176607329,1.8845934671578808,0.6299941611213651,2.088910617553622,0.37801138085615904,0.25,90.0,6.0,0,0.06185020800330676,0.06185020800330676,0.06185020800330676,14.0,0,0.03696057679064481,0.059208167003816925,0.11451058300735895,11.232209737827715,0,0.0,0,,5.462920313471391,5.877573080597315,54.13755330836571,12.383166667001205
phase1,adaptive_planner_tracker,initial_theta_offset,101,True,3.419999999999971,90.00521377394307,1.2047902738585101,3.04035237818124,5.865388158810303,6.24647971050552,24,0.040352378181240045,3.24647971050552,0.24,0.3477138405653472,2.92474181670807,2.939704722062642,3.04035237818124,6.24647971050552,0.5749267993290541,1.1770658690377096,1.1826971131938715,0,0.0,0.0,0,0.0,0,0.0,17.07709097016432,0.29805146409196015,0.34780087966539874,0.5235776220598032,0.022518814024689606,0.20969775677309754,7.206017792170712,0.8434123288595572,0,0.0608151249907678,0.0608151249907678,0.0608151249907678,14.0,0,0.028535841420913737,0.05122884374213752,0.05878287499945145,9.008771929824562,0,0.0,0,,3.480020349251463,7.253426822294575,20.161986481984474,6.258830874998239
phase1,adaptive_planner_tracker_replan,initial_theta_offset,101,True,2.769999999999985,90.01353109355128,1.42130113007182,3.0236370775124,5.914383295436684,6.24647971050552,19,0.02363707751240013,3.24647971050552,0.19,0.33680091703516374,2.995130809359937,2.995952142643112,3.0236370775124,6.24647971050552,0.7096579802754671,1.171388122769123,1.1816839637283858,0,0.0,0.0,0,0.0,0,0.0,1.6543167175902855,0.028873273592735674,0.10806337024471963,0.11897402115260348,0.025939568460129733,0.08380924833824066,47.81600143738592,1.644746833625458,5,0.06723983386168568,0.08277550000639167,0.08277550000639167,15.057761732851986,0,0.024425025393844696,0.04647754201141652,0.05527174999588169,7.227436823104693,0,0.0,2,parameter_change;state_tracking_error,4.261643881071835,7.212328160021527,15.577129781505295,11.222189166990574
phase1,baseline_cem,initial_theta_offset,102,True,2.299999999999995,90.17859899916536,3.195750382563452,8.468317306712953,10.755930335889712,11.413354049377446,97,5.468317306712953,8.413354049377446,0.97,2.4084991883827405,nan,nan,8.468317306712953,11.413354049377446,0.683817554530915,1.5399375782923284,1.637577795963317,39,0.3399375782923283,0.43757779596331714,0,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,0,,4.054914572305008,8.261953791268104,51.91856872517153,39.67917950000265
phase1,oracle_planner_tracker,initial_theta_offset,102,True,1.8000000000000014,90.03233129723152,1.4386895750426387,2.918269452977201,2.9702385138823924,2.996437212404625,0,0.0,0.0,0.0,0.0,2.9443004765181686,2.955387145933049,2.918269452977201,2.996437212404625,0.8621871246014349,1.1821884588576026,1.1845948646919722,0,0.0,0.0,0,0.0,0,0.0,0.8916372174660411,0.015562005178103109,0.028054114999733114,0.03782379756986945,nan,0.0,0.0,0.0,0,0.061787790997186676,0.061787790997186676,0.061787790997186676,14.0,0,0.019685659016977296,0.03972828539481267,0.04467612500593532,5.583333333333333,0,0.0,0,,4.415355035110901,7.21471155146926,14.93259010010198,1.9702075829991372
phase1,fixed_planner_tracker,initial_theta_offset,102,False,nan,-38.544378031799106,2.0290792761405063,3.1988350403832855,5.68150306597058,6.24647971050552,98,0.19883504038328537,3.24647971050552,0.98,0.691519485819499,2.92474181670807,2.939704722062642,3.1988350403832855,6.24647971050552,0.5541114804380073,1.0614663527055326,1.5281625523771096,33,0.0,0.3281625523771097,0,0.0,0,0.0,107.97925176607329,1.8845934671578808,0.6299941611213651,2.088910617553622,0.37801138085615904,0.25,90.0,6.0,0,0.07423370800097473,0.07423370800097473,0.07423370800097473,14.0,0,0.03659109570037387,0.05865291600639466,0.07578754199494142,11.232209737827715,0,0.0,0,,5.462920313471391,5.877573080597315,54.13755330836571,12.303569957992295
phase1,adaptive_planner_tracker,initial_theta_offset,102,True,3.419999999999971,90.00521377394307,1.2047902738585101,3.04035237818124,5.865388158810303,6.24647971050552,24,0.040352378181240045,3.24647971050552,0.24,0.3477138405653472,2.92474181670807,2.939704722062642,3.04035237818124,6.24647971050552,0.5749267993290541,1.1770658690377096,1.1826971131938715,0,0.0,0.0,0,0.0,0,0.0,17.07709097016432,0.29805146409196015,0.34780087966539874,0.5235776220598032,0.022518814024689606,0.20969775677309754,7.206017792170712,0.8434123288595572,0,0.0618314999883296,0.0618314999883296,0.0618314999883296,14.0,0,0.028881204368142215,0.05121961934928549,0.07732924999436364,9.008771929824562,0,0.0,0,,3.480020349251463,7.253426822294575,20.161986481984474,6.290649000002304
phase1,adaptive_planner_tracker_replan,initial_theta_offset,102,True,2.769999999999985,90.01353109355128,1.42130113007182,3.0236370775124,5.914383295436684,6.24647971050552,19,0.02363707751240013,3.24647971050552,0.19,0.33680091703516374,2.995130809359937,2.995952142643112,3.0236370775124,6.24647971050552,0.7096579802754671,1.171388122769123,1.1816839637283858,0,0.0,0.0,0,0.0,0,0.0,1.6543167175902855,0.028873273592735674,0.10806337024471963,0.11897402115260348,0.025939568460129733,0.08380924833824066,47.81600143738592,1.644746833625458,5,0.06563128153585479,0.08070745899749454,0.08070745899749454,15.057761732851986,0,0.024456263484152974,0.04745791699679103,0.05689175000588875,7.227436823104693,0,0.0,2,parameter_change;state_tracking_error,4.261643881071835,7.212328160021527,15.577129781505295,11.484567833002075
phase1,baseline_cem,initial_theta_offset,103,True,1.6000000000000012,90.05783227516439,3.751593881922512,7.8857751599743064,10.826392872455694,11.247382223214187,90,4.8857751599743064,8.247382223214187,0.9,2.3926445312569897,nan,nan,7.8857751599743064,11.247382223214187,0.9802401615971346,1.8013791119204141,1.8472053710484546,45,0.6013791119204142,0.6472053710484547,0,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,0,,4.302254913974666,8.363932176463962,42.532235192233166,27.80449666599452
phase1,oracle_planner_tracker,initial_theta_offset,103,True,1.8000000000000014,90.03233129723152,1.4386895750426387,2.918269452977201,2.9702385138823924,2.996437212404625,0,0.0,0.0,0.0,0.0,2.9443004765181686,2.955387145933049,2.918269452977201,2.996437212404625,0.8621871246014349,1.1821884588576026,1.1845948646919722,0,0.0,0.0,0,0.0,0,0.0,0.8916372174660411,0.015562005178103109,0.028054114999733114,0.03782379756986945,nan,0.0,0.0,0.0,0,0.062476458013406955,0.062476458013406955,0.062476458013406955,14.0,0,0.02031740143405235,0.03933829584784688,0.04795491701224819,5.583333333333333,0,0.0,0,,4.415355035110901,7.21471155146926,14.93259010010198,1.9819811659981497
phase1,fixed_planner_tracker,initial_theta_offset,103,False,nan,-38.544378031799106,2.0290792761405063,3.1988350403832855,5.68150306597058,6.24647971050552,98,0.19883504038328537,3.24647971050552,0.98,0.691519485819499,2.92474181670807,2.939704722062642,3.1988350403832855,6.24647971050552,0.5541114804380073,1.0614663527055326,1.5281625523771096,33,0.0,0.3281625523771097,0,0.0,0,0.0,107.97925176607329,1.8845934671578808,0.6299941611213651,2.088910617553622,0.37801138085615904,0.25,90.0,6.0,0,0.06047987499914598,0.06047987499914598,0.06047987499914598,14.0,0,0.03597143769686281,0.05999204199179076,0.0878217089921236,11.232209737827715,0,0.0,0,,5.462920313471391,5.877573080597315,54.13755330836571,12.129035083009512
phase1,adaptive_planner_tracker,initial_theta_offset,103,True,3.419999999999971,90.00521377394307,1.2047902738585101,3.04035237818124,5.865388158810303,6.24647971050552,24,0.040352378181240045,3.24647971050552,0.24,0.3477138405653472,2.92474181670807,2.939704722062642,3.04035237818124,6.24647971050552,0.5749267993290541,1.1770658690377096,1.1826971131938715,0,0.0,0.0,0,0.0,0,0.0,17.07709097016432,0.29805146409196015,0.34780087966539874,0.5235776220598032,0.022518814024689606,0.20969775677309754,7.206017792170712,0.8434123288595572,0,0.060043917008442804,0.060043917008442804,0.060043917008442804,14.0,0,0.028242937878147995,0.053218853852013095,0.08000237500527874,9.008771929824562,0,0.0,0,,3.480020349251463,7.253426822294575,20.161986481984474,6.231685332997586
phase1,adaptive_planner_tracker_replan,initial_theta_offset,103,True,2.769999999999985,90.01353109355128,1.42130113007182,3.0236370775124,5.914383295436684,6.24647971050552,19,0.02363707751240013,3.24647971050552,0.19,0.33680091703516374,2.995130809359937,2.995952142643112,3.0236370775124,6.24647971050552,0.7096579802754671,1.171388122769123,1.1816839637283858,0,0.0,0.0,0,0.0,0,0.0,1.6543167175902855,0.028873273592735674,0.10806337024471963,0.11897402115260348,0.025939568460129733,0.08380924833824066,47.81600143738592,1.644746833625458,5,0.06636085702166876,0.08356683400052134,0.08356683400052134,15.057761732851986,0,0.023329836122451236,0.04574762500124052,0.05807045799156185,7.227436823104693,0,0.0,2,parameter_change;state_tracking_error,4.261643881071835,7.212328160021527,15.577129781505295,11.093874334008433
phase2,baseline_cem,clean,101,True,2.2799999999999954,90.00147205481456,3.086976247381359,8.300254113901126,11.84841596849289,13.34220315549235,91,5.300254113901126,10.34220315549235,0.91,2.3724275116395392,nan,nan,8.300254113901126,13.34220315549235,0.6549946420166104,1.3463855874023778,1.5907444011220147,15,0.14638558740237784,0.3907444011220147,0,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,0,,4.106429612634148,8.172215154584633,49.53190678783464,39.18228820800141
phase2,oracle_planner_tracker,clean,101,True,1.7200000000000013,90.04586730869896,1.3125291434018302,2.879701164892937,2.9601789521987456,3.1789462217011697,2,0.0,0.1789462217011697,0.02,0.0019647738114378253,2.923475829681258,2.941564423690245,2.879701164892937,3.1789462217011697,0.8398116363240792,1.1742037787842825,1.177777689434928,0,0.0,0.0,0,0.0,0,0.0,0.8922225358284359,0.015572220910699278,0.024833433540524325,0.0335006131050156,nan,0.0,0.0,0.0,0,0.05738170800032094,0.05738170800032094,0.05738170800032094,13.0,0,0.017534221866341352,0.03457113720069172,0.04835995800385717,5.063953488372093,0,0.0,0,,4.123749979232533,7.146296487205803,14.63701050319243,1.7761341669975081
phase2,fixed_planner_tracker,clean,101,False,nan,-35.58914533864036,1.860839988469696,2.906473177238505,6.072598868811056,6.363365804818863,26,0.0,3.363365804818863,0.26,0.7074126314950598,2.8862460241110703,2.9129014396576265,2.906473177238505,6.363365804818863,0.49691325734494596,1.0075621617090282,1.5144547056162476,31,0.0,0.31445470561624767,0,0.0,0,0.0,108.76628792680027,1.8983298394948223,0.6076117186950777,2.0985423293861563,0.3906742108990451,0.25,90.0,6.0,0,0.06064524999237619,0.06064524999237619,0.06064524999237619,14.0,0,0.03690016198853617,0.06219362499541603,0.0870828749903012,11.438202247191011,0,0.0,0,,5.521466045274256,6.048071772075673,52.48237204314359,12.387696500009042
phase2,adaptive_planner_tracker,clean,101,True,3.099999999999978,90.0023822100803,1.2916934820476218,3.300006623619006,6.1815934444824965,6.363365804818863,25,0.3000066236190062,3.363365804818863,0.25,0.4007490852902471,2.8862460241110703,2.9129014396576265,3.300006623619006,6.363365804818863,0.5578214537328199,1.1839881797893481,1.188674743694339,0,0.0,0.0,0,0.0,0,0.0,14.278219389520666,0.24920193966923035,0.34086324246050925,0.46938221152872966,0.009423488629548324,0.07363893871051075,83.89771194115355,7.384436057258421,0,0.06349595800566021,0.06349595800566021,0.06349595800566021,14.0,0,0.029003689267377803,0.04893533300491981,0.060091583989560604,9.167741935483871,0,0.0,0,,3.365279613669664,7.258843276182173,18.675399346441722,5.748492750004516
phase2,adaptive_planner_tracker_replan,clean,101,True,2.479999999999991,90.05874468494152,1.5359176061607116,2.990067822588448,6.205670534921494,6.363365804818863,13,0.0007204223463967028,3.363365804818863,0.13,0.3754254294034962,2.991298719978816,2.992574284839178,2.990067822588448,6.363365804818863,0.6975263575006297,1.1587931314213198,1.1829702032345661,0,0.0,0.0,0,0.0,0,0.0,0.5645858177121075,0.009853881429140794,0.056485618726583045,0.061299422831944936,0.012332517063592133,0.03370339493168273,83.05116469731735,7.143218697616069,0,0.06090365228585377,0.09372970799449831,0.09372970799449831,13.60483870967742,0,0.02111653250012164,0.0403781669883756,0.04931712499819696,6.419354838709677,0,0.0,3,parameter_change;state_tracking_error,4.243770882715973,7.2020930060698225,14.900704848844173,5.552781291000429
phase2,baseline_cem,clean,102,True,2.479999999999991,90.16723175363886,3.2834267761462215,8.46293866022884,15.951530044400508,17.78352551141541,118,5.462938660228841,14.783525511415409,1.18,2.976168254157045,nan,nan,8.46293866022884,17.78352551141541,0.5896488820372924,1.3786244513836594,1.5575786786597958,31,0.17862445138365945,0.35757867865979587,0,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,0,,3.8203613779588204,8.69092484083828,55.94810094659099,42.726166082997224
