method,input_source,condition,seed,step,timestamp,m_hat,k_hat,b_r_hat,true_m,true_k,true_b_r,valid_samples,residual_norm,robust_scale_json,jacobian_rank,singular_values_json,minimum_singular_value,condition_number,covariance_diag_json,correlation_matrix_json,m_std,k_std,b_r_std,bound_hit,update_magnitude,optimizer_converged,optimizer_status,optimizer_message,optimizer_iterations,regressor_max_abs_correlation,locally_distinguishable,low_excitation,F_tan_std,F_rad_std,theta_std,omega_std,r_std,r_dot_std
windowed_nls_current,true_state_diagnostic,clean,101,10,0.1,1.1991493923168235,382.6075278585968,12.859794894483906,1.2,450.0,18.0,10,0.0042010264113689485,"[1.0,1.0,1.0,1.0]",3,"[0.2366726609038601,0.01562624633180558,0.006353456949855494]",0.006353456949855494,54.801796353262915,"[8.436047062127163e-06,82.97486371420301,0.17281489111959486]","[[1.0000000000000002,-0.0643717633163569,-0.05717539050655117],[-0.0643717633163569,1.0,-0.08531853437260174],[-0.05717539050655117,-0.08531853437260174,0.9999999999999999]]",0.0029044874009241566,9.109053941776995,0.4157101046638088,False,22.62524339222683,True,1,`gtol` termination condition is satisfied.,6,0.08531853437260174,True,False,0.023118907873737805,0.049708102197385036,0.008352050711546313,0.17717024727196767,0.0003781808461498714,0.005430866374161882
windowed_nls_current,true_state_diagnostic,clean,101,20,0.2,1.2015915177056542,405.42637278801556,13.458751844207466,1.2,450.0,18.0,20,0.003347446525796139,"[1.0,1.0,1.0,1.0]",3,"[0.36715387469912786,0.02089726653473232,0.010519834199118734]",0.010519834199118734,122.27065224601716,"[1.0870993011600797e-06,20.643229428727356,0.0521433603849243]","[[1.0,-0.11644909924344288,-0.019014151457752676],[-0.11644909924344288,1.0000000000000002,-0.03818202494028859],[-0.019014151457752676,-0.03818202494028859,0.9999999999999999]]",0.0010426405426416526,4.543482081919918,0.22834920710377846,False,22.826704521337668,True,1,`gtol` termination condition is satisfied.,4,0.11644909924344288,True,False,0.6388325472098678,0.05591904920180012,0.029954976503450557,0.22399992158027424,0.00033140001696086157,0.008104779610917667
windowed_nls_current,true_state_diagnostic,clean,101,30,0.3,1.2007796590174447,421.81085130351374,13.950789030631356,1.2,450.0,18.0,30,0.002631454262942681,"[1.0,1.0,1.0,1.0]",3,"[0.4694490414245604,0.022964367042961557,0.010846870619284795]",0.010846870619284795,198.07765480715392,"[2.7202321199103064e-07,7.8575195447395005,0.021158387853670853]","[[1.0000000000000002,-0.13048404320614965,-0.006001212552528839],[-0.13048404320614965,1.0,-0.019990046169710462],[-0.006001212552528839,-0.019990046169710462,0.9999999999999999]]",0.0005215584454220165,2.803126744323114,0.14545923089880153,False,16.391864978603262,True,1,`gtol` termination condition is satisfied.,4,0.13048404320614965,True,False,0.6664403621287536,0.10138278225325043,0.045063859317229324,0.19190958975263547,0.0002833612490573472,0.007231989432761488
windowed_nls_current,true_state_diagnostic,clean,101,40,0.4,1.2002798060864348,432.1043846936754,14.416989116197996,1.2,450.0,18.0,40,0.002207845131118567,"[1.0,1.0,1.0,1.0]",3,"[0.5531739985071717,0.023743213186188265,0.011561960372928094]",0.011561960372928094,270.8010752715411,"[1.0290628515819228e-07,4.020874980668,0.010953754533217981]","[[1.0,-0.13067185975989556,0.008545686385381281],[-0.13067185975989556,1.0,-0.006219177435931669],[0.008545686385381281,-0.006219177435931669,1.0]]",0.00032079009516846414,2.0052119540507434,0.10466018599839187,False,10.304085229849772,True,1,`gtol` termination condition is satisfied.,3,0.13067185975989556,True,False,0.6453764697359227,0.11473765181004247,0.05142878107996362,0.22606746047332965,0.00028953262593992094,0.006898842275057927
windowed_nls_current,true_state_diagnostic,clean,101,50,0.5,1.200208493792202,439.1693786468925,14.847865373072626,1.2,450.0,18.0,50,0.001906815267264511,"[1.0,1.0,1.0,1.0]",3,"[0.6255885647685917,0.024131543654735813,0.01179359642195648]",0.01179359642195648,344.4516461039472,"[4.783804967605803e-08,2.3628383197715106,0.006479180318890269]","[[1.0000000000000002,-0.12890382253065122,-0.000538715230849492],[-0.12890382253065122,1.0,-0.010922507715988829],[-0.000538715230849492,-0.010922507715988829,0.9999999999999999]]",0.00021871911136445764,1.5371526663840227,0.08049335574375235,False,7.078120789645913,True,1,`gtol` termination condition is satisfied.,3,0.12890382253065122,True,False,0.6219918763632902,0.12203814756284032,0.050680941806715285,0.30227511574320526,0.0002974562698410288,0.006331660177501149
windowed_nls_current,true_state_diagnostic,clean,101,60,0.6,1.2001769921172665,445.5910565494125,15.268196962693567,1.2,450.0,18.0,60,0.0017075824368569007,"[1.0,1.0,1.0,1.0]",3,"[0.6907921972695253,0.026516364688407446,0.012187854592946868]",0.012187854592946868,416.34795293293814,"[2.6250229004076535e-08,1.4705322878643547,0.004269356401121119]","[[1.0000000000000002,-0.13999311354494923,-0.00882278094782766],[-0.13999311354494923,0.9999999999999999,-0.041413895041556646],[-0.00882278094782766,-0.041413895041556646,0.9999999999999998]]",0.00016201922418057843,1.2126550572460228,0.06534031222087265,False,6.4354196234541945,True,1,`gtol` termination condition is satisfied.,3,0.13999311354494923,True,False,0.6030704433746032,0.12064849415327139,0.04671120794185336,0.39077395369526025,0.0002785693282719783,0.006000513740320776
windowed_nls_current,true_state_diagnostic,clean,101,70,0.7000000000000001,1.2000944866382517,453.1598675020086,15.7095750419317,1.2,450.0,18.0,70,0.0015315994449842509,"[1.0,1.0,1.0,1.0]",3,"[0.7508293126161982,0.03609039018990551,0.012814955527065562]",0.012814955527065562,485.0828538636779,"[1.5359453909559428e-08,0.7751880643459174,0.0028494133882031184]","[[1.0,-0.1505192824452845,-0.00975372418147921],[-0.1505192824452845,1.0,-0.1378979524489755],[-0.00975372418147921,-0.1378979524489755,1.0000000000000002]]",0.00012393326393490744,0.8804476499746691,0.053379896854556755,False,7.581669595265788,True,1,`gtol` termination condition is satisfied.,3,0.1505192824452845,True,False,0.5879555099474668,0.13184541573108677,0.04848013107553214,0.48076009499768557,0.0003780527284247986,0.00631051848081575
windowed_nls_current,true_state_diagnostic,clean,101,80,0.8,1.1999726676517657,455.1736225820804,15.92671745127036,1.2,450.0,18.0,70,0.001023966194379616,"[1.0,1.0,1.0,1.0]",3,"[0.7706449776435902,0.04875423613371572,0.009988990898072037]",0.009988990898072037,540.9206518357734,"[6.5135194534858014e-09,0.23544166279047496,0.001359946503145974]","[[1.0,-0.14996349765567998,0.0009855359548821595],[-0.14996349765567998,1.0,-0.1554898960370553],[0.0009855359548821595,-0.1554898960370553,1.0000000000000002]]",8.070637802234593e-05,0.48522331229082033,0.036877452503473906,False,2.025428439438989,True,1,`gtol` termination condition is satisfied.,3,0.1554898960370553,True,False,0.30094494682611117,0.11274069809262374,0.06659644511215031,0.5800079901251217,0.0005746741745735006,0.005248586632877917
windowed_nls_current,true_state_diagnostic,clean,101,90,0.9,1.199973440514314,457.60639321230275,16.12872611053978,1.2,450.0,18.0,70,0.0009140308847587469,"[1.0,1.0,1.0,1.0]",3,"[0.7685570220165987,0.07475240168493613,0.009768005072119104]",0.009768005072119104,540.1427566508843,"[5.167576379091742e-09,0.10974270135222036,0.0010676695613917242]","[[1.0000000000000002,-0.10859669019859175,0.001364401568240538],[-0.10859669019859175,1.0000000000000002,-0.3587589591042691],[0.001364401568240538,-0.3587589591042691,1.0000000000000002]]",7.188585659983292e-05,0.3312743596359675,0.032675213257019824,False,2.4411432644752638,True,1,`gtol` termination condition is satisfied.,3,0.3587589591042691,True,False,0.16841081799131988,0.11283615572181085,0.10992220690041588,0.5511417349904981,0.0009988423734176542,0.006861463001916884
windowed_nls_current,true_state_diagnostic,clean,101,100,1.0,1.200024868111116,456.5755868669731,16.27859318327761,1.2,450.0,18.0,70,0.0008155709546033905,"[1.0,1.0,1.0,1.0]",3,"[0.7611991435896661,0.1106885048102624,0.00952773672895668]",0.00952773672895668,532.1195147790573,"[4.160491288877008e-09,0.04802282629427741,0.0008581889543437498]","[[0.9999999999999998,-0.0600669151634293,-0.010486116136193619],[-0.0600669151634293,1.0,-0.4648467361695577],[-0.010486116136193619,-0.4648467361695577,1.0]]",6.450187042929072e-05,0.21914111046144996,0.02929486225166027,False,1.0416438276626543,True,1,`gtol` termination condition is satisfied.,3,0.4648467361695577,True,False,0.25004846821741555,0.11665047383385792,0.15430235196967018,0.47166007537976556,0.0014978872103012233,0.007041763045605167
windowed_nls_current,true_state_diagnostic,clean,101,110,1.1,1.2001094204256284,454.93063948875186,16.425852825892484,1.2,450.0,18.0,70,0.0007801115394695774,"[1.0,1.0,1.0,1.0]",3,"[0.7518121846085325,0.15352587981355853,0.009991804199929741]",0.009991804199929741,514.8235583306177,"[3.8866237582810485e-09,0.02530665108535083,0.0007848108569258785]","[[1.0000000000000002,-0.0034342270483037514,-0.03263416069883726],[-0.0034342270483037514,1.0000000000000002,-0.5210994990416826],[-0.03263416069883726,-0.5210994990416826,1.0]]",6.23427923522924e-05,0.15908064333963082,0.028014475845995736,False,1.6515257450639433,True,1,`gtol` termination condition is satisfied.,3,0.5210994990416826,True,False,0.36898632639580553,0.12092030988926773,0.19062530641515982,0.36771195032931747,0.0019733203217591117,0.005844767867788415
windowed_nls_current,true_state_diagnostic,clean,101,120,1.2,1.200126554331113,453.52329522582596,16.607618599682716,1.2,450.0,18.0,70,0.0008042719338113867,"[1.0,1.0,1.0,1.0]",3,"[0.7394447416892378,0.19972088326197485,0.01166278622927046]",0.01166278622927046,482.190670123129,"[4.274705509072756e-09,0.01655308063442158,0.0008123849695362885]","[[1.0,0.049024447894636045,-0.03941947114915772],[0.049024447894636045,0.9999999999999998,-0.5412157696454903],[-0.03941947114915772,-0.5412157696454903,0.9999999999999999]]",6.538123208591863e-05,0.128658775971255,0.028502367788243287,False,1.4190337103837902,True,1,`gtol` termination condition is satisfied.,3,0.5412157696454903,True,False,0.5118231418483906,0.12318641912120666,0.2163239313359247,0.2548332552020053,0.0023191079498443793,0.0052770944488969755
windowed_nls_current,true_state_diagnostic,clean,101,130,1.3,1.200129351787131,452.47898361562693,16.80597330847611,1.2,450.0,18.0,70,0.0007724641466267287,"[1.0,1.0,1.0,1.0]",3,"[0.7229261287054736,0.24706118913686412,0.013060433890238452]",0.013060433890238452,447.3205197070265,"[4.17134261125736e-09,0.01008426943080184,0.0007300479170551264]","[[0.9999999999999998,0.10964941623746914,-0.04427157648958549],[0.10964941623746914,1.0,-0.5458516521011697],[-0.04427157648958549,-0.5458516521011697,0.9999999999999999]]",6.458593199186151e-05,0.10042046320746505,0.027019398902550118,False,1.0629822809928822,True,1,`gtol` termination condition is satisfied.,3,0.5458516521011697,True,False,0.66706840927832,0.12363870926698771,0.23132835342291108,0.1450784739019304,0.0025384362186956946,0.004740671179050632
windowed_nls_current,true_state_diagnostic,clean,101,140,1.4000000000000001,1.2001144782705762,451.713893706965,16.98831742017022,1.2,450.0,18.0,70,0.0006799116986993971,"[1.0,1.0,1.0,1.0]",3,"[0.7025410316337805,0.2902953548432468,0.01355913253780464]",0.01355913253780464,417.7588965856163,"[3.5233801276329654e-09,0.0055124670356908045,0.0005607625693838783]","[[1.0,0.17793151282891662,-0.043570277696241264],[0.17793151282891662,1.0000000000000002,-0.5313051158007301],[-0.043570277696241264,-0.5313051158007301,1.0]]",5.935806708134089e-05,0.07424599003105019,0.023680425869985495,False,0.7865188768408952,True,1,`gtol` termination condition is satisfied.,3,0.5313051158007301,True,False,0.8099749987905082,0.10989189835121442,0.2374182500734822,0.0515613014429424,0.0026013051579948827,0.004652031753319731
windowed_nls_current,true_state_diagnostic,clean,101,150,1.5,1.2001229604214991,451.2155365671717,17.162012387724822,1.2,450.0,18.0,70,0.0006028047499019414,"[1.0,1.0,1.0,1.0]",3,"[0.6815034923380058,0.32569916364052925,0.014495367259226214]",0.014495367259226214,384.63018110276136,"[3.1347822809502072e-09,0.0033144505368763308,0.0004318440843834432]","[[1.0,0.26170877186626396,-0.05269308646595058],[0.26170877186626396,0.9999999999999999,-0.5170011023793442],[-0.05269308646595058,-0.5170011023793442,0.9999999999999999]]",5.598912645282303e-05,0.05757126485388636,0.020780858605539937,False,0.5277592070335803,True,1,`gtol` termination condition is satisfied.,3,0.5170011023793442,True,False,0.9350046432780842,0.11556381027402131,0.23831671895457573,0.0021753035289856773,0.002472133442341642,0.004043298604956086
windowed_nls_current,true_state_diagnostic,clean,101,160,1.6,1.2000939894393685,450.86144577729647,17.268099283125533,1.2,450.0,18.0,70,0.0004404467195764134,"[1.0,1.0,1.0,1.0]",3,"[0.6694327735692283,0.34701982906796563,0.01212006820065762]",0.01212006820065762,391.6137273991773,"[1.9407896736602186e-09,0.0014247839015274913,0.00024359480869089607]","[[1.0,0.3469918397168716,-0.04345168383282442],[0.3469918397168716,1.0,-0.48148927458792296],[-0.04345168383282442,-0.48148927458792296,1.0000000000000002]]",4.405439448749941e-05,0.03774630977363869,0.015607524105087778,False,0.3696413365541429,True,1,`gtol` termination condition is satisfied.,3,0.48148927458792296,True,False,1.1127438449534957,0.11303830945159857,0.23840193868823598,0.002527213882708991,0.002222534709599345,0.0037291969812820822
