method,input_source,condition,parameter,interval_level,sample_count,coverage,mean_interval_width,mean_error_over_predicted_std,calibration_label
windowed_nls_huber,ukf_filtered,initial_theta_offset,b_r,0.95,105,0.6285714285714286,73.56115185909425,2.4315537293166987,overconfident
windowed_nls_cauchy,ukf_filtered,initial_theta_offset,m,0.5,105,0.0,0.00957007334240724,13.912798350173663,overconfident
windowed_nls_cauchy,ukf_filtered,initial_theta_offset,m,0.9,105,0.02857142857142857,0.02333818990818583,13.912798350173663,overconfident
windowed_nls_cauchy,ukf_filtered,initial_theta_offset,m,0.95,105,0.02857142857142857,0.027809168392961346,13.912798350173663,overconfident
windowed_nls_cauchy,ukf_filtered,initial_theta_offset,k,0.5,105,0.05714285714285714,145.4664986972074,31.173621583995317,overconfident
windowed_nls_cauchy,ukf_filtered,initial_theta_offset,k,0.9,105,0.08571428571428572,354.7438614530345,31.173621583995317,overconfident
windowed_nls_cauchy,ukf_filtered,initial_theta_offset,k,0.95,105,0.08571428571428572,422.7033809531478,31.173621583995317,overconfident
windowed_nls_cauchy,ukf_filtered,initial_theta_offset,b_r,0.5,105,0.37142857142857144,23.84345814188737,2.5134074871947725,directional
windowed_nls_cauchy,ukf_filtered,initial_theta_offset,b_r,0.9,105,0.5428571428571428,58.14617446215676,2.5134074871947725,overconfident
windowed_nls_cauchy,ukf_filtered,initial_theta_offset,b_r,0.95,105,0.6285714285714286,69.28544001852805,2.5134074871947725,overconfident
windowed_nls_current,ukf_filtered,noise,m,0.5,97,0.5670103092783505,0.03160186741207519,0.9021712849868636,directional
windowed_nls_current,ukf_filtered,noise,m,0.9,97,0.845360824742268,0.07706632506651227,0.9021712849868636,directional
windowed_nls_current,ukf_filtered,noise,m,0.95,97,0.8969072164948454,0.0918301899004443,0.9021712849868636,directional
windowed_nls_current,ukf_filtered,noise,k,0.5,97,0.0,23.059285335766546,17.34190778064889,overconfident
windowed_nls_current,ukf_filtered,noise,k,0.9,97,0.0,56.233840751088316,17.34190778064889,overconfident
windowed_nls_current,ukf_filtered,noise,k,0.95,97,0.0,67.00675386489512,17.34190778064889,overconfident
windowed_nls_current,ukf_filtered,noise,b_r,0.5,97,0.2268041237113402,3.0216045407896344,1.8068786862529735,overconfident
windowed_nls_current,ukf_filtered,noise,b_r,0.9,97,0.5463917525773195,7.368677133110344,1.8068786862529735,overconfident
windowed_nls_current,ukf_filtered,noise,b_r,0.95,97,0.7010309278350515,8.780320326220115,1.8068786862529735,overconfident
windowed_nls_huber,ukf_filtered,noise,m,0.5,97,0.6391752577319587,0.06525061307276582,0.8796296145197031,directional
windowed_nls_huber,ukf_filtered,noise,m,0.9,97,0.8144329896907216,0.15912429769683573,0.8796296145197031,directional
windowed_nls_huber,ukf_filtered,noise,m,0.95,97,0.8865979381443299,0.1896082947080191,0.8796296145197031,directional
windowed_nls_huber,ukf_filtered,noise,k,0.5,97,0.0,32.963138682254566,12.847268995526738,overconfident
windowed_nls_huber,ukf_filtered,noise,k,0.9,97,0.010309278350515464,80.38600781954041,12.847268995526738,overconfident
windowed_nls_huber,ukf_filtered,noise,k,0.95,97,0.020618556701030927,95.78583586327834,12.847268995526738,overconfident
windowed_nls_huber,ukf_filtered,noise,b_r,0.5,97,0.27835051546391754,11.815588485052047,1.073965697177694,overconfident
windowed_nls_huber,ukf_filtered,noise,b_r,0.9,97,0.8865979381443299,28.814246043359528,1.073965697177694,directional
windowed_nls_huber,ukf_filtered,noise,b_r,0.95,97,0.9381443298969072,34.334291711927094,1.073965697177694,directional
windowed_nls_cauchy,ukf_filtered,noise,m,0.5,97,0.6288659793814433,0.06302530009970865,0.8944741420823735,directional
windowed_nls_cauchy,ukf_filtered,noise,m,0.9,97,0.8247422680412371,0.15369750785811814,0.8944741420823735,directional
windowed_nls_cauchy,ukf_filtered,noise,m,0.95,97,0.8865979381443299,0.1831418758018478,0.8944741420823735,directional
windowed_nls_cauchy,ukf_filtered,noise,k,0.5,97,0.0,31.6219688936536,13.431921392212491,overconfident
windowed_nls_cauchy,ukf_filtered,noise,k,0.9,97,0.010309278350515464,77.11534581878111,13.431921392212491,overconfident
windowed_nls_cauchy,ukf_filtered,noise,k,0.95,97,0.020618556701030927,91.88860172929463,13.431921392212491,overconfident
windowed_nls_cauchy,ukf_filtered,noise,b_r,0.5,97,0.23711340206185566,11.270803348184737,1.1390004447684945,overconfident
windowed_nls_cauchy,ukf_filtered,noise,b_r,0.9,97,0.8350515463917526,27.485698337562308,1.1390004447684945,directional
windowed_nls_cauchy,ukf_filtered,noise,b_r,0.95,97,0.9381443298969072,32.751229485852804,1.1390004447684945,directional
windowed_nls_current,ukf_filtered,noise_bias,m,0.5,91,0.5714285714285714,0.027995525413751783,0.7275850123636075,directional
windowed_nls_current,ukf_filtered,noise_bias,m,0.9,91,0.9230769230769231,0.0682716699557953,0.7275850123636075,directional
windowed_nls_current,ukf_filtered,noise_bias,m,0.95,91,0.9560439560439561,0.08135071201916425,0.7275850123636075,directional
windowed_nls_current,ukf_filtered,noise_bias,k,0.5,91,0.0,22.458560354044096,17.243694058193775,overconfident
windowed_nls_current,ukf_filtered,noise_bias,k,0.9,91,0.0,54.76887457952253,17.243694058193775,overconfident
windowed_nls_current,ukf_filtered,noise_bias,k,0.95,91,0.0,65.26113901150087,17.243694058193775,overconfident
windowed_nls_current,ukf_filtered,noise_bias,b_r,0.5,91,0.2087912087912088,3.099903896894675,1.9228276806755797,overconfident
windowed_nls_current,ukf_filtered,noise_bias,b_r,0.9,91,0.5164835164835165,7.559622926009404,1.9228276806755797,overconfident
windowed_nls_current,ukf_filtered,noise_bias,b_r,0.95,91,0.5714285714285714,9.007846271014788,1.9228276806755797,overconfident
windowed_nls_huber,ukf_filtered,noise_bias,m,0.5,91,0.6593406593406593,0.054598514861960996,0.8133906021631006,underconfident
windowed_nls_huber,ukf_filtered,noise_bias,m,0.9,91,0.8901098901098901,0.1331474130827125,0.8133906021631006,directional
windowed_nls_huber,ukf_filtered,noise_bias,m,0.95,91,0.8901098901098901,0.15865492765596248,0.8133906021631006,directional
windowed_nls_huber,ukf_filtered,noise_bias,k,0.5,91,0.0,30.035465463576717,12.876352826951473,overconfident
windowed_nls_huber,ukf_filtered,noise_bias,k,0.9,91,0.01098901098901099,73.24639758647746,12.876352826951473,overconfident
