solver,filter,case,condition,target_reached,final_theta_deg,T_reach,done_reason,runtime_s,max_abs_F_rad,max_abs_delta_r,max_abs_omega,max_abs_alpha_step,max_abs_F_tan,feasible_mpc_decisions,total_mpc_decisions,feasible_mpc_decision_ratio,mean_feasible_count,omega_violation_count,alpha_violation_count,max_omega_violation_severity,max_alpha_violation_severity,rms_raw_theta,rms_raw_omega,rms_raw_r,rms_raw_r_dot,rms_filt_theta,rms_filt_omega,rms_filt_r,rms_filt_r_dot,rms_reduction_theta,rms_reduction_omega,rms_reduction_r,rms_reduction_r_dot,rms_reduction_ratio_theta,rms_reduction_ratio_omega,rms_reduction_ratio_r,rms_reduction_ratio_r_dot,mean_innovation_norm,max_covariance_trace,ukf_failure_count,final_bias_theta_hat,final_bias_omega_hat,final_bias_r_hat,final_bias_r_dot_hat,rms_bias_error_theta,rms_bias_error_omega,rms_bias_error_r,rms_bias_error_r_dot,final_m_hat,final_k_hat,final_b_r_hat,mean_m_hat,mean_k_hat,mean_b_r_hat,std_m_hat,std_k_hat,std_b_r_hat,total_parameter_update_count,mean_parameter_step_norm,max_parameter_step_norm,bound_hit_count,mean_nls_residual,mean_prediction_error
cem,ukf,case_A_current_adaptive,clean,True,90.07009787395816,2.0400000000000005,target_reached,31.764706957968883,0.8111184269046335,0.011669650331210424,1.5965253584307277,11.071127432207373,8.066948274170816,0,68,0.0,0.0,16,76,0.3965253584307278,8.071127432207373,0.0,0.0,0.0,0.0,1.295269657589649e-07,2.5836311186638035e-07,9.565855654689642e-08,1.3395936497112704e-07,-1.295269657589649e-07,-2.5836311186638035e-07,-9.565855654689642e-08,-1.3395936497112704e-07,nan,nan,nan,nan,0.0058015270473432655,0.07100000000000001,0,nan,nan,nan,nan,nan,nan,nan,nan,1.2000039888381289,450.0690928205778,17.297781182835216,1.1879594732183942,443.86132258316843,16.113304382219127,0.053888176278543934,23.686301749762265,1.465693721630326,20,0.5267474028783555,43.89790932609372,0,0.005892804967426535,0.005892804967426535
cem,ukf,case_A_current_adaptive,noise,True,90.0807949720804,4.809999999999942,target_reached,75.99952900002245,0.835940473245887,0.012114124115475688,1.6056666885130941,10.719480876047216,8.40124219802604,76,161,0.4720496894409938,0.4720496894409938,19,94,0.4056666885130942,7.719480876047216,0.0037840405482381942,0.034909007374637833,0.0008603443432696376,0.004165421833342865,0.0015305467879185544,0.02489627360868924,0.0009270504165577414,0.0033841935665572653,0.00225349376031964,0.010012733765948592,-6.670607328810381e-05,0.0007812282667855998,0.5955257961939231,0.2868237890150685,-0.07753415688722404,0.18755081671011523,0.03697125609899814,0.07100000000000001,0,nan,nan,nan,nan,nan,nan,nan,nan,1.1398737608305947,413.83142610691056,43.20498920845349,1.160626262234037,381.82152820546077,29.855805973106822,0.058012135120435224,30.383447355233372,8.615613516889937,48,0.6691872205661843,42.64812408880569,0,0.022765551364637437,0.022765551364637437
cem,ukf,case_A_current_adaptive,noise_bias,False,87.1992233147771,nan,max_time,126.50571258296259,0.7448238601850162,0.011891865875171936,1.5903331640142624,10.480888108762532,8.100711979433903,100,267,0.37453183520599254,0.37453183520599254,19,96,0.39033316401426243,7.480888108762532,0.010789272306931162,0.03880142536204565,0.0016851007811867955,0.004452720955175783,0.009692211505434627,0.029215853389202455,0.0013903103254425454,0.0033610770614370925,0.0010970608014965345,0.009585571972843196,0.00029479045574425013,0.001091643893738691,0.10168070378497807,0.24704174868327144,0.17493936210547176,0.24516332928291376,0.03474620124149233,0.07100000000000001,0,nan,nan,nan,nan,nan,nan,nan,nan,1.378687722465736,614.716350396643,44.99999999999999,1.317565377779548,564.5066419679217,38.31262680889628,0.09030154236834373,69.64384154404196,8.694036400411811,80,0.6291347892736487,39.212522148199064,352,0.021360487249879333,0.021360487249879333
cem,ukf,case_B_mpc_only_raw_identifier,clean,True,90.0700978722559,2.0400000000000005,target_reached,31.61929466703441,0.8111184282301429,0.01166965033047851,1.5965253580260927,11.07112743225791,8.066948274318207,0,68,0.0,0.0,16,76,0.3965253580260928,8.07112743225791,0.0,0.0,0.0,0.0,1.2952694078430162e-07,2.583630653012718e-07,9.5642203809483e-08,1.339298049235193e-07,-1.2952694078430162e-07,-2.583630653012718e-07,-9.5642203809483e-08,-1.339298049235193e-07,nan,nan,nan,nan,0.005800887326017616,0.07100000000000001,0,nan,nan,nan,nan,nan,nan,nan,nan,1.2000039619676597,450.0687140759926,17.300066453679825,1.187959855626512,443.86358995566616,16.116317623681045,0.05388826401108984,23.68398351824536,1.4662940631124848,20,0.5267846869545829,43.91931521456712,0,0.005892484740684157,0.005892484740684157
cem,ukf,case_B_mpc_only_raw_identifier,noise,True,90.03527790732419,1.7400000000000013,target_reached,27.242281292099506,0.8349506869391383,0.011534135919432753,1.6020592343251865,10.279542488303983,8.342461395017388,0,58,0.0,0.0,27,90,0.40205923432518653,7.279542488303983,0.004034321895396729,0.03515911842561081,0.000835050726649524,0.003925210546011272,0.0017044908031540235,0.027506041262122288,0.0006245006453565226,0.002872376494241861,0.0023298310922427058,0.007653077163488519,0.0002105500812930014,0.0010528340517694111,0.5775025277237065,0.21766976836125165,0.2521404683255495,0.2682235868440948,0.04320395171579057,0.07100000000000001,0,nan,nan,nan,nan,nan,nan,nan,nan,1.2071013899391518,432.5860210133552,44.99999999999999,1.1890900715702206,379.4545180990282,36.11255153957187,0.05916560476169239,41.2885085215217,11.029137134441935,17,1.1228057088568884,41.0275357754548,65,0.04761935499430046,0.04761935499430046
cem,ukf,case_B_mpc_only_raw_identifier,noise_bias,True,90.70259028507414,3.139999999999977,target_reached,48.0154765000334,0.7312159424147884,0.012215459041727939,1.7564591917616648,56.0752965698811,9.671079665734661,5,105,0.047619047619047616,0.047619047619047616,19,151,0.5564591917616648,53.0752965698811,0.010582195131231683,0.03630536901497993,0.00169833011368103,0.004637979779303154,0.009495650584614658,0.028021294999775577,0.001429978546793042,0.003742843131145,0.0010865445466170243,0.008284074015204354,0.00026835156688798795,0.0008951366481581538,0.10267666898432624,0.22817765636223855,0.1580090729866126,0.19300141241509383,0.03614962188023616,0.07100000000000001,0,nan,nan,nan,nan,nan,nan,nan,nan,1.1815621345309992,513.3230408906061,44.99999999999999,1.2001058263819298,487.93772479034925,42.079509186773755,0.05092241190219582,129.12069223568287,8.214829761484566,31,2.7263928838899107,154.58457045058782,295,0.04110651345141356,0.04110651345141356
cem,ukf,case_C_frozen_identifier,clean,False,10.682192070674324,nan,max_time,114.82434212509543,0.5524584392350813,0.0029780205765270185,0.7245904085771832,18.422881991441056,8.981558194514971,0,267,0.0,0.0,0,436,0.0,15.422881991441056,0.0,0.0,0.0,0.0,6.226620762445051e-07,1.2417649951073753e-06,3.3483149866348903e-07,4.381263038742966e-07,-6.226620762445051e-07,-1.2417649951073753e-06,-3.3483149866348903e-07,-4.381263038742966e-07,nan,nan,nan,nan,0.11234642413448474,0.07100000000000001,0,nan,nan,nan,nan,nan,nan,nan,nan,0.95,360.0,12.0,0.9499999999999998,360.0,12.0,1.1102230246251565e-16,0.0,0.0,0,0.0,0.0,0,nan,nan
cem,ukf,case_C_frozen_identifier,noise,False,10.030316167357505,nan,max_time,114.6563793340465,0.5494657459213745,0.0027250865625029763,0.7046293177414036,17.466840647727338,8.973444655725796,0,267,0.0,0.0,0,449,0.0,14.466840647727338,0.003786582531625592,0.03492439381243314,0.0008477429548271578,0.004090023556542077,0.002100891998521455,0.07138845770952665,0.0006828287866782713,0.0035653797473773874,0.0016856905331041373,-0.03646406389709351,0.00016491416814888658,0.0005246438091646897,0.4451746446895652,-1.0440858069843504,0.19453322166801154,0.128274031166767,0.1763377750175828,0.07100000000000001,0,nan,nan,nan,nan,nan,nan,nan,nan,0.95,360.0,12.0,0.9499999999999998,360.0,12.0,1.1102230246251565e-16,0.0,0.0,0,0.0,0.0,0,nan,nan
cem,ukf,case_C_frozen_identifier,noise_bias,False,9.248452817457856,nan,max_time,114.49389195907861,0.6057608362871029,0.0025985952599869022,0.5915479691463628,18.116054382707638,9.387211468370705,0,267,0.0,0.0,0,455,0.0,15.116054382707638,0.010789272306931158,0.03880142536204565,0.0016851007811867955,0.004452720955175783,0.010961394776426847,0.05481601448645765,0.00044786443057506195,0.0035994867378972306,-0.0001721224694956891,-0.016014589124411997,0.0012372363506117335,0.0008532342172785528,-0.01595311199858359,-0.41273198020392754,0.7342209821660419,0.19162085966486733,0.17902275877964596,0.07100000000000001,0,nan,nan,nan,nan,nan,nan,nan,nan,0.95,360.0,12.0,0.9499999999999998,360.0,12.0,1.1102230246251565e-16,0.0,0.0,0,0.0,0.0,0,nan,nan
cem,ukf,case_D_frozen_estimator_model,clean,True,90.06998925338246,2.0400000000000005,target_reached,31.61759620893281,0.8111117460380319,0.011669681311009927,1.5965232587579499,11.071129626246334,8.066943281172504,0,68,0.0,0.0,16,76,0.3965232587579499,8.071129626246334,0.0,0.0,0.0,0.0,4.233290504856408e-07,8.449127385314756e-07,2.6731172210057656e-07,3.9380081052636106e-07,-4.233290504856408e-07,-8.449127385314756e-07,-2.6731172210057656e-07,-3.9380081052636106e-07,nan,nan,nan,nan,0.06547414139633934,0.07100000000000001,0,nan,nan,nan,nan,nan,nan,nan,nan,1.2000046285456387,450.0822413441489,17.292546261385805,1.1879593186649182,443.85760842428755,16.11057487642575,0.05388814013291759,23.68401535369284,1.463856143628643,20,0.5263219322039558,43.87619269275484,0,0.0058919250569573105,0.0058919250569573105
