q1_deg,q2_deg,absolute_shank_deg,current_rom_valid,current_soft_limit_active,current_rom_model_dominated,classification,mechanical_blockers,intrinsic_mechanical_blockers,surrogate_geometry_blockers,thigh_bed_clearance_m,shank_bed_clearance_m,sleeve_bed_clearance_m,current_tau1_nm,current_tau2_nm,conditional_tau1_nm,conditional_tau2_nm,current_cuff_force_n,current_cuff_moment_abs_nm,conditional_cuff_force_n,conditional_cuff_moment_abs_nm,conditional_force_gate_margin_n,rigid_cuff_rank,rigid_cuff_condition_raw,point_force_rank,ur10e_reachable,ur10e_ik_residual,ur10e_joint_limit_margin_deg,ur10e_jacobian_sigma_min,ur10e_jacobian_condition,ur10e_peak_torque_fraction,robot_bed_min_distance_m,robot_human_min_distance_m,robot_self_collision
0.0,0.0,0.0,True,True,False,geometric_or_robotic_infeasible,human_or_sleeve_bed_penetration;ur10e_bed_intersection;ur10e_human_intersection,human_or_sleeve_bed_penetration,ur10e_bed_intersection;ur10e_human_intersection,-3.469446951953614e-18,0.005000000000000001,-0.008000000000000004,14.799701416259516,-34.35269497855765,39.79970055682284,-9.352695837994329,44.75598233450402,50.49546171089585,69.69191704547812,15.784063569636906,130.30808295452186,2,6.1696345836210345,1,True,6.377230190016891e-16,61.40983959119349,0.3622883416709709,5.092356368439665,0.38853234636539263,-0.11099999999999993,-0.062000000000000034,False
0.0,10.0,-10.0,True,True,False,geometric_or_robotic_infeasible,human_or_sleeve_bed_penetration;ur10e_bed_intersection;ur10e_human_intersection,human_or_sleeve_bed_penetration,ur10e_bed_intersection;ur10e_human_intersection,-3.469446951953614e-18,-0.064591243681799,-0.07757804642029632,14.684128424158331,-7.491793593898812,39.68412756472165,-7.491793593898812,16.825635457684598,1.4264556249445,83.59841926646493,16.209191551925127,116.40158073353507,2,6.145682553661346,2,True,4.486014628703017e-16,66.0135241076248,0.3764587668165925,4.932786836989594,0.4163445713040342,-0.17188501091002323,-0.061999999999999784,False
0.0,20.0,-20.0,True,True,False,geometric_or_robotic_infeasible,human_or_sleeve_bed_penetration;ur10e_bed_intersection;ur10e_human_intersection,human_or_sleeve_bed_penetration,ur10e_bed_intersection;ur10e_human_intersection,-3.469446951953614e-18,-0.132067992639195,-0.14504199910830223,14.340921074737004,-5.4032569924831595,39.34092021530033,-5.4032569924831595,20.971596004514453,0.9615185648117273,100.06032621222315,13.145464079914383,99.93967378777685,2,6.076334306145199,2,True,2.573793898025052e-16,71.66866904689476,0.37437689474526914,5.0490848965051685,0.4444385267432704,-0.22928603908446,-0.06199999999999999,False
0.0,30.0,-30.0,True,True,False,geometric_or_robotic_infeasible,human_or_sleeve_bed_penetration;ur10e_bed_intersection;ur10e_human_intersection,human_or_sleeve_bed_penetration,ur10e_bed_intersection;ur10e_human_intersection,-3.469446951953614e-18,-0.19538,-0.20834199999999997,13.780507549636411,-3.0975142153882382,38.78050669019973,-3.0975142153882382,28.20752480806897,2.004802514469514,107.18897835668211,9.896856878675539,92.81102164331789,2,5.968544349857614,2,True,6.150253407742346e-16,78.35068399818448,0.3616748072616868,5.341803898278575,0.472326129126363,-0.2893784110928942,-0.061999999999999875,False
0.0,40.0,-40.0,True,True,False,geometric_or_robotic_infeasible,human_or_sleeve_bed_penetration;ur10e_bed_intersection;ur10e_human_intersection,human_or_sleeve_bed_penetration,ur10e_bed_intersection;ur10e_human_intersection,-3.469446951953614e-18,-0.2526035624579775,-0.2655547105996413,13.019915730233805,-0.5915931439913029,38.01991487079712,-0.5915931439913029,35.48251810291287,2.3519263181886316,108.96746787637746,7.467964782537014,91.03253212362254,2,5.832248582842963,2,True,9.124916743222824e-16,86.16241414831322,0.3417403462365881,5.772725035757315,0.5005351951011395,-0.34638459589187776,-0.06200000000000008,False
0.0,50.0,-50.0,True,True,False,geometric_or_robotic_infeasible,human_or_sleeve_bed_penetration;ur10e_bed_intersection;ur10e_human_intersection,human_or_sleeve_bed_penetration,ur10e_bed_intersection;ur10e_human_intersection,-3.469446951953614e-18,-0.3019999710243616,-0.3149417516466846,12.082255814083702,2.091396024153128,37.08225495464703,2.091396024153128,41.592157783112896,2.422005989815484,108.98320039820112,5.764616160482435,91.01679960179888,2,5.678568535245573,2,True,9.464169828966914e-15,95.36719549760137,0.3155389942144518,6.361317582561555,0.5293742199233475,-0.4004511569138616,-0.062000000000007285,False
0.0,60.0,-60.0,True,True,False,geometric_or_robotic_infeasible,human_or_sleeve_bed_penetration;ur10e_bed_intersection;ur10e_human_intersection,human_or_sleeve_bed_penetration,ur10e_bed_intersection;ur10e_human_intersection,-3.469446951953614e-18,-0.34206834082065163,-0.355002522889964,10.996018123259518,4.922962966971646,35.996017263822836,4.922962966971646,46.64625998965086,2.3973104062551926,108.75379323062008,4.549688693832691,91.24620676937992,2,5.518240601746304,2,True,1.653139813078377e-13,106.36661295528155,0.28175823594510785,7.215353831704608,0.5588146531254087,-0.4476923113182299,-0.06200000000011742,False
0.0,70.0,-70.0,True,True,False,geometric_or_robotic_infeasible,human_or_sleeve_bed_penetration;ur10e_self_collision;ur10e_bed_intersection;ur10e_human_intersection,human_or_sleeve_bed_penetration;ur10e_self_collision,ur10e_bed_intersection;ur10e_human_intersection,-3.469446951953614e-18,-0.37159121470616063,-0.3845197980669809,9.79420744033414,7.870102901891352,34.794206580897466,7.870102901891352,50.94812006533552,2.3516323324660484,108.82311690018214,3.6427151476552444,91.17688309981786,2,5.3605728191069195,2,True,9.358165337374058e-16,119.57760787690927,0.23750846826262273,8.630659131979195,0.588458312997703,-0.4825446357525119,-0.062000000000000347,True
0.0,80.0,-80.0,True,True,False,geometric_or_robotic_infeasible,human_or_sleeve_bed_penetration;ur10e_self_collision;ur10e_bed_intersection;ur10e_human_intersection,human_or_sleeve_bed_penetration;ur10e_self_collision,ur10e_bed_intersection;ur10e_human_intersection,-3.469446951953614e-18,-0.3896715550971725,-0.40259670970794353,8.51334017476271,10.896299419457108,33.513339315326036,10.896299419457108,54.74695251933889,2.315728193547572,109.3756225677357,2.9224799357968316,90.6243774322643,2,5.212949526690843,2,True,4.69807536761941e-16,135.50206708631632,0.1794916851093773,11.473712085896645,0.6172292331099936,-0.49828314837639387,-0.06200000000000025,True
0.0,85.0,-85.0,True,True,False,geometric_or_robotic_infeasible,human_or_sleeve_bed_penetration;ur10e_self_collision;ur10e_bed_intersection;ur10e_human_intersection,human_or_sleeve_bed_penetration;ur10e_self_collision,ur10e_bed_intersection;ur10e_human_intersection,-3.469446951953614e-18,-0.3942349872072479,-0.40715927641019295,7.855360515416066,12.426943704800927,32.855359655979385,12.426943704800927,56.51538392674462,2.306286538729758,109.85621467828548,2.605048762704098,90.14378532171452,2,5.144657389703344,2,True,1.8452492103008697e-16,145.0138571246683,0.14281098832362835,14.44016206391408,0.6305712448786528,-0.497754770187146,-0.062000000000000055,True
