case,candidate_index,fit_end_time_s,validation_ready_time_s,promotion_time_s,parameter_identification_status,control_model_status,legacy_estimator_accepted,legacy_estimator_reason,rank,rrqr_rank,condition_number,candidate_residual_rms_nms,active_bound_count,maximum_unconstrained_violation_fraction_of_span,maximum_normalized_parameter_std,validation_candidate_total_mse_nms2,validation_prior_total_mse_nms2,validation_last_valid_total_mse_nms2,oracle_proposed_model_error_nm,oracle_prior_error_nm,oracle_last_valid_error_nm,oracle_improvement_vs_last_valid_nm,oracle_improvement_vs_prior_nm,proposed_model_distance_to_truth_span_l2,reference_model_distance_to_truth_span_l2,truth_distance_change_from_last_valid_span_l2,proposed_model_distance_to_prior_span_l2
ideal_200hz,0,5.380000000000131,6.880000000000131,6.880000000000632,identified_boundary_pressured,promoted,False,bound_hit,11,11,11136.55538249854,0.015761550708569157,1,0.6891727612507097,7.731077594672828,8.739334452415582,10.117812789660103,10.117812789660103,4.392063434662333,4.71652121215846,4.71652121215846,0.3244577774961268,0.3244577774961268,0.4509287563919224,0.46038359121476413,-0.009454834822841707,0.07285471085276593
ideal_200hz,1,5.880000000000298,7.380000000000298,7.880000000000966,identified_boundary_pressured,promoted,False,bound_hit,11,11,6085.515416115967,0.015697510637953684,1,0.8149538698126029,3.854924604864911,7.796413973967241,10.4593067267892,9.09525334079714,4.104771473900853,4.739339179382285,4.4259041718581305,0.3211326979572773,0.634567705481432,0.46416777065788317,0.4509287563919224,0.013239014265960747,0.1417942220888809
ideal_200hz,2,6.380000000000465,7.880000000000465,8.380000000000795,identified_boundary_pressured,promoted,False,bound_hit,11,11,3834.090506731251,0.015031444437608706,2,0.6219063804523014,2.0888774964173877,6.987009306374398,10.679632527665284,8.114647009827124,3.835493239697446,4.725442301093363,4.126956225884028,0.29146298618658184,0.8899490613959169,0.4793581586332554,0.46416777065788317,0.015190387975372255,0.20453914610633853
ideal_200hz,3,6.880000000000632,8.380000000000631,8.380000000000795,identified_boundary_pressured,promoted,False,bound_hit,11,11,4102.314831335865,0.013342081107448212,1,0.3443412023261109,1.7617293070278501,5.930160549789296,10.679632527665284,6.987009306374398,3.541741088641737,4.725442301093363,3.835493239697446,0.29375215105570884,1.1837012124516257,0.49025221067396524,0.4793581586332554,0.010894052040709812,0.2611611344792459
ideal_200hz,4,7.380000000000799,8.880000000000798,8.880000000000518,identified_boundary_pressured,promoted,False,bound_hit,11,11,4102.314831335865,0.01305772393643054,1,0.3533418926818871,1.7241819140978447,4.817210943927157,10.333306494933918,5.844953382623185,3.1547329741010253,4.59808157185481,3.4669993041322518,0.3122663300312265,1.443348597753785,0.49328530828263556,0.49025221067396524,0.003033097608670321,0.30934676189658783
ideal_200hz,5,7.880000000000966,9.380000000000965,9.38000000000024,identified_boundary_pressured,promoted,False,bound_hit,11,11,3601.9754836336915,0.013096370595224267,1,0.44952095554432514,1.347569389106434,3.615151803556818,9.594284811279167,4.467250805418862,2.7175852941756635,4.407896581428847,3.015683910266532,0.2980986160908685,1.6903112872531838,0.4692981575956923,0.49328530828263556,-0.023987150686943237,0.33106811551121457
ideal_200hz,6,8.380000000000795,9.880000000000795,10.399999999999675,identified_boundary_pressured,promoted,False,bound_hit,11,11,1538.6282636272242,0.013440183072037976,1,0.575445976229654,0.5579498112753567,2.658367498461953,8.878504703970187,3.30629819061571,2.359031722723795,4.265915937288466,2.6236087819718343,0.2645770592480394,1.9068842145646712,0.4408366144292162,0.4692981575956923,-0.028461543166476144,0.34816366395319553
ideal_200hz,7,8.880000000000518,10.380000000000518,10.899999999999398,identified_boundary_pressured,promoted,False,bound_hit,11,11,846.3552044073479,0.013910736942343871,1,0.5677150518539014,0.30241589101114863,1.7560730561377285,8.688891569864623,2.1852550448128163,1.9358788765929071,4.230228401802865,2.1517015300915694,0.21582265349866225,2.2943495252099577,0.3892851252371992,0.4119511109869603,-0.022665985749761086,0.39285628470648226
ideal_200hz,8,9.38000000000024,10.88000000000024,10.87999999999941,identified_boundary_pressured,promoted,False,bound_hit,11,11,721.1484629892269,0.01387364630137092,1,0.5313784343066164,0.22154498361642852,2.1852550448128163,8.688891569864623,2.682925804661541,2.1517015300915694,4.230228401802865,2.3782798924719697,0.2265783623804003,2.0785268717112957,0.4119511109869603,0.4408366144292162,-0.028885503442255878,0.3695958051569857
ideal_200hz,9,9.879999999999963,11.379999999999963,13.899999999997736,identified_boundary_pressured,promoted,False,bound_hit,11,11,685.3749817649332,0.013590088892157787,1,0.5497626766892744,0.20132795288860986,1.1279592424606135,6.637201649646158,1.3645350466423571,1.5695134286717172,3.748278475800081,1.722496010624587,0.15298258195286984,2.1787650471283637,0.37329710259798465,0.3892851252371992,-0.01598802263921456,0.4180286815281485
ideal_200hz,10,10.379999999999686,11.879999999999686,14.399999999997458,identified_boundary_pressured,promoted,False,bound_hit,11,11,574.8600259935994,0.01306787323320556,1,0.5628625338486056,0.16013119173229118,0.51844286468897,4.53872594569464,0.6146332343889926,1.0889184303431083,3.1672525323784386,1.183327200432652,0.09440877008954374,2.0783341020353303,0.34001850568092096,0.34713197663214196,-0.0071134709512210015,0.4554952022377406
ideal_200hz,11,10.87999999999941,12.37999999999941,14.399999999997458,identified_boundary_pressured,promoted,False,bound_hit,11,11,543.7443587743173,0.013146091939695688,1,0.6275013921666588,0.15687824227930386,0.42956973228585543,4.53872594569464,0.51844286468897,0.9935059603023242,3.1672525323784386,1.0889184303431083,0.09541247004078413,2.1737465720761144,0.3294398385292073,0.34001850568092096,-0.010578667151713683,0.476111541774971
ideal_200hz,12,11.379999999999132,12.879999999999132,14.399999999997458,identified_boundary_pressured,promoted,False,bound_hit,11,11,544.547704782942,0.013234846245216607,1,0.6463633431415945,0.1576538752079951,0.35452355172362926,4.53872594569464,0.42956973228585543,0.9049544988921484,3.1672525323784386,0.9935059603023242,0.08855146141017578,2.26229803348629,0.32251651465598097,0.3294398385292073,-0.006923323873226306,0.4968788906775144
ideal_200hz,13,11.879999999998855,13.379999999998855,14.399999999997458,identified_boundary_pressured,promoted,False,bound_hit,11,11,495.82503985371596,0.03223857158841597,2,0.9641642185449831,0.3803472874769278,0.2937967759088771,4.731712657792745,0.3695973200567997,0.8099965050051474,3.1673568454388703,0.905062678872577,0.09506617386742955,2.357360340433723,0.31486948713427376,0.32251651465598097,-0.007647027521707206,0.510172824048757
ideal_200hz,14,12.379999999998578,13.879999999998578,14.399999999997458,identified_boundary_pressured,promoted,False,bound_hit,11,11,495.82503985371596,0.03221082990043738,2,0.9558899861147518,0.38001999395079417,0.23527864973148202,4.92503001892176,0.3058493534509016,0.7139017866668972,3.1673568454388703,0.8099965050051474,0.09609471833825023,2.453455058771973,0.3113377948798152,0.31486948713427376,-0.0035316922544585405,0.5243783665228301
ideal_200hz,15,12.8799999999983,14.3799999999983,14.37999999999747,identified_boundary_pressured,promoted,False,bound_hit,11,11,495.82503985371596,0.032194364462003744,2,0.9497015183698188,0.3798257364345087,0.6670031694276078,4.92503001892176,0.8168085117653499,1.1834356487284803,3.1673568454388703,1.306574524021245,0.12313887529276468,1.98392119671039,0.34713197663214196,0.37329710259798465,-0.026165125965842695,0.4295556499722886
ideal_200hz,16,13.379999999998024,14.879999999998024,16.879999999997647,identified_boundary_pressured,promoted,False,bound_hit,11,11,495.82503985371596,0.03218489319453069,2,0.945093305124919,0.3797139954138974,0.23950231077807713,6.621906758837728,0.31251638894946254,0.7588325616508632,3.702354528129142,0.8564021262353583,0.09756956458449506,2.943521966478279,0.3116195921841161,0.3113377948798152,0.00028179730430089034,0.5393322860586385
ideal_200hz,17,13.879999999997747,15.379999999997747,17.379999999998258,identified_boundary_pressured,promoted,False,bound_hit,11,11,419.9582118697494,0.035702455382058594,1,0.756970325219634,0.4131480330322806,0.23060872136085275,8.307234113278817,0.2903256643262738,0.7321316455367834,4.121469630896771,0.8142056229727316,0.08207397743594813,3.389337985359987,0.31505349173236663,0.3116195921841161,0.0034338995482505186,0.5554754609739811
ideal_200hz,18,14.37999999999747,15.87999999999747,17.379999999998258,identified_boundary_pressured,promoted,False,bound_hit,11,11,422.2364732706448,0.03504351290845344,1,0.793333485127949,0.40372377713809815,0.18276313464104516,8.307234113278817,0.23060872136085275,0.6584679511970425,4.121469630896771,0.7321316455367834,0.07366369433974096,3.4630016796997283,0.3213070417793658,0.31505349173236663,0.006253550046999179,0.5708366178709977
ideal_200hz,19,14.879999999997192,16.379999999997192,17.379999999998258,identified_boundary_pressured,promoted,False,bound_hit,11,11,425.233330548486,0.03467170714203509,1,0.8007461785278933,0.3989057090457411,0.13927990289883457,7.98411659942464,0.1763422939001363,0.5940700772308531,4.123156750259532,0.6604914286338204,0.06642135140296723,3.5290866730286785,0.3287227364663035,0.3213070417793658,0.007415694686937702,0.5852966303196914
ideal_200hz,20,15.379999999996915,16.879999999996915,17.379999999998258,identified_boundary_pressured,promoted,False,bound_hit,11,11,425.233330548486,0.034662764311136345,1,0.8018334789145829,0.3988028197854595,0.10958681880022793,7.98411659942464,0.13927990289883457,0.5343379974949032,4.123156750259532,0.5940700772308531,0.05973207973594996,3.5888187527646283,0.33669014192943497,0.3287227364663035,0.00796740546313146,0.5987934716314839
ideal_200hz,21,15.879999999996638,17.379999999996638,17.379999999998258,identified_boundary_pressured,promoted,False,bound_hit,11,11,425.233330548486,0.03464425666401592,1,0.8029773369925759,0.3985898851852941,0.08213363385642203,7.654355053806517,0.10475128643046844,0.4808896937190975,4.123156750259532,0.5343379974949032,0.05344830377580567,3.642267056540434,0.3446775928202204,0.33669014192943497,0.007987450890785452,0.6111276084657556
ideal_200hz,22,16.379999999997036,17.879999999997036,17.87999999999887,identified_boundary_pressured,promoted,False,bound_hit,11,11,425.233330548486,0.034633757474911965,1,0.8038068554076433,0.39846908967739597,0.04680991879800975,7.561511772746334,0.06139856115113223,0.37740279890514533,4.0920051143378755,0.42145966077488517,0.04405686186973984,3.7146023154327303,0.3524625099686047,0.3446775928202204,0.007784917148384252,0.6223862965685454
ideal_200hz,23,16.879999999997647,18.379999999997647,18.37999999999948,identified_boundary_pressured,promoted,False,bound_hit,11,11,390.7321852439675,0.03537061675028327,1,0.6069361620011798,0.3931861332138894,0.03153798697855474,7.973385677898456,0.040948777033053246,0.4715127671976788,4.319356214540802,0.5038461573803384,0.03233339018265963,3.847843447343123,0.3664130435238574,0.3524625099686047,0.01395053355525272,0.6379349795274852
ideal_200hz,24,17.379999999998258,18.879999999998258,18.88000000000009,identified_boundary_pressured,promoted,False,bound_hit,11,11,350.4997800439677,0.034441301817209086,1,0.48055476788246726,0.36572141786858503,0.046194715329650304,9.175621344020087,0.056903766961626835,0.5440195139721311,4.657275682222498,0.5764457527672728,0.032426238795141726,4.113256168250367,0.38268205373322667,0.3664130435238574,0.016269010209369272,0.6546427024929765
ideal_200hz,25,17.87999999999887,19.37999999999887,19.380000000000702,identified_boundary_pressured,promoted,False,bound_hit,11,11,323.3243913011247,0.03405422750537673,2,0.15979256699897945,0.2958088704138644,0.04945345116581429,9.925074914107824,0.06083964726199412,0.4407992559965344,4.732007847087728,0.4746241975677483,0.03382494157121391,4.291208591091194,0.3970262873009268,0.38268205373322667,0.014344233567700149,0.6697849750328676
ideal_200hz,26,18.37999999999948,19.87999999999948,19.880000000001314,identified_boundary_pressured,promoted,False,bound_hit,11,11,322.33776356894583,0.0333040577422037,2,0.13539912057509987,0.2834892280379401,0.033816495107712646,9.806749283843178,0.04205318489716364,0.3233524861344718,4.6564832640516585,0.3535695913841526,0.030217105249680798,4.333130777917186,0.4112336630298954,0.3970262873009268,0.014207375728968574,0.6839922329917955
ideal_200hz,27,18.88000000000009,20.38000000000009,20.380000000001925,identified_boundary_pressured,promoted,False,bound_hit,11,11,331.82765787693427,0.03258372988139765,2,0.09925132250320523,0.26499920555157436,0.03443144357579872,9.826377742552191,0.0409750334796386,0.3167739241969264,4.653302892907296,0.3411095601032266,0.024335635906300168,4.336528968710369,0.42527841267679933,0.4112336630298954,0.014044749646903942,0.6977488917569653
ideal_200hz,28,19.380000000000702,20.880000000000702,20.880000000002536,identified_boundary_pressured,promoted,False,bound_hit,11,11,338.11039487908835,0.0319818740730076,2,0.09789931116579685,0.25733975481140287,0.033370236524694466,9.968537159344699,0.0390136801030332,0.40189036977603293,4.736792832356535,0.421199546233101,0.01930917645706809,4.334902462580502,0.43874531776538755,0.42527841267679933,0.013466905088588221,0.710855633932363
ideal_200hz,29,19.880000000001314,21.380000000001314,,identified_boundary_pressured,pending_insufficient_future_validation,False,bound_hit,11,11,340.7460075477788,0.0313472301278813,2,0.12294331944412282,0.2471483663105355,,,,nan,nan,nan,nan,nan,nan,,,nan
ideal_200hz,30,20.380000000001925,21.880000000001925,,identified_boundary_pressured,pending_insufficient_future_validation,False,bound_hit,11,11,340.57148543539165,0.031196786056985948,2,0.09283852396785193,0.24008319397813344,,,,nan,nan,nan,nan,nan,nan,,,nan
ideal_200hz,31,20.880000000002536,22.380000000002536,,identified_boundary_pressured,pending_insufficient_future_validation,False,bound_hit,11,11,344.35895673180244,0.03102943437620287,2,0.13093550293051406,0.23747519636058648,,,,nan,nan,nan,nan,nan,nan,,,nan
ideal_200hz,32,21.380000000003147,22.880000000003147,,identified_boundary_pressured,pending_insufficient_future_validation,False,bound_hit,11,11,344.35895673180244,0.03102953182580099,2,0.13106594385853268,0.23747594216414084,,,,nan,nan,nan,nan,nan,nan,,,nan
ideal_200hz,33,21.880000000003758,23.380000000003758,,identified_boundary_pressured,pending_insufficient_future_validation,False,bound_hit,11,11,344.35895673180244,0.03102953182580099,2,0.13106594385853268,0.23747594216414084,,,,nan,nan,nan,nan,nan,nan,,,nan
ideal_200hz,34,22.38000000000437,23.88000000000437,,identified_boundary_pressured,pending_insufficient_future_validation,False,bound_hit,11,11,344.35895673180244,0.03102953182580099,2,0.13106594385853268,0.23747594216414084,,,,nan,nan,nan,nan,nan,nan,,,nan
ideal_200hz,35,22.88000000000498,24.38000000000498,,identified_boundary_pressured,pending_insufficient_future_validation,False,bound_hit,11,11,344.35895673180244,0.03102953182580099,2,0.13106594385853268,0.23747594216414084,,,,nan,nan,nan,nan,nan,nan,,,nan
noise_200hz,0,5.380000000000131,6.880000000000131,6.880000000000632,identified_boundary_pressured,promoted,False,bound_hit,11,11,6513.780311950414,0.04019362079742894,2,1.7776286699976196,11.287401021674045,9.998846825233898,11.672388207436182,11.672388207436182,4.385603381802359,4.728967734892647,4.728967734892647,0.3433643530902879,0.3433643530902879,0.4822195707359471,0.46038359121476413,0.02183597952118299,0.07224794032457596
noise_200hz,1,5.880000000000298,7.380000000000298,7.380000000000799,identified_boundary_pressured,promoted,False,bound_hit,11,11,6513.780311950414,0.040093688491910154,2,1.8470538329431652,11.25933746370061,8.60692125828351,11.742911641492945,10.090503273474297,4.092683589705251,4.7612302460286635,4.422104460340369,0.3294208706351185,0.6685466563234126,0.5109673796515619,0.4822195707359471,0.028747808915614792,0.14071866620514842
noise_200hz,2,6.380000000000465,7.880000000000465,8.380000000000795,identified_boundary_pressured,promoted,False,bound_hit,11,11,4092.7586867844643,0.039661300186453606,2,1.3108207878847489,6.317933122341135,7.784533485628945,11.9378971770774,9.005589020541255,3.7817395725978518,4.695376523098543,4.077673241571834,0.29593366897398266,0.9136369505006909,0.5394497902576596,0.5109673796515619,0.028482410606097686,0.2044847695381858
noise_200hz,3,6.880000000000632,8.380000000000631,8.880000000000518,identified_boundary_pressured,promoted,False,bound_hit,11,11,4059.9170662682823,0.0363813192961484,2,0.939096597427824,5.086404531097083,6.696012110349764,11.537093804565473,7.801794901119772,3.4355212915049753,4.549869716180022,3.7230729918088676,0.2875517003038923,1.1143484246750468,0.5592406264681505,0.5394497902576596,0.019790836210490936,0.2562941994743752
noise_200hz,4,7.380000000000799,8.880000000000798,8.880000000000518,identified_boundary_pressured,promoted,False,bound_hit,11,11,4227.698737867983,0.035372286964165986,2,1.0545922694998857,4.667225132103024,5.677035058511068,11.537093804565473,6.696012110349764,3.1489884305134623,4.549869716180022,3.4355212915049753,0.286532860991513,1.4008812856665598,0.5803038771489084,0.5592406264681505,0.021063250680757872,0.30904616011308933
noise_200hz,5,7.880000000000966,9.380000000000965,10.399999999999675,identified_boundary_pressured,promoted,False,bound_hit,11,11,4264.796998085577,0.035367313243264205,3,1.1625785250896932,4.487728452020145,3.724767910338691,9.664082388710046,4.6082996296077186,2.7567319848150853,4.420107319509612,3.0629583329499512,0.30622634813486593,1.663375334694527,0.5882720768967993,0.5803038771489084,0.00796819974789087,0.3516037472403917
noise_200hz,6,8.380000000000795,9.880000000000795,10.899999999999398,identified_boundary_pressured,promoted,False,bound_hit,11,11,1525.969344973897,0.03504512462007857,3,1.1916134634248825,1.5967953206930987,1.7792887103743773,8.674853735110002,2.358450100556122,2.0439395615467637,4.288529514205179,2.3156552147849596,0.2717156532381959,2.2445899526584157,0.563605342331108,0.5553339174427563,0.008271424888351753,0.4000174648368682
