solver_type,condition,target_reached,final_theta_deg,T_reach,max_abs_F_rad,max_abs_delta_r,max_abs_omega,max_abs_alpha_step,max_abs_F_tan,feasible_mpc_decisions,total_mpc_decisions,feasible_mpc_decision_ratio,mean_candidate_feasible_ratio,mean_feasible_count,min_feasible_count,max_feasible_count,max_omega_violation_severity,max_alpha_violation_severity,sum_omega_violation_severity,sum_alpha_violation_severity,max_delta_r_violation_severity,max_F_rad_violation_severity,omega_violation_count,alpha_violation_count,done_reason,runtime_s
random_shooting,clean,False,89.92871114126763,nan,0.7355176844127158,0.012071019861621235,1.8944351347105883,15.16407150697584,9.144956993025556,220,267,0.8239700374531835,0.004291510611735331,0.8239700374531835,0.0,1.0,0.6944351347105884,12.16407150697584,21.26381555777421,224.19324901508725,0.0,0.0,56,79,max_time,62.757090499973856
random_shooting,noise,True,90.9116076818305,1.8800000000000014,0.9957620744347516,0.011935762412976225,2.0345501291079904,50.30622592789716,9.2063727289303,1,63,0.015873015873015872,8.267195767195767e-05,0.015873015873015872,0.0,1.0,0.8345501291079904,47.30622592789716,22.14811687068837,466.6788044693909,0.0,0.0,58,91,target_reached,15.369766999967396
random_shooting,noise_bias,True,90.0516506216676,1.8300000000000014,1.0,0.012244792151876516,1.7885476580867752,44.119265835321684,9.439771169438227,0,61,0.0,0.0,0.0,0.0,0.0,0.5885476580867752,41.119265835321684,12.41888253452236,511.6570674991825,0.0,0.0,31,92,target_reached,14.599810084095225
cem,clean,True,90.07009804455394,2.0400000000000005,0.8111186805543643,0.011669650259969355,1.596524798242823,11.071127403206015,8.066946866492385,0,68,0.0,0.0,0.0,0.0,0.0,0.39652479824282305,8.071127403206015,3.9301295267398233,195.8809783142441,0.0,0.0,16,76,target_reached,31.839386124978773
cem,noise,True,91.40221587557045,1.350000000000001,0.8096104931276599,0.01050188750133002,3.8703388002383665,61.735912819438354,11.219567625427604,0,45,0.0,0.0,0.0,0.0,0.0,2.6703388002383663,58.735912819438354,30.99736886773335,624.1748928741755,0.0,0.0,44,73,target_reached,20.734402292058803
cem,noise_bias,True,90.12212579830368,3.2199999999999753,0.7087302975094822,0.012001777005701708,2.614595690197909,40.43578011654856,11.707216051024433,10,108,0.09259259259259259,0.00024112654320987653,0.09259259259259259,0.0,1.0,1.414595690197909,37.43578011654856,22.025983249356038,1138.360659876189,0.0,0.0,60,145,target_reached,49.949699167045765
cem_feasibility_first,clean,False,89.58037381647786,nan,0.7805169958601217,0.01167823785565475,1.6216250531951866,12.544279255803081,8.639502551479548,148,267,0.5543071161048689,0.0014435081148564293,0.5543071161048689,0.0,1.0,0.4216250531951866,9.544279255803081,5.53668482618549,241.84719867042497,0.0,0.0,21,100,max_time,124.70800049998797
cem_feasibility_first,noise,True,90.1962785279513,1.370000000000001,0.8726509830526142,0.011112076730828424,3.391608582722393,58.480748913151956,11.085969145544896,0,46,0.0,0.0,0.0,0.0,0.0,2.1916085827223935,55.480748913151956,26.13022425826331,891.065102020377,0.0,0.0,54,95,target_reached,21.50247908406891
cem_feasibility_first,noise_bias,True,90.3651980029418,3.45999999999997,0.7158490352647551,0.01191851495663393,1.833952680394364,53.213710777834265,8.696024940656903,18,116,0.15517241379310345,0.00040409482758620684,0.15517241379310345,0.0,1.0,0.633952680394364,50.213710777834265,20.307590950742238,416.03745079924903,0.0,0.0,66,110,target_reached,54.64741245901678
