solver,filter,condition,target_reached,final_theta_deg,T_reach,max_abs_F_rad,max_abs_delta_r,max_abs_omega,max_abs_alpha_step,max_abs_F_tan,feasible_mpc_decisions,total_mpc_decisions,feasible_mpc_decision_ratio,mean_feasible_count,omega_violation_count,alpha_violation_count,max_omega_violation_severity,max_alpha_violation_severity,rms_raw_theta,rms_raw_omega,rms_raw_r,rms_raw_r_dot,rms_filt_theta,rms_filt_omega,rms_filt_r,rms_filt_r_dot,rms_reduction_theta,rms_reduction_omega,rms_reduction_r,rms_reduction_r_dot,rms_reduction_ratio_theta,rms_reduction_ratio_omega,rms_reduction_ratio_r,rms_reduction_ratio_r_dot,mean_innovation_norm,max_covariance_trace,ukf_failure_count,done_reason,runtime_s
cem,raw,clean,True,90.07009804455394,2.0400000000000005,0.8111186805543643,0.011669650259969355,1.596524798242823,11.071127403206015,8.066946866492385,0,68,0.0,0.0,16,76,0.39652479824282305,8.071127403206015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0,target_reached,31.38149225001689
cem,raw,noise,True,91.40221587557045,1.350000000000001,0.8096104931276599,0.01050188750133002,3.8703388002383665,61.735912819438354,11.219567625427604,0,45,0.0,0.0,44,73,2.6703388002383663,58.735912819438354,0.004209213920147345,0.03560272006355849,0.0008526713025420099,0.003714826327686026,0.004209213920147345,0.03560272006355849,0.0008526713025420099,0.003714826327686026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0,target_reached,20.66786237503402
cem,raw,noise_bias,True,90.12212579830368,3.2199999999999753,0.7087302975094822,0.012001777005701708,2.614595690197909,40.43578011654856,11.707216051024433,10,108,0.09259259259259259,0.09259259259259259,60,145,1.414595690197909,37.43578011654856,0.010615046179846332,0.036326659390525075,0.0017005800185201617,0.004617980456954724,0.010615046179846332,0.036326659390525075,0.0017005800185201617,0.004617980456954724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0,target_reached,49.64921033394057
cem,alpha_beta,clean,False,89.97303654479177,nan,0.7645864936842929,0.011716469827837861,2.1716287051292813,14.401905421348104,8.995686703461098,217,267,0.8127340823970037,0.8127340823970037,65,76,0.9716287051292813,11.401905421348104,0.0,0.0,0.0,0.0,0.0009332364250948586,0.10742089525810433,1.7960368173636378e-05,0.0022887515506003,-0.0009332364250948586,-0.10742089525810433,-1.7960368173636378e-05,-0.0022887515506003,nan,nan,nan,nan,nan,nan,0,max_time,125.61881887505297
cem,alpha_beta,noise,True,90.00051640090601,2.1799999999999975,0.8690539966725377,0.011870629352344564,2.1813089367978824,14.204126995316834,8.964178035447073,10,73,0.136986301369863,0.136986301369863,65,84,0.9813089367978824,11.204126995316834,0.003957454652835571,0.035454466529938465,0.0008097641719126954,0.003995555616978892,0.003147860507044522,0.2117180893929333,0.0005357079305369731,0.009451259838373494,0.0008095941457910492,-0.17626362286299482,0.0002740562413757223,-0.005455704221394602,0.2045744592956899,-4.971549147810594,0.33843957399151225,-1.3654431934850035,nan,nan,0,target_reached,34.57310562499333
cem,alpha_beta,noise_bias,True,90.04128398911753,5.689999999999923,0.9301651438953005,0.012061514177659494,2.14061785111914,43.70594558616778,8.623515072372136,74,190,0.3894736842105263,0.3894736842105263,67,123,0.9406178511191399,40.70594558616778,0.010662446300435321,0.03760157187060801,0.0016807818630220014,0.00448942817552014,0.010329838539635285,0.16736206332444353,0.001569208327990765,0.008167836436927887,0.0003326077608000362,-0.12976049145383553,0.00011157353503123634,-0.003678408261407747,0.031194319898845038,-3.450932633889843,0.06638192467797699,-0.8193489499320413,nan,nan,0,target_reached,90.8918088329956
cem,ukf,clean,True,90.07009787395816,2.0400000000000005,0.8111184269046335,0.011669650331210424,1.5965253584307277,11.071127432207373,8.066948274170816,0,68,0.0,0.0,16,76,0.3965253584307278,8.071127432207373,0.0,0.0,0.0,0.0,1.295269657589649e-07,2.5836311186638035e-07,9.565855654689642e-08,1.3395936497112704e-07,-1.295269657589649e-07,-2.5836311186638035e-07,-9.565855654689642e-08,-1.3395936497112704e-07,nan,nan,nan,nan,0.0058015270473432655,0.07100000000000001,0,target_reached,31.903401666902937
cem,ukf,noise,True,90.0807949720804,4.809999999999942,0.835940473245887,0.012114124115475688,1.6056666885130941,10.719480876047216,8.40124219802604,76,161,0.4720496894409938,0.4720496894409938,19,94,0.4056666885130942,7.719480876047216,0.0037840405482381942,0.034909007374637833,0.0008603443432696376,0.004165421833342865,0.0015305467879185544,0.02489627360868924,0.0009270504165577414,0.0033841935665572653,0.00225349376031964,0.010012733765948592,-6.670607328810381e-05,0.0007812282667855998,0.5955257961939231,0.2868237890150685,-0.07753415688722404,0.18755081671011523,0.03697125609899814,0.07100000000000001,0,target_reached,77.09561904205475
cem,ukf,noise_bias,False,87.1992233147771,nan,0.7448238601850162,0.011891865875171936,1.5903331640142624,10.480888108762532,8.100711979433903,100,267,0.37453183520599254,0.37453183520599254,19,96,0.39033316401426243,7.480888108762532,0.010789272306931162,0.03880142536204565,0.0016851007811867955,0.004452720955175783,0.009692211505434627,0.029215853389202455,0.0013903103254425454,0.0033610770614370925,0.0010970608014965345,0.009585571972843196,0.00029479045574425013,0.001091643893738691,0.10168070378497807,0.24704174868327144,0.17493936210547176,0.24516332928291376,0.03474620124149233,0.07100000000000001,0,max_time,127.95464066707063
cem,ukf_bias,clean,True,90.14631852620893,2.06,0.901936195275346,0.011336196866756854,1.6265414427484994,9.437799872804876,7.953188824150843,0,69,0.0,0.0,17,84,0.4265414427484995,6.4377998728048755,0.0,0.0,0.0,0.0,0.014207406232261228,0.009393297832139972,0.002464035579896003,0.0006573687609728409,-0.014207406232261228,-0.009393297832139972,-0.002464035579896003,-0.0006573687609728409,nan,nan,nan,nan,0.00725256292397194,0.0732,0,target_reached,32.76574087503832
