direction,start_q2_deg,target_q2_deg,status,failure_reason,peak_sleeve_force_n,reached_target_region,final_q_deg,final_dq_deg_s,max_ee_tracking_error_mm,bed_active_transitions,rom_violation,engineering_floor_violation
forward,3.0,10.0,FAIL,engineering_floor_violation,28.53372651025064,False,[1.2392693510994386;2.920872142844835],[-11.48426848222873;-7.781645755322551],2.084767397670313,2,False,True
forward,3.0,15.0,FAIL,engineering_floor_violation,27.01290064331929,False,[1.2908805285054004;2.9495222552255145],[-10.366054195715343;-6.408884673707051],1.5593644759818668,0,False,True
forward,3.0,20.0,FAIL,engineering_floor_violation,27.0128947393829,False,[1.2908805252445439;2.9495222673009325],[-10.366054659784576;-6.4088827397257715],1.5593608482809116,0,False,True
forward,3.0,25.0,FAIL,engineering_floor_violation,28.496525787330345,False,[1.2394842831375044;2.9216231149589063],[-11.412589170534073;-7.631397002738014],2.0868232039014964,2,False,True
forward,3.0,30.0,FAIL,engineering_floor_violation,27.012891186664472,False,[1.2908805232839409;2.949522274556122],[-10.36605493895048;-6.408881577225819],1.5593586662054002,0,False,True
