mode,attempt_index,wall_time_s,reference_phase_s,accepted,reason,current_bound_hit,rank,rrqr_rank,condition_number,candidate_residual_rms_nms,old_residual_rms_nms,positive_definite_mass_matrix,maximum_unconstrained_violation_fraction_of_span,active_or_pressured_bounds,distance_to_prior_span_normalized_l2,distance_to_true_span_normalized_l2,observed_history_torque_rmse_nm,registered_full_trajectory_torque_rmse_nm,unconstrained_a_inertia_combination,unconstrained_b_distal_inertia_combination,unconstrained_d_mass_length_com_combination,unconstrained_g1_proximal_gravity_combination,unconstrained_g2_distal_gravity_combination,unconstrained_k1_passive_stiffness,unconstrained_k2_passive_stiffness,unconstrained_rho1_stiffness_rest_combination,unconstrained_rho2_stiffness_rest_combination,unconstrained_bv1_viscous_damping,unconstrained_bv2_viscous_damping,constrained_a_inertia_combination,constrained_b_distal_inertia_combination,constrained_d_mass_length_com_combination,constrained_g1_proximal_gravity_combination,constrained_g2_distal_gravity_combination,constrained_k1_passive_stiffness,constrained_k2_passive_stiffness,constrained_rho1_stiffness_rest_combination,constrained_rho2_stiffness_rest_combination,constrained_bv1_viscous_damping,constrained_bv2_viscous_damping
existing_cem,0,6.500000000000505,3.2500000000002527,True,accepted,False,11,11,25937.224442904415,0.006212663136445014,1.8163017255176397,True,0.2908550995885905,bv2_viscous_damping:lower:0.290855099589:5.01780301754e-07,0.7886886833440686,0.9225206213465863,1.1588005355898197,1.5927083026819062,1.4615298342785408,0.17752313906269218,0.3015034232950188,34.75310696604616,10.407471859624554,11.993215043930062,11.213251930174648,0.560725509246847,0.8748983667482249,3.4775228783939935,1.0457245020570474,1.461271904231428,0.17103161228963168,0.2884628189639397,34.722436395542225,10.441436439802459,11.979278377787328,9.540136960301313,0.5620988128063543,0.566959050318425,3.481443237969948,2.5000005017803018
existing_cem,1,7.000000000000672,3.500000000000336,False,bound_hit,True,11,11,12585.486849721685,0.0073526975892382485,1.7682774255241698,True,0.2989408407016459,bv2_viscous_damping:lower:0.298940840702:2.43999220828e-09,0.9603249262498494,1.024017684968026,0.8650029939333295,1.0553138696587154,1.7747396173752996,0.15815296555309993,0.26533207839212497,34.535405652829056,10.94882052581583,12.191102645562385,13.701102018444312,0.5334105575148247,0.574101137209085,3.2414955748362253,1.0052957964917706,1.7731371862385994,0.15162594121767256,0.2502095081266544,34.49343299808359,10.994637748658576,12.173748055259086,12.017816993324825,0.5348803496313645,0.2528119781518656,3.2458794799958173,2.500000002439992
existing_cem,2,7.500000000000839,3.7500000000004197,True,accepted,False,11,11,9911.397086814306,0.009396419092862453,1.8598481324489449,True,0.07338489453464732,bv2_viscous_damping:lower:0.0733848945346:8.51755045606e-07,0.7333855006338103,0.7791126441311147,0.6377826933413693,0.7677850431840479,1.662761759831259,0.18620910541151886,0.28311924217702045,35.88090958989867,10.110084138651587,12.109112284620366,12.110283011131648,0.7831405459935943,1.035395718551002,4.563037370862237,2.1330755273267634,1.6577509488838564,0.18265202822137974,0.276317084249907,35.8462121739787,10.147715664014822,12.097612500688978,11.832333570856004,0.7845822820807263,0.9531836042765448,4.565708716405778,2.5000008517550456
existing_cem,3,8.000000000001005,4.028800000000517,False,bound_hit,True,11,11,7545.233921833179,0.0113496676738893,1.7485936109248743,True,0.13635927047512664,a_inertia_combination:lower:0.018761966354:2.40079600644e-08;d_mass_length_com_combination:lower:0.136359270475:7.6327832943e-15;bv2_viscous_damping:lower:0.0698941246971:3.22968318756e-11,1.0198153663419796,1.1731153664033735,0.462209573518173,0.8780575831426075,0.6981885497215425,0.19125202648518516,0.12319696846450778,39.10832927724612,8.223709284614845,12.33994111375867,13.15092730724677,1.884380531286817,3.017386170301635,5.0276223336875585,2.1505293765147466,0.7254087624153114,0.18798729496798636,0.16939379786400763,39.10212538776686,8.245718016955305,12.365078840568437,12.861562678905763,1.9063802385644997,2.9479353691537993,5.034408629854605,2.500000000032297
existing_cem,4,8.500000000000728,4.3700500000003295,False,bound_hit,True,11,11,5665.488348802532,0.013322434305267082,1.813156332816555,True,0.476156948380521,d_mass_length_com_combination:lower:0.0425760383469:2.77555756156e-17;g2_distal_gravity_combination:lower:0.0230936595133:2.24326004386;rho1_stiffness_rest_combination:upper:0:1.76156644827e-08;rho2_stiffness_rest_combination:upper:0.476156948381:0;bv2_viscous_damping:lower:0.0691563712945:4.4408920985e-16,1.398178495093736,1.4532367098578602,0.3265555464390675,1.429648443340023,0.9417744195436154,0.1859077263339692,0.15496956419681965,45.350997455540146,3.6280013592702987,13.624129926118878,14.14723429695193,3.460562086108521,7.729139707629621,4.825696369091768,2.1542181435274714,0.9135494258868557,0.1870515797378031,0.16939379786400002,43.42467949956533,6.046943336856542,13.22960158643015,13.676793261592675,3.9269907993715765,5.235987755982989,5.064164311854519,2.5000000000000004
existing_cem,5,9.000000000000451,4.7738000000000715,False,bound_hit,True,11,11,4510.936548926917,0.014725351693883879,1.861349657866768,True,0.9387140045542605,g2_distal_gravity_combination:lower:0.337266879259:2.2508407046;rho1_stiffness_rest_combination:upper:0:8.881784197e-16;rho2_stiffness_rest_combination:upper:0.938714004554:0;bv2_viscous_damping:lower:0.106832303921:8.59434868605e-07,1.293951456624635,1.16214855455078,0.2322007827197494,1.4355746360236386,1.5694779038490154,0.22001793239786122,0.2900815559988145,47.87890357729583,1.2379705051600158,14.28450977230064,14.403694158723447,3.563150178540701,10.151082790198856,5.053811708411177,1.965838480392887,1.7343952532228613,0.22871010548671172,0.3324880934160944,43.46654212053693,6.0545239976007945,13.367889796760508,13.752391385004884,3.92699081698724,5.235987755982989,5.916703418727981,2.5000008594348686
existing_cem,6,9.500000000000174,5.240049999999746,False,bound_hit,True,11,11,3029.8410165936234,0.014821110637002066,1.8938408721225934,True,0.6984912923085743,g2_distal_gravity_combination:lower:0.195545954459:2.20570945926;rho2_stiffness_rest_combination:upper:0.698491292309:4.84092765873e-11,1.293010703693404,1.0752311275848576,0.17729946985365408,1.1762211379997676,1.9485669634664862,0.2610161782020992,0.3281965320485474,45.864750028875946,2.3160935330232624,13.893795710427955,13.180631320788034,2.551085250359752,8.893279610171419,5.870846967130358,3.2661809390788727,2.1367488228269527,0.25240884336916036,0.3682215596066248,42.92399894964632,6.009392752257572,13.30465601070748,13.357520988980792,3.284501308686004,5.2359877559345795,6.506895861915254,2.9269913656105735
existing_cem,7,9.999999999999897,5.7399999999987825,False,bound_hit,True,11,11,2299.229445592389,0.015034398811281234,1.9168341909416537,True,0.627852830234139,g2_distal_gravity_combination:lower:0.176012581516:1.99405326781;rho2_stiffness_rest_combination:upper:0.627852830234:3.58824081559e-13,1.1198668499156668,0.9017012999546353,0.13704417240057734,0.46560299326592497,1.9279681898595171,0.2726281427107638,0.2563828850092283,44.313480889013405,2.464691061662073,13.46979228995989,11.663846839287102,1.065349996336594,8.523417487648207,6.516579380466455,5.327510692683648,2.1171129160973017,0.26666519602964783,0.30659497584486967,41.8443333191203,5.797736560805031,12.996288501578501,11.904821990721686,1.9152263257884141,5.23598775598263,7.013117088630903,4.91590255344224
existing_cem,8,10.49999999999962,6.239999999998505,False,bound_hit,True,11,11,2288.004071374528,0.014795787969660489,1.9342026795183755,True,0.48492191577146154,g2_distal_gravity_combination:lower:0.0755110241969:1.96766971615;rho2_stiffness_rest_combination:upper:0.484921915771:3.5527136788e-15,1.055522652140941,0.9227641487165281,0.10796789682387713,0.39226258770499534,1.6375874668516341,0.25105391676248556,0.17828295336613148,42.98326211915579,3.22924325065002,13.051097189292094,11.63226066990498,0.41433437917993543,7.775032969570176,7.004779975990678,5.44764950651066,1.876164851921449,0.24255169599994844,0.24072494788306284,41.36906541497771,5.77135300915494,12.788335531126027,11.616256205245795,1.3400691903971218,5.235987755982985,7.276063555110289,5.4273399921436845
existing_cem,9,10.999999999999343,6.739999999998228,False,bound_hit,True,11,11,2242.736204397487,0.01452629559954579,1.9483970770702457,True,0.20868766983716586,rho2_stiffness_rest_combination:upper:0.208687669837:1.20792265079e-13,1.056048759228331,0.9738773686399613,0.08921233521495192,0.394042260291019,1.4493801547122724,0.2591817801755114,0.17822717579697306,41.971355849190246,4.710942005236079,12.792274962299427,11.747427959465737,0.8211749899108269,6.32867384007501,7.272074961799483,5.257134732239717,1.623210932199965,0.2474630611833067,0.21243481620097782,41.33305721918355,5.796688086761458,12.710893157347394,11.687063456104369,1.2720534597268287,5.235987755982868,7.361758377166453,5.34165138326683
