method,condition,target_reached,final_theta_deg,T_reach,done_reason,solver_success_count,solver_failure_count,solver_failure_rate,fallback_count,fallback_rate,mean_solve_time_s,max_solve_time_s,alpha_violation_count,alpha_mean_severity,alpha_p95_severity,alpha_p99_severity,alpha_max_severity,alpha_clipped_max_excluding_top1,alpha_violation_duration_s,alpha_integrated_violation,alpha_slack_mean,alpha_slack_max,alpha_slack_active_count,omega_violation_count,omega_mean_severity,omega_p95_severity,omega_max_severity,delta_r_violation_count,delta_r_mean_severity,delta_r_max_severity,F_tan_violation_count,F_rad_violation_count,force_violation_count,mean_action_magnitude,max_action_magnitude,action_smoothness,runtime_s
baseline_cem,clean,True,90.14631852620893,2.06,target_reached,0,0,nan,0,nan,nan,nan,84,0.9707977436361845,5.190370737879354,6.017610310288631,6.4377998728048755,6.406885809845965,0.84,2.009551329326902,nan,nan,0,17,0.021314290471390853,0.2095827413663774,0.4265414427484995,0,0.0,0.0,0,0,0,3.9476771941154825,7.953676678512168,0.20497280707735124,34.95876212499934
alpha200_omega0,clean,True,90.00098337303204,3.139999999999977,target_reached,0,0,nan,0,nan,nan,nan,73,0.6460521111996569,4.1734507206065246,7.432413387152994,7.896744286389515,7.836182593645759,0.73,2.0350641502789193,nan,nan,0,22,0.021383336682857558,0.20220498436934536,0.480062211413689,0,0.0,0.0,0,0,0,2.696212978282421,8.465669052466604,0.12631877022118357,54.18851758299934
nmpc_alpha_slack,clean,True,90.18159334954643,2.2199999999999966,target_reached,0,74,1.0,74,1.0,0.5182544087565475,0.8887687919996097,119,14.587890058460733,104.90681949291935,136.32393352028754,150.99276380316257,145.31187494945686,1.19,32.53099483036743,5.481837559657421,693.6025347455112,1332,82,0.4884706211974701,2.4358800671708694,3.894271667762715,0,0.0,0.0,0,0,0,4.435452418609814,27.833612197566516,1.0740301377725783,44.990039209000315
nmpc_alpha_slack_with_cem_fallback,clean,True,90.14631852620893,2.06,target_reached,0,69,1.0,69,1.0,0.46677998734786885,0.7507871670004533,84,0.9707977436361845,5.190370737879354,6.017610310288631,6.4377998728048755,6.406885809845965,0.84,2.009551329326902,10.240748599212129,693.6025347455112,1242,17,0.021314290471390853,0.2095827413663774,0.4265414427484995,0,0.0,0.0,0,0,0,3.9476771941154825,7.953676678512168,0.20497280707735124,68.37907483299932
