condition,done_reason,target_reached,final_theta_deg,baseline_final_theta_deg,theta_improvement_deg,max_abs_delta_r_mm,max_abs_omega,max_abs_alpha,max_abs_F_tan,max_abs_F_rad,final_m_hat,final_k_hat,final_b_r_hat,final_m_mpc,final_k_mpc,final_b_r_mpc,initial_prediction_error,final_prediction_error,prediction_error_ratio
clean,max_time,False,89.92177503553366,10.497041543671026,79.42473349186263,12.072383247682005,1.956272957934966,42.174955690046524,8.913815252227772,0.7067973081925533,1.199999104180011,449.9996344609818,17.900242949230464,1.199999104180011,449.9996344609818,17.900242949230464,0.12005286192400877,2.4882244922196183e-09,2.072607393395268e-08
noise,max_time,False,89.61903589706515,10.323232311218762,79.29580358584639,12.109061303622436,1.9400181932231542,42.174955690046524,9.291466767273658,0.8802084366947593,0.500000000000003,154.40616319044773,37.65824124186453,0.500000000000003,154.40616319044773,37.65824124186453,0.13135650677232608,0.007238066029619297,0.055102455199761737
noise_bias,max_time,False,86.09348476796383,9.775118293530687,76.31836647443315,13.853855056888909,2.2998811234596817,42.174955690046524,9.193035222233155,1.0,1.1491742339370985,495.1954933903704,44.99999999999999,1.1491742339370985,495.1954933903704,44.99999999999999,0.10909092961495422,0.1000918886341242,0.9175088065287105
