condition,done_reason,final_theta_deg,max_abs_delta_r_mm,final_m_hat,final_k_hat,final_b_r_hat,m_error,k_error,b_r_error,initial_prediction_error,final_prediction_error,prediction_error_ratio
clean,max_time,10.497041543671026,4.868795954606764,1.2000000007903113,450.000032563129,17.999928454808202,7.90311371900998e-10,3.2563129025220405e-05,-7.154519179763952e-05,0.12005286192400877,7.52755790224996e-09,6.270202793678308e-08
noise,max_time,10.323232311218762,4.745170923354025,1.2025232017550667,414.1160010166002,25.458531738111862,0.0025232017550667063,-35.883998983399806,7.458531738111862,0.13135650677232608,0.013192051153228097,0.1004293694875218
noise_bias,max_time,9.775118293530687,5.672807542650982,1.2019120127891698,698.0194037028933,44.99999999999997,0.001912012789169859,248.01940370289333,26.99999999999997,0.10909092961495422,0.0917607307118561,0.8411398732757477
