condition,n_runs,n_windows,baseline_lambda_truth_coverage,calibrated_lambda_truth_coverage,absolute_coverage_gain,baseline_relative_width_median,calibrated_relative_width_median,width_inflation_factor_median,width_inflation_factor_p95,point_estimate_changed_fraction
clean,3,75,0.44,0.2,-0.24,0.008519018305550977,0.004266512850445206,0.491275362389103,1.682723473485087,0.0
initial_theta_offset,3,87,0.5172413793103449,0.20689655172413793,-0.31034482758620696,0.007232875911476775,0.004340504884082937,0.5692266159244728,1.286396033226,0.0
noise,3,79,0.6329113924050633,0.3670886075949367,-0.2658227848101266,0.011687327335331192,0.006869552921339237,0.6303774908764934,1.4102124841273211,0.0
noise_bias,3,73,0.589041095890411,0.2328767123287671,-0.35616438356164387,0.011703790173865313,0.007398500414191318,0.6595580741711079,1.2110794231261404,0.0
stronger_noise,3,90,0.6333333333333333,0.5111111111111111,-0.12222222222222223,0.016920428536731626,0.012298307976728397,0.769436332496771,2.364580275797797,0.0
mass_mismatch,3,150,0.4,0.26666666666666666,-0.13333333333333336,0.009466660643440723,0.00539803794691586,0.722227331625738,3.0202503910674103,0.0
parameter_mismatch_low_k,3,84,0.39285714285714285,0.14285714285714285,-0.25,0.005548383664791054,0.004025770731383193,0.6299169714015977,1.408630106592874,0.0
parameter_mismatch_high_k,3,72,0.4166666666666667,0.16666666666666666,-0.25,0.004698776675378298,0.0028908832439830034,0.5706386318276572,1.8521613520448414,0.0
overall,24,710,0.4943661971830986,0.2661971830985915,-0.22816901408450707,0.009510775756238666,0.005581965112123201,0.6490739138133079,2.1277005910330886,0.0
