mode,attempt_index,wall_time_s,reference_phase_s,accepted,reason,rank,rrqr_rank,condition_number,candidate_residual_rms_nms,old_residual_rms_nms,beta_a_inertia_combination,beta_b_distal_inertia_combination,beta_d_mass_length_com_combination,beta_g1_proximal_gravity_combination,beta_g2_distal_gravity_combination,beta_k1_passive_stiffness,beta_k2_passive_stiffness,beta_rho1_stiffness_rest_combination,beta_rho2_stiffness_rest_combination,beta_bv1_viscous_damping,beta_bv2_viscous_damping,bound_hit_components,unconstrained_bound_pressure,distance_to_prior_span_normalized_l2,distance_to_true_span_normalized_l2,generalized_torque_prediction_combined_rmse_nm
existing_cem,0,6.500000000000505,3.2500000000002527,True,accepted,11,11,25937.224442904415,0.006212663136445014,1.8163017255176397,1.461271904231428,0.17103161228963168,0.2884628189639397,34.722436395542225,10.441436439802459,11.979278377787328,9.540136960301313,0.5620988128063543,0.566959050318425,3.481443237969948,2.5000005017803018,,bv2_viscous_damping:lower:1.45427549794:0.290855099589,0.7886886833440686,0.9225206213465863,1.1588005355898197
existing_cem,1,7.000000000000672,3.500000000000336,False,bound_hit,11,11,12585.486849721685,0.0073526975892382485,1.7682774255241698,1.7731371862385994,0.15162594121767256,0.2502095081266544,34.49343299808359,10.994637748658576,12.173748055259086,12.017816993324825,0.5348803496313645,0.2528119781518656,3.2458794799958173,2.500000002439992,bv2_viscous_damping:lower,bv2_viscous_damping:lower:1.49470420351:0.298940840702,0.9603249262498494,1.024017684968026,0.8650029939333295
existing_cem,2,7.500000000000839,3.7500000000004197,True,accepted,11,11,9911.397086814306,0.009396419092862453,1.8598481324489449,1.6577509488838564,0.18265202822137974,0.276317084249907,35.8462121739787,10.147715664014822,12.097612500688978,11.832333570856004,0.7845822820807263,0.9531836042765448,4.565708716405778,2.5000008517550456,,bv2_viscous_damping:lower:0.366924472673:0.0733848945346,0.7333855006338103,0.7791126441311147,0.6377826933413693
existing_cem,3,8.000000000001005,4.028800000000517,False,bound_hit,11,11,7545.233921833179,0.0113496676738893,1.7485936109248743,0.7254087624153114,0.18798729496798636,0.16939379786400763,39.10212538776686,8.245718016955305,12.365078840568437,12.861562678905763,1.9063802385644997,2.9479353691537993,5.034408629854605,2.500000000032297,a_inertia_combination:lower;d_mass_length_com_combination:lower;bv2_viscous_damping:lower,a_inertia_combination:lower:0.0272201886858:0.018761966354;d_mass_length_com_combination:lower:0.0461968293995:0.136359270475;bv2_viscous_damping:lower:0.349470623485:0.0698941246971,1.0198153663419796,1.1731153664033735,0.462209573518173
existing_cem,4,8.500000000000728,4.3700500000003295,False,bound_hit,11,11,5665.488348802532,0.013322434305267082,1.813156332816555,0.9135494258868557,0.1870515797378031,0.16939379786400002,43.42467949956533,6.046943336856542,13.22960158643015,13.676793261592675,3.9269907993715765,5.235987755982989,5.064164311854519,2.5000000000000004,d_mass_length_com_combination:lower;rho1_stiffness_rest_combination:upper;rho2_stiffness_rest_combination:upper;bv2_viscous_damping:lower,d_mass_length_com_combination:lower:0.0144242336672:0.0425760383469;g2_distal_gravity_combination:lower:0.17568193373:0.0230936595133;rho2_stiffness_rest_combination:upper:2.49315195165:0.476156948381;bv2_viscous_damping:lower:0.345781856473:0.0691563712945,1.398178495093736,1.4532367098578602,0.3265555464390675
existing_cem,5,9.000000000000451,4.7738000000000715,False,bound_hit,11,11,4510.936548926917,0.014725351693883879,1.861349657866768,1.7343952532228613,0.22871010548671172,0.3324880934160944,43.46654212053693,6.0545239976007945,13.367889796760508,13.752391385004884,3.92699081698724,5.235987755982989,5.916703418727981,2.5000008594348686,rho1_stiffness_rest_combination:upper;rho2_stiffness_rest_combination:upper,g2_distal_gravity_combination:lower:2.56571278784:0.337266879259;rho2_stiffness_rest_combination:upper:4.91509503422:0.938714004554;bv2_viscous_damping:lower:0.534161519607:0.106832303921,1.293951456624635,1.16214855455078,0.2322007827197494
existing_cem,6,9.500000000000174,5.240049999999746,False,bound_hit,11,11,3029.8410165936234,0.014821110637002066,1.8938408721225934,2.1367488228269527,0.25240884336916036,0.3682215596066248,42.92399894964632,6.009392752257572,13.30465601070748,13.357520988980792,3.284501308686004,5.2359877559345795,6.506895861915254,2.9269913656105735,rho2_stiffness_rest_combination:upper,g2_distal_gravity_combination:lower:1.48758975998:0.195545954459;rho2_stiffness_rest_combination:upper:3.65729185419:0.698491292309,1.293010703693404,1.0752311275848576,0.17729946985365408
existing_cem,7,9.999999999999897,5.7399999999987825,False,bound_hit,11,11,2299.229445592389,0.015034398811281234,1.9168341909416537,2.1171129160973017,0.26666519602964783,0.30659497584486967,41.8443333191203,5.797736560805031,12.996288501578501,11.904821990721686,1.9152263257884141,5.23598775598263,7.013117088630903,4.91590255344224,rho2_stiffness_rest_combination:upper,g2_distal_gravity_combination:lower:1.33899223134:0.176012581516;rho2_stiffness_rest_combination:upper:3.28742973167:0.627852830234,1.1198668499156668,0.9017012999546353,0.13704417240057734
existing_cem,8,10.49999999999962,6.239999999998505,False,bound_hit,11,11,2288.004071374528,0.014795787969660489,1.9342026795183755,1.876164851921449,0.24255169599994844,0.24072494788306284,41.36906541497771,5.77135300915494,12.788335531126027,11.616256205245795,1.3400691903971218,5.235987755982985,7.276063555110289,5.4273399921436845,rho2_stiffness_rest_combination:upper,g2_distal_gravity_combination:lower:0.57444004235:0.0755110241969;rho2_stiffness_rest_combination:upper:2.53904521359:0.484921915771,1.055522652140941,0.9227641487165281,0.10796789682387713
existing_cem,9,10.999999999999343,6.739999999998228,False,bound_hit,11,11,2242.736204397487,0.01452629559954579,1.9483970770702457,1.623210932199965,0.2474630611833067,0.21243481620097782,41.33305721918355,5.796688086761458,12.710893157347394,11.687063456104369,1.2720534597268287,5.235987755982868,7.361758377166453,5.34165138326683,rho2_stiffness_rest_combination:upper,rho2_stiffness_rest_combination:upper:1.09268608409:0.208687669837,1.056048759228331,0.9738773686399613,0.08921233521495192
