phase,method,condition,seed,stress_override,target_reached,target_crossed,final_theta_deg,T_reach,first_crossing_time,max_theta_beyond_target_deg,final_theta_error_signed_deg,done_reason,solver_status_examples,solver_success_count,solver_failure_count,solver_failure_rate,fallback_count,fallback_rate,solve_time_mean,solve_time_max,ipopt_iterations_mean,ipopt_iterations_max,objective_mean,cost_task_mean,cost_action_mean,cost_action_rate_mean,cost_terminal_mean,cost_progress_mean,cost_alpha_slack_l1_mean,cost_alpha_slack_l2_mean,cost_state_violation_mean,dynamics_residual_max,dynamics_residual_mean,constraint_violation_max,constraint_violation_mean,alpha_violation_count,alpha_mean_severity,alpha_p95_severity,alpha_p99_severity,alpha_max_severity,alpha_clipped_max,alpha_violation_duration_s,alpha_integrated_violation,alpha_early_p95,alpha_early_max,alpha_late_p95,alpha_late_max,theta_error_initial_deg,theta_error_final_deg,theta_error_reduction_deg,pred_progress_mean_deg,pred_final_error_mean_deg,pred_alpha_abs_max,pred_terminal_theta_mean_deg,pred_terminal_crossing_margin_mean_deg,goal_slack_mean_deg,goal_slack_max_deg,goal_slack_stage_a_mean_deg,goal_slack_stage_b_mean_deg,stage_a_failure_rate,stage_b_failure_rate,stage_a_solve_time_mean,stage_b_solve_time_mean,slack_mean_raw,slack_max_raw,slack_active_count_gt_1e_5,slack_active_count_gt_1e_4,slack_active_count_gt_1e_3,omega_abs_mean,omega_abs_p95,omega_abs_p99,omega_abs_max,omega_violation_count,omega_violation_mean,omega_violation_p95,omega_violation_max,delta_r_violation_count,delta_r_max_severity,force_violation_count,force_max_severity,mean_action_magnitude,max_action_magnitude,action_smoothness,action_total_variation,first_action_diff_vs_cem_mean,runtime_s
phase1_crossing,baseline_cem,initial_theta_offset,101,theta_init=0.02 rad and omega_init=-0.15 rad/s explicit run override,True,True,90.08902768202869,2.479999999999991,2.479999999999991,0.08902768230923291,0.08902768230923291,target_reached,,0,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,123,0.9117729775874196,4.142712335933389,8.16859336011227,10.764156179487744,10.565361785334897,1.23,2.270314714192675,7.898339717201569,10.764156179487744,3.563129315641896,5.780744526122982,88.8540844094578,0.08902768230923291,88.76505672714858,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0.6426570709182873,1.4314114815208634,1.632315527202489,1.6594240777312292,25,0.02348130469615928,0.23141148152086338,0.4594240777312293,0,0.0,0,0.0,4.112658913929254,8.740148734579794,0.20251891815876633,50.22469170337405,nan,42.32799483399867
phase1_crossing,nmpc_base,initial_theta_offset,101,theta_init=0.02 rad and omega_init=-0.15 rad/s explicit run override,False,False,89.94724859591334,nan,nan,-0.052751403806107156,-0.052751403806107156,max_time,Solve_Succeeded,267,0,0.0,0,0.0,0.02921741228115859,0.15002387500135228,9.0561797752809,39.0,0.5963046484483501,1424.2316077579496,1.028904918791522,0.00011469334051953758,103.81507577961877,0.0,0.19366752392709463,3.312740846549155e-09,0.009984828618893118,8.083925353220833e-05,3.5272912309320163e-07,0.0003337650329053865,3.280996646498426e-06,30,0.04465204794215554,0.0,2.673539568114706,3.137920413548983,3.0297898987010656,0.3,0.35810942449608746,2.918855357276413,3.137920413548983,0.0,0.5641427482581145,88.8540844094578,0.052751403806107156,88.8013330056517,6.997571208200387,10.049532882071547,3.0001506949394074,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,nan,0.00010759306884838591,0.0008044872244331457,4805,426,0,0.24585084864001283,1.1757317977015949,1.1811789561773978,1.1822906837002831,0,0.0,0.0,0.0,0,0.0,0,0.0,1.4508964622003229,7.2431965261324045,0.01955397209434216,15.662731647568068,nan,19.006752166998922
phase1_crossing,nmpc_crossing_weighted,initial_theta_offset,101,theta_init=0.02 rad and omega_init=-0.15 rad/s explicit run override,True,True,90.13903263678993,1.400000000000001,1.400000000000001,0.13903263707049013,0.13903263707049013,target_reached,Solve_Succeeded,47,0,0.0,0,0.0,0.03591605316939828,0.06736724999791477,11.0,20.0,293.2198293195536,5830.999290674527,2.5083731172643025,0.0015356520950854018,85.74605476878556,0.0,174.57172318711366,0.5006677720610848,12857.299180543323,8.812493472484638e-05,1.4304298253325612e-06,0.08831088719312863,0.008882308034181698,17,0.7523420610488517,0.7287366213657136,26.13371250099277,27.07101946794442,26.363427717214098,0.17,1.060802306078881,17.761401274153968,27.07101946794442,0.15800614797834278,0.2852174367905107,88.8540844094578,0.13903263707049013,88.71505177238731,29.2343197747737,15.330391385589156,47.664555647515876,75.32106548145651,-14.678934518262924,15.059982291575661,50.410206329657754,nan,15.059982291575661,0.0,0.0,nan,0.03591605316939828,0.09698429065950762,44.66464560448812,845,5,5,1.1051328304900316,1.2676148212236766,1.268264353863531,1.2688715166480646,68,0.02618865257722568,0.06761482122367668,0.06887151664806468,0,0.0,0,0.0,4.468805615875643,11.254977240195423,0.18755192414803484,26.25726938072488,nan,3.0145043329976033
phase1_crossing,nmpc_crossing_lexicographic,initial_theta_offset,101,theta_init=0.02 rad and omega_init=-0.15 rad/s explicit run override,True,True,90.21205086742854,1.0500000000000007,1.0500000000000007,0.21205086770909523,0.21205086770909523,target_reached,Solve_Succeeded,35,0,0.0,0,0.0,0.04879669168523313,0.06785658399894601,16.228571428571428,21.0,1854.2078009354077,25963.064691571075,83.20455405993606,0.009141234925473484,0.20159605400482303,0.0,969.943293358885,4.060599310937604,1848631.5470911253,9.772462005341875e-05,3.8267661152163275e-06,1.776237159721372,0.08287179848908574,39,2.521445380584311,6.741044964839407,70.8304008865431,72.24914181757411,70.88045318046818,0.39,2.67273210341937,42.10035106187688,72.24914181757411,0.0,0.0,88.8540844094578,0.21205086770909523,88.6420335417487,39.282550595171024,0.7007315248486462,103.90226909165906,90.3147136686435,0.31471366892404906,0.23872327469210058,0.5222788208464524,0.5215912139850825,0.23872327469210058,0.0,0.0,0.024295877400436438,0.04879669168523313,0.5388573851993805,100.90235811714612,630,31,31,1.4721213197253755,2.411311764860245,2.463749234436623,2.5044001094473485,77,0.3535134842010638,1.2113117648602447,1.3044001094473485,0,0.0,0,0.0,4.08117016964604,18.404236416785377,0.37498656237225575,39.37358904908685,nan,3.876379707995511
phase1_crossing,nmpc_crossing_lexicographic_with_cem_fallback,initial_theta_offset,101,theta_init=0.02 rad and omega_init=-0.15 rad/s explicit run override,True,True,90.21205086742854,1.0500000000000007,1.0500000000000007,0.21205086770909523,0.21205086770909523,target_reached,Solve_Succeeded,35,0,0.0,0,0.0,0.054654840456662766,0.13563654099561973,16.228571428571428,21.0,1854.2078009354077,25963.064691571075,83.20455405993606,0.009141234925473484,0.20159605400482303,0.0,969.943293358885,4.060599310937604,1848631.5470911253,9.772462005341875e-05,3.8267661152163275e-06,1.776237159721372,0.08287179848908574,39,2.521445380584311,6.741044964839407,70.8304008865431,72.24914181757411,70.88045318046818,0.39,2.67273210341937,42.10035106187688,72.24914181757411,0.0,0.0,88.8540844094578,0.21205086770909523,88.6420335417487,39.282550595171024,0.7007315248486462,103.90226909165906,90.3147136686435,0.31471366892404906,0.23872327469210058,0.5222788208464524,0.5215912139850825,0.23872327469210058,0.0,0.0,0.02952038568619173,0.054654840456662766,0.5388573851993805,100.90235811714612,630,31,31,1.4721213197253755,2.411311764860245,2.463749234436623,2.5044001094473485,77,0.3535134842010638,1.2113117648602447,1.3044001094473485,0,0.0,0,0.0,4.08117016964604,18.404236416785377,0.37498656237225575,39.37358904908685,nan,4.293725540999731
phase1_crossing,baseline_cem,initial_theta_offset,102,theta_init=0.02 rad and omega_init=-0.15 rad/s explicit run override,True,True,90.17859899916536,2.299999999999995,2.299999999999995,0.17859899944590535,0.17859899944590535,target_reached,,0,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,97,1.0426403412912295,5.468317306712953,7.755930335889712,8.413354049377446,8.092822142453267,0.97,2.4084991883827405,6.774649612111857,8.413354049377446,5.163432146922817,7.593853822542421,88.8540844094578,0.17859899944590535,88.6754854100119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0.683817554530915,1.5399375782923284,1.618696822455303,1.637577795963317,39,0.04349069605898323,0.3399375782923283,0.43757779596331714,0,0.0,0,0.0,4.054914572305008,8.261953791268104,0.2257329075007458,51.91856872517153,nan,39.53063191700494
phase1_crossing,nmpc_base,initial_theta_offset,102,theta_init=0.02 rad and omega_init=-0.15 rad/s explicit run override,False,False,89.94724859591334,nan,nan,-0.052751403806107156,-0.052751403806107156,max_time,Solve_Succeeded,267,0,0.0,0,0.0,0.028946840509534454,0.10993416600103956,9.0561797752809,39.0,0.5963046484483501,1424.2316077579496,1.028904918791522,0.00011469334051953758,103.81507577961877,0.0,0.19366752392709463,3.312740846549155e-09,0.009984828618893118,8.083925353220833e-05,3.5272912309320163e-07,0.0003337650329053865,3.280996646498426e-06,30,0.04465204794215554,0.0,2.673539568114706,3.137920413548983,3.0297898987010656,0.3,0.35810942449608746,2.918855357276413,3.137920413548983,0.0,0.5641427482581145,88.8540844094578,0.052751403806107156,88.8013330056517,6.997571208200387,10.049532882071547,3.0001506949394074,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,nan,0.00010759306884838591,0.0008044872244331457,4805,426,0,0.24585084864001283,1.1757317977015949,1.1811789561773978,1.1822906837002831,0,0.0,0.0,0.0,0,0.0,0,0.0,1.4508964622003229,7.2431965261324045,0.01955397209434216,15.662731647568068,nan,18.85674262500106
phase1_crossing,nmpc_crossing_weighted,initial_theta_offset,102,theta_init=0.02 rad and omega_init=-0.15 rad/s explicit run override,True,True,90.13903263678993,1.400000000000001,1.400000000000001,0.13903263707049013,0.13903263707049013,target_reached,Solve_Succeeded,47,0,0.0,0,0.0,0.03405347782988448,0.06383695799740963,11.0,20.0,293.2198293195536,5830.999290674527,2.5083731172643025,0.0015356520950854018,85.74605476878556,0.0,174.57172318711366,0.5006677720610848,12857.299180543323,8.812493472484638e-05,1.4304298253325612e-06,0.08831088719312863,0.008882308034181698,17,0.7523420610488517,0.7287366213657136,26.13371250099277,27.07101946794442,26.363427717214098,0.17,1.060802306078881,17.761401274153968,27.07101946794442,0.15800614797834278,0.2852174367905107,88.8540844094578,0.13903263707049013,88.71505177238731,29.2343197747737,15.330391385589156,47.664555647515876,75.32106548145651,-14.678934518262924,15.059982291575661,50.410206329657754,nan,15.059982291575661,0.0,0.0,nan,0.03405347782988448,0.09698429065950762,44.66464560448812,845,5,5,1.1051328304900316,1.2676148212236766,1.268264353863531,1.2688715166480646,68,0.02618865257722568,0.06761482122367668,0.06887151664806468,0,0.0,0,0.0,4.468805615875643,11.254977240195423,0.18755192414803484,26.25726938072488,nan,2.9410684579997906
phase1_crossing,nmpc_crossing_lexicographic,initial_theta_offset,102,theta_init=0.02 rad and omega_init=-0.15 rad/s explicit run override,True,True,90.21205086742854,1.0500000000000007,1.0500000000000007,0.21205086770909523,0.21205086770909523,target_reached,Solve_Succeeded,35,0,0.0,0,0.0,0.0483492653715075,0.061768457999278326,16.228571428571428,21.0,1854.2078009354077,25963.064691571075,83.20455405993606,0.009141234925473484,0.20159605400482303,0.0,969.943293358885,4.060599310937604,1848631.5470911253,9.772462005341875e-05,3.8267661152163275e-06,1.776237159721372,0.08287179848908574,39,2.521445380584311,6.741044964839407,70.8304008865431,72.24914181757411,70.88045318046818,0.39,2.67273210341937,42.10035106187688,72.24914181757411,0.0,0.0,88.8540844094578,0.21205086770909523,88.6420335417487,39.282550595171024,0.7007315248486462,103.90226909165906,90.3147136686435,0.31471366892404906,0.23872327469210058,0.5222788208464524,0.5215912139850825,0.23872327469210058,0.0,0.0,0.024905530999447884,0.0483492653715075,0.5388573851993805,100.90235811714612,630,31,31,1.4721213197253755,2.411311764860245,2.463749234436623,2.5044001094473485,77,0.3535134842010638,1.2113117648602447,1.3044001094473485,0,0.0,0,0.0,4.08117016964604,18.404236416785377,0.37498656237225575,39.37358904908685,nan,3.8975892499947804
phase1_crossing,nmpc_crossing_lexicographic_with_cem_fallback,initial_theta_offset,102,theta_init=0.02 rad and omega_init=-0.15 rad/s explicit run override,True,True,90.21205086742854,1.0500000000000007,1.0500000000000007,0.21205086770909523,0.21205086770909523,target_reached,Solve_Succeeded,35,0,0.0,0,0.0,0.04834519525777848,0.06989550000434974,16.228571428571428,21.0,1854.2078009354077,25963.064691571075,83.20455405993606,0.009141234925473484,0.20159605400482303,0.0,969.943293358885,4.060599310937604,1848631.5470911253,9.772462005341875e-05,3.8267661152163275e-06,1.776237159721372,0.08287179848908574,39,2.521445380584311,6.741044964839407,70.8304008865431,72.24914181757411,70.88045318046818,0.39,2.67273210341937,42.10035106187688,72.24914181757411,0.0,0.0,88.8540844094578,0.21205086770909523,88.6420335417487,39.282550595171024,0.7007315248486462,103.90226909165906,90.3147136686435,0.31471366892404906,0.23872327469210058,0.5222788208464524,0.5215912139850825,0.23872327469210058,0.0,0.0,0.025923068971938586,0.04834519525777848,0.5388573851993805,100.90235811714612,630,31,31,1.4721213197253755,2.411311764860245,2.463749234436623,2.5044001094473485,77,0.3535134842010638,1.2113117648602447,1.3044001094473485,0,0.0,0,0.0,4.08117016964604,18.404236416785377,0.37498656237225575,39.37358904908685,nan,3.92643191699608
