q2_deg,fixture_reaction_norm_nm,interaction_force_norm_n,max_abs_cartesian_command_component_n,max_joint_torque_limit_fraction,sleeve_deformation_mm,bed_force_before_release_n,release_stability_gate,passed
2.0,6.997571006365158,205.49340767562225,200.0,0.4625892314447322,0.1967955618329329,0.0,false,false
10.0,3.5212193456546546,205.55725705580704,200.0,0.4133333312619874,0.19683093973948734,0.0,false,false
20.0,4.882958786409696e-06,192.4613052195552,186.45596821814186,0.45782432112810884,0.18931985482099536,0.0,true,true
30.0,4.9479002839008746e-06,151.9873815702858,144.34004578834703,0.41491339821873663,0.16249384717241644,0.0,true,true
