q2_deg,direction,command_displacement_mm,actual_ee_projection_mm,force_delta_projection_n,force_direction_cosine,sleeve_deformation_mm,sleeve_deformation_over_command,peak_interaction_force_n,passed
2.0,extension,-2.0,-0.06267713682866884,7.020093565679057,0.9998748915459676,0.007626126570464997,0.0038130632852324984,5.831476021262799,true
2.0,flexion,2.0,0.04582548633157069,4.653765092058706,0.9995351719157355,0.007692531950885817,0.003846265975442908,5.882323683288402,true
10.0,extension,-2.0,-0.053299305913488276,6.8664926703559805,0.9975803111345889,0.007663575305882363,0.0038317876529411813,5.859174408561456,true
10.0,flexion,2.0,0.03882429855779493,4.857726357590738,0.9923039223968488,0.0077201807665864975,0.0038600903832932488,5.9023596923285195,true
20.0,extension,-2.0,-0.036543818583186796,6.606150418954926,0.9944453625852435,0.00772992055991889,0.003864960279959445,5.910110778608522,true
20.0,flexion,2.0,0.024096835664347102,5.212125475456122,0.9865365565659684,0.007778084380658872,0.003889042190329436,5.946922313893589,true
30.0,extension,-2.0,-0.0232128271942994,6.400585733997945,0.9936037150974845,0.007782130886006633,0.003891065443003316,5.949803815079839,true
30.0,flexion,2.0,0.014393935819903869,5.486994496387851,0.9877768439192421,0.007815894266292473,0.003907947133146236,5.975588966648353,true
