q2_deg,direction,command_displacement_mm,paired_delta_q2_deg,paired_delta_ee_mm,effective_delta_q2_deg_per_mm,paired_sleeve_deformation_delta_mm,sleeve_deformation_over_actual_ee_motion,peak_interaction_force_n,peak_bed_force_n,passed
20.0,extension,-1.0,-0.9358075318340051,-1.2726974452187259,0.7352945787309074,0.0008600927700140712,0.0006758030144912058,194.05079017170664,16.460538590993114,true
20.0,flexion,1.0,0.9030012204850489,1.2804823195383819,0.7052039740857835,-0.0008801891858451632,0.0006873887850028842,193.3780265612821,15.548242955751455,true
30.0,extension,-1.0,-0.6117785835552486,-1.219372242041979,0.5017160162107307,0.0006423597544076044,0.0005267954544642571,152.89831062217226,8.637622373478724,true
30.0,flexion,1.0,0.6001686620310547,1.2194144185069913,0.4921777641155665,-0.0006404793810512333,0.0005252352041526736,152.68225088266254,8.05305970067904,true
