scope,windows,rank1_fraction,rank2_fraction,rank3_fraction,normalized_sigma1_median,normalized_sigma2_median,normalized_sigma3_median,physical_scaled_sigma1_median,physical_scaled_sigma2_median,physical_scaled_sigma3_median,raw_condition_median,physical_scale_condition_median,column_normalized_condition_median,weighted_residual_rms_median,physical_scaled_sigma_min_over_residual_rms_median,conditional_lambda_information_abs_median,conditional_lambda_information_ratio_median,abs_corr_lambda_kappa_median,abs_corr_lambda_beta_median,abs_corr_kappa_beta_median,lambda_1d_relative_width_median,lambda_kappa_2d_lambda_relative_width_median,lambda_kappa_2d_kappa_relative_width_median,profile_truth_inclusion_1d_fraction,profile_truth_inclusion_2d_fraction,profile_boundary_hit_fraction,profile_region_resolved_fraction,within_scope_stable_1d_subspace,within_scope_stable_2d_subspace,practical_identifiability,physical_v1_direction_json,physical_v1_projector_eigenvalues_json,physical_v1_angular_dispersion_mean_deg,physical_v1_angular_dispersion_p95_deg,physical_v1_stability_concentration,physical_v2_direction_json,physical_v2_projector_eigenvalues_json,physical_v2_angular_dispersion_mean_deg,physical_v2_angular_dispersion_p95_deg,physical_v2_stability_concentration,physical_v3_direction_json,physical_v3_projector_eigenvalues_json,physical_v3_angular_dispersion_mean_deg,physical_v3_angular_dispersion_p95_deg,physical_v3_stability_concentration,physical_v12_basis_json,physical_v12_projector_eigenvalues_json,physical_v12_angular_dispersion_mean_deg,physical_v12_angular_dispersion_p95_deg,physical_v12_stability_concentration,cross_condition_v1_direction_json,cross_condition_v1_angular_dispersion_p95_deg,cross_condition_v1_stability_concentration,cross_condition_v12_basis_json,cross_condition_v12_angular_dispersion_p95_deg,cross_condition_v12_stability_concentration,cross_condition_stable_1d_subspace,cross_condition_stable_2d_subspace,state_source,summary_kind,true_minus_estimated_residual_rms_median,true_minus_estimated_physical_condition_median,true_minus_estimated_conditional_lambda_information_abs_median,true_minus_estimated_conditional_lambda_information_ratio_median,true_minus_estimated_v1_angle_median_deg,true_minus_estimated_v12_principal_angle_median_deg,true_minus_estimated_truth_inclusion_1d,true_minus_estimated_truth_inclusion_2d,true_minus_estimated_lambda_optimum_error_median,true_minus_estimated_lambda_width_median,estimated_v1_stability_concentration,true_v1_stability_concentration,true_minus_estimated_v1_stability_concentration,estimated_v12_stability_concentration,true_v12_stability_concentration,true_minus_estimated_v12_stability_concentration,estimated_cross_condition_stable_1d,true_cross_condition_stable_1d,estimated_cross_condition_stable_2d,true_cross_condition_stable_2d
clean,75,1.0,1.0,1.0,1.3699221798179773,0.9751499742703488,0.4137732693270514,24.62460439360284,1.6958115740925366,0.3327262176590347,346.8904899615586,73.19246352170941,3.327668739314366,0.0023580870558484925,87.6399987513924,3.8422028057609063,0.9648142567573703,0.15055847911215756,0.12772506498034986,0.8176936669096438,0.008519018305550977,0.010449194868872755,0.0012409096670742284,0.44,0.4,0.0,1.0,False,False,not established,"[0.004494905069962685, 0.5931866622711273, 0.805052407941279]","[1.742709960230653e-05, 0.23859907446980258, 0.7613834984305949]",27.291678306406983,43.22111902654696,0.7613834984305952,"[-0.008641023481929423, 0.6748457522797638, 0.7379082214904132]","[0.009951976021244759, 0.30368325544938807, 0.6863647685293671]",33.58547937764365,42.52001803148096,0.6863647685293671,"[-0.005281449541483877, 0.5955284918080215, -0.8033168252536497]","[5.8824893621834846e-05, 0.23459470910563993, 0.7653464660007383]",27.04982800163548,43.06714544076449,0.7653464660007383,"[[-0.0590590635891774, 0.35342798144594667, 0.9335955703295795], [0.38921356220105424, 0.8693663249172584, -0.304491372781933]]","[0.23616422103244147, 0.8226571647639227, 0.9411786142036357]",26.731901494427795,86.33517015085793,0.8819178894837791,"[-0.0038027650776156804, -0.5893450164115516, -0.8078725088828268]",18.98461762313662,0.9728193179405822,"[[0.020146774261879746, 0.42096028271066505, 0.9068553070181581], [0.35085583015005134, 0.8463774243207891, -0.40068122248219434]]",16.726454443777016,0.9857589775296196,True,True,true,state_source,,,,,,,,,,,,,,,,,,,,
initial_theta_offset,87,1.0,1.0,1.0,1.343833770622358,0.967096316756671,0.5440494782856373,24.753265981843896,2.0814354356547633,0.32584585780676273,397.14952045384297,70.65954193012054,2.526158573652962,0.0049084512114759395,94.64984071191664,4.1416045073141685,0.9116591876853173,0.20597847027270652,0.20400479689545054,0.6946774394418074,0.007232875911476775,0.008871647259447299,0.0023365825638706076,0.5172413793103449,0.3793103448275862,0.0,1.0,False,False,not established,"[-0.0006972430841565967, 0.5790352558827988, 0.8153022055022441]","[3.4594862083731584e-05, 0.28979091053878964, 0.7101744945991265]",30.55798059357202,57.20600723022856,0.7101744945991266,"[0.00877056444792698, 0.6479308221264787, 0.7616486899731205]","[0.010765764030413141, 0.3100910265018958, 0.6791432094676911]",33.16651625115423,50.01657340259321,0.6791432094676911,"[-0.0036535024533267944, 0.5847282456356557, -0.8112210122251959]","[4.041116237989547e-05, 0.2713455836835896, 0.7286140051540309]",29.415721652121544,47.46308019670791,0.7286140051540305,"[[-0.07696643239182, 0.07846315034539357, 0.9939414984408047], [0.4230442685788847, 0.9052819594629804, -0.038705564114530064]]","[0.23169859497036419, 0.7765033919323177, 0.9917980130973185]",26.965287719910634,58.85883385325371,0.8841507025148181,"[-0.0038027650776156804, -0.5893450164115516, -0.8078725088828268]",18.98461762313662,0.9728193179405822,"[[0.020146774261879746, 0.42096028271066505, 0.9068553070181581], [0.35085583015005134, 0.8463774243207891, -0.40068122248219434]]",16.726454443777016,0.9857589775296196,True,True,true,state_source,,,,,,,,,,,,,,,,,,,,
mass_mismatch,150,1.0,1.0,1.0,1.4375001269105132,0.7885357639016468,0.4877099020366821,29.118597602182085,0.4020430067875851,0.08955110616993688,521.5309262561188,338.7412733607712,2.984487773770476,0.0005522517707041289,87.98918133264735,0.16404873500288672,0.5368090508040868,0.6011759184860972,0.5339983415629719,0.6760973540910615,0.009466660643440723,0.011611544878385022,0.00014893143508251327,0.4,0.22,0.0,1.0,False,False,not established,"[-0.005272797935932169, -0.2506007550953571, -0.9680761639187092]","[0.00023346022791885233, 0.26529472210587035, 0.7344718176662107]",27.88232600379152,84.94985110881143,0.7344718176662107,"[-0.010078588345516061, 0.3049493464411139, 0.952315240958633]","[0.0012661995334282698, 0.28068122094894304, 0.7180525795176285]",29.86637872077835,73.56761055649689,0.7180525795176286,"[-0.009881166693722939, 0.2724178556245376, -0.9621283045840088]","[0.0003761981628460958, 0.18677279665688243, 0.8128510051802709]",22.19494259873509,59.374614421599176,0.8128510051802714,"[[-0.006523601862962134, 0.05133539927408823, 0.9986601621172759], [0.3635626078490452, 0.9304601548232585, -0.0454547077900598]]","[0.15414890147783986, 0.8487190072017553, 0.9971320913204059]",20.69995657762242,47.68992565109671,0.9229255492610806,"[-0.0038027650776156804, -0.5893450164115516, -0.8078725088828268]",18.98461762313662,0.9728193179405822,"[[0.020146774261879746, 0.42096028271066505, 0.9068553070181581], [0.35085583015005134, 0.8463774243207891, -0.40068122248219434]]",16.726454443777016,0.9857589775296196,True,True,true,state_source,,,,,,,,,,,,,,,,,,,,
noise,79,1.0,1.0,1.0,1.3635721619022554,0.9656526925450217,0.45537122346851655,25.08524354636621,1.4700059665974603,0.3514469097977999,297.7132167489998,69.88632837740235,3.0211692127802894,0.004178708749599942,76.04880692285039,3.55372041568626,0.9139887405124681,0.2285274131815651,0.17811691431205576,0.7604946988182172,0.011687327335331192,0.01433535247307018,0.002184406726287317,0.6329113924050633,0.5063291139240507,0.0,1.0,False,False,not established,"[0.011659426095244197, 0.6195560145858611, 0.7848658500493021]","[0.0021377587728427902, 0.25748410261901034, 0.7403781386081466]",28.618481717146384,47.94536708390957,0.7403781386081467,"[0.0036739281026425155, 0.7069060603802485, 0.7072979033264365]","[0.006982985908141973, 0.3408905974411162, 0.6521264166507412]",35.63840080650212,46.515729781364115,0.6521264166507417,"[-0.01233519331786761, 0.6007502965850022, -0.7993415566319831]","[0.0002905361050965836, 0.2364774225682596, 0.7632320413266431]",27.243604709169762,47.532523430859854,0.7632320413266437,"[[-0.04825842504186664, 0.32685885265860415, 0.9438402485861574], [0.25425516175168594, 0.917833958082555, -0.30485264983781063]]","[0.1746300955225002, 0.8583924773308436, 0.9669774271466567]",20.91498573542557,81.64205105210708,0.9126849522387501,"[-0.0038027650776156804, -0.5893450164115516, -0.8078725088828268]",18.98461762313662,0.9728193179405822,"[[0.020146774261879746, 0.42096028271066505, 0.9068553070181581], [0.35085583015005134, 0.8463774243207891, -0.40068122248219434]]",16.726454443777016,0.9857589775296196,True,True,true,state_source,,,,,,,,,,,,,,,,,,,,
noise_bias,73,1.0,1.0,1.0,1.3712603142172013,0.9526712765439416,0.45382872824746157,23.79388474608617,1.7229064001616665,0.3891967157921094,337.1144465874517,58.690006171063445,3.0494249250138736,0.005150384376657646,73.86492176364676,4.952249546214118,0.9018768509607225,0.2424402487983294,0.19966631925495065,0.7897022125245653,0.011703790173865313,0.014355540782266028,0.0026197203244290425,0.589041095890411,0.547945205479452,0.0,1.0,False,False,not established,"[0.006806274849762647, 0.6626197488941823, 0.7489250583323277]","[0.0023388754339301126, 0.25412352306529795, 0.7435376015007723]",28.44256835891481,45.75430528892888,0.743537601500772,"[-0.0026825642973318667, 0.7417782154078987, 0.6706399056088624]","[0.006451933838714113, 0.29142724037672507, 0.7021208257845611]",31.81645638970785,47.963933457233765,0.7021208257845608,"[-0.006070244479609153, 0.6359448220411769, -0.7717106552659312]","[8.884828003341273e-05, 0.23897812485813585, 0.7609330268618303]",27.34158900876813,44.97674551166561,0.7609330268618306,"[[-0.05898369476492359, 0.371820823107586, 0.9264287340402799], [0.2566870949388585, 0.9024886761695051, -0.34586980885538987]]","[0.20101340430865428, 0.8439097557160381, 0.9550768399753071]",23.15440012741658,76.75148032157502,0.8994932978456727,"[-0.0038027650776156804, -0.5893450164115516, -0.8078725088828268]",18.98461762313662,0.9728193179405822,"[[0.020146774261879746, 0.42096028271066505, 0.9068553070181581], [0.35085583015005134, 0.8463774243207891, -0.40068122248219434]]",16.726454443777016,0.9857589775296196,True,True,true,state_source,,,,,,,,,,,,,,,,,,,,
parameter_mismatch_high_k,72,1.0,1.0,1.0,1.3775799235717476,0.9744062434990544,0.39842234009860866,23.40776775333771,1.625838841519587,0.35019253020643254,356.5609284459457,58.4480010757798,3.4431368870791745,0.0021417099069306732,153.10473069772814,5.084431993835375,0.9668181203705168,0.1345411328318789,0.14344522145096167,0.8395226601722119,0.004698776675378298,0.005763387788131639,0.0011715995693483815,0.4166666666666667,0.3333333333333333,0.0,1.0,False,False,not established,"[0.002064502815785899, 0.6423026062726863, 0.7664483673434485]","[1.4842613445220761e-05, 0.24542648772113956, 0.7545586696654154]",27.732495341562803,42.88994510667771,0.7545586696654152,"[0.003090397378962627, 0.708949368834724, 0.7052526085544715]","[0.0138440251047435, 0.27647051671994277, 0.7096854581753138]",31.194135114160517,52.095003153287855,0.7096854581753138,"[-0.0029530828002327044, 0.6430111645503179, -0.7658511092670816]","[1.784762987835335e-05, 0.24294975920174244, 0.7570323931683798]",27.580811751557718,42.83708602964897,0.7570323931683792,"[[0.25742768805852617, 0.7585227212396881, 0.5986436893378073], [0.505044783603801, 0.4225525701917311, -0.7525816181511162]]","[0.3539693379566944, 0.7407256127615697, 0.9053050492817359]",34.75326892248762,67.26756618960648,0.8230153310216528,"[-0.0038027650776156804, -0.5893450164115516, -0.8078725088828268]",18.98461762313662,0.9728193179405822,"[[0.020146774261879746, 0.42096028271066505, 0.9068553070181581], [0.35085583015005134, 0.8463774243207891, -0.40068122248219434]]",16.726454443777016,0.9857589775296196,True,True,true,state_source,,,,,,,,,,,,,,,,,,,,
parameter_mismatch_low_k,84,1.0,1.0,1.0,1.3795601145207874,0.9555355979629672,0.43312907204311835,26.16743116760987,1.3022203068129152,0.2800491732009004,491.0247893918472,93.30226165456696,3.2652986001633995,0.0015813592598544098,97.6210262305607,2.4252014742584773,0.9438806188111357,0.18139690215249377,0.1847348946818934,0.7714863566856003,0.005548383664791054,0.006805498642848887,0.000721809063936005,0.39285714285714285,0.39285714285714285,0.0,1.0,False,False,not established,"[0.0021837535228796806, 0.5182493813007144, 0.8552267594047663]","[1.211943748516554e-05, 0.255785900143868, 0.744201980418647]",28.326249938948244,51.495914744729774,0.7442019804186469,"[-0.007437643707910285, 0.5602030904477322, 0.828321905365833]","[0.010859314610377483, 0.3281434490902122, 0.6609972362994102]",35.14350208278737,66.14633564306422,0.6609972362994103,"[-0.0043261155680026815, 0.5206927772168392, -0.8537331646822133]","[6.135594764113975e-05, 0.25259002754950305, 0.7473486165028558]",28.126325899818312,51.336784737770884,0.7473486165028558,"[[-0.09259079579699316, 0.17795823230808858, 0.97967229831585], [0.47143769675791936, 0.8744622592132242, -0.11429022393578712]]","[0.24997177424388578, 0.8005030448439282, 0.9495251809121861]",28.510646846522903,73.9483263031516,0.8750141128780571,"[-0.0038027650776156804, -0.5893450164115516, -0.8078725088828268]",18.98461762313662,0.9728193179405822,"[[0.020146774261879746, 0.42096028271066505, 0.9068553070181581], [0.35085583015005134, 0.8463774243207891, -0.40068122248219434]]",16.726454443777016,0.9857589775296196,True,True,true,state_source,,,,,,,,,,,,,,,,,,,,
stronger_noise,90,1.0,1.0,1.0,1.406756662669403,0.9115721820511943,0.5164997951706749,26.084245876319198,2.2305310630377573,0.6484586741830971,235.85153189044553,30.781971015078796,2.822167994566893,0.00881290780127068,72.31297860824161,5.118308698283766,0.719494289150735,0.4309827535818983,0.4000914766499136,0.6208961114378354,0.016920428536731626,0.020754124634339108,0.0030854427644825422,0.6333333333333333,0.36666666666666664,0.0,1.0,False,False,not established,"[-0.0018226391785933751, 0.7687210761656454, 0.6395815702826005]","[0.00018402541585195686, 0.3520069770132673, 0.647808997570881]",34.96367392443865,79.83102685143187,0.6478089975708808,"[0.008000131981144883, 0.7737296381598442, 0.6334654251980298]","[0.0018736464193948026, 0.334502398670635, 0.6636239549099696]",34.26915646596132,73.31648290265932,0.66362395490997,"[-0.008701974504048974, 0.7542187433371945, -0.6565655815214455]","[0.0001788028104448799, 0.2754176666287379, 0.7244035305608172]",30.154811053819447,71.91335269391182,0.7244035305608172,"[[0.034241594444691444, 0.625265971757726, 0.7796601681320855], [0.036869757581137405, 0.7787962881627242, -0.6261924324996839]]","[0.0905671460424897, 0.9286550176292493, 0.9807778363282608]",11.896871531140306,49.39417273495336,0.954716426978755,"[-0.0038027650776156804, -0.5893450164115516, -0.8078725088828268]",18.98461762313662,0.9728193179405822,"[[0.020146774261879746, 0.42096028271066505, 0.9068553070181581], [0.35085583015005134, 0.8463774243207891, -0.40068122248219434]]",16.726454443777016,0.9857589775296196,True,True,true,state_source,,,,,,,,,,,,,,,,,,,,
overall,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paired,paired_difference,-0.0056825859247085775,-2.4040032708049974,0.03678059441479675,0.0016184709301296785,2.9544050974478036,8.349558411943496,-0.06901408450704226,0.36619718309859156,-0.0092944032837853,-0.023293199483267704,0.7518299844137778,0.7122262297134629,-0.03960375470031485,0.8126339420054689,0.8895181131474145,0.07688417114194557,True,True,False,True
clean,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paired,paired_difference,-0.0028912994930889143,-14.494713115183814,0.09297856460466347,0.0012478310797360281,2.6799835540950636,8.603646732705036,-0.28,0.4,-0.00031317653095777045,-0.013652950349888043,0.7953150867346805,0.7613834984305952,-0.03393158830408538,0.8113755482174507,0.8819178894837791,0.07054234126632841,True,True,False,True
initial_theta_offset,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paired,paired_difference,-0.0013348694396701785,-10.25616798875285,0.07438581973572234,0.0020964271577159632,2.3062530227707274,3.0117320012554956,0.27586206896551724,0.3793103448275862,-0.010650223096985245,-0.008750310057191877,0.7190159718650297,0.7101744945991266,-0.00884147726590312,0.8214079426302658,0.8841507025148181,0.06274275988455225,True,True,False,True
mass_mismatch,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paired,paired_difference,-0.0006954228032510245,-3.395456219603238,0.0056560630172590234,0.013371512185076723,3.1387263964313377,27.317354228180392,0.26,0.22,-0.06807191982146676,-0.02010525144059823,0.742002296130038,0.7344718176662107,-0.0075304784638272615,0.791875253898125,0.9229255492610806,0.13105029536295565,True,True,False,True
noise,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paired,paired_difference,-0.043449272009362126,8.282662498103548,0.0718562024397249,-0.0017684711584491364,4.10987934108778,11.08714093876307,-0.3670886075949367,0.5063291139240507,-0.009090058974127048,-0.12651030726953205,0.8119129491039399,0.7403781386081467,-0.07153481049579313,0.879021631217654,0.9126849522387501,0.03366332102109615,True,True,False,True
noise_bias,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paired,paired_difference,-0.04413095973498053,3.874568154330859,0.07301005534908533,-0.001606508827776132,3.229648590432807,10.852319489160225,-0.410958904109589,0.547945205479452,-0.0041815555926074666,-0.10408419604541067,0.80495834970523,0.743537601500772,-0.061420748204457976,0.870382402863259,0.8994932978456727,0.029110894982413704,True,True,False,True
parameter_mismatch_high_k,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paired,paired_difference,-0.0003390646200435547,2.05114479733815,0.013453966014280727,0.00012486984197757067,1.8151716529783162,4.89261938864793,0.0,0.25,0.00033091382321846037,-0.001762278357642704,0.7635926354121088,0.7545586696654152,-0.009033965746693573,0.7950466872448174,0.8230153310216528,0.02796864377683539,True,True,False,True
parameter_mismatch_low_k,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paired,paired_difference,-0.005136700953407514,-11.813429611256282,0.10065452962363342,0.0028644397522307186,3.6610575148613513,8.387847655692253,-0.21428571428571427,0.39285714285714285,-0.00045116089964536426,-0.017856803681260542,0.7648251868858826,0.7442019804186469,-0.0206232064672357,0.8141845606544984,0.8750141128780571,0.06082955222355868,True,True,False,True
stronger_noise,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paired,paired_difference,-0.07736054826860606,-0.9705444682216786,0.09557180432418455,0.0026113534707316033,8.535397615107218,4.838543886816268,-0.15555555555555556,0.36666666666666664,-0.03594728568472376,-0.18798821520055284,0.8238561624185805,0.6478089975708808,-0.17604716484769967,0.933357854160281,0.954716426978755,0.021358572818473975,True,True,False,True
