case,name,population_prior,registered_true,final_last_valid,absolute_error,normalized_error_fraction_of_span
ideal_200hz,a_inertia_combination,1.4508174768147026,1.7741460474323272,1.4777723794060773,-0.29637366802624987,-0.20428046447092976
ideal_200hz,b_distal_inertia_combination,0.19868084092008,0.22838318214899916,0.24292486722373338,0.014541685074734217,0.07319117941816873
ideal_200hz,d_mass_length_com_combination,0.338787595728,0.39467009468618813,0.3498480127179261,-0.04482208196826204,-0.13230142582979346
ideal_200hz,g1_proximal_gravity_combination,33.064998596820004,38.48377520184592,36.91917908724877,-1.5645961145971512,-0.047318801784181075
ideal_200hz,g2_distal_gravity_combination,7.607366586,8.360556736946688,8.032095116153327,-0.3284616207933606,-0.043176783592608195
ideal_200hz,k1_passive_stiffness,10.0,11.5,11.031589524596555,-0.46841047540344505,-0.0468410475403445
ideal_200hz,k2_passive_stiffness,10.0,11.5,11.099624523086778,-0.4003754769132222,-0.040037547691322214
ideal_200hz,rho1_stiffness_rest_combination,0.8726646259971648,0.6021385919380436,0.6400488148852893,0.037910222947245664,0.008688383101108726
ideal_200hz,rho2_stiffness_rest_combination,1.7453292519943295,2.6092672317315224,2.615712811808679,0.006445580077156787,0.0012310151164489714
ideal_200hz,bv1_viscous_damping,5.0,5.0,5.4833298405573965,0.4833298405573965,0.09666596811147929
ideal_200hz,bv2_viscous_damping,5.0,5.0,4.898815736682012,-0.1011842633179878,-0.02023685266359756
noise_200hz,a_inertia_combination,1.4508174768147026,1.7741460474323272,1.384804188786388,-0.3893418586459392,-0.2683603312394241
noise_200hz,b_distal_inertia_combination,0.19868084092008,0.22838318214899916,0.22796912076459191,-0.0004140613844072494,-0.002084052908623468
noise_200hz,d_mass_length_com_combination,0.338787595728,0.39467009468618813,0.34011273863547975,-0.05455735605070838,-0.16103705312313282
noise_200hz,g1_proximal_gravity_combination,33.064998596820004,38.48377520184592,36.074947810802996,-2.4088273910429265,-0.07285127758253084
noise_200hz,g2_distal_gravity_combination,7.607366586,8.360556736946688,8.31069060033757,-0.04986613660911843,-0.006554980103218392
noise_200hz,k1_passive_stiffness,10.0,11.5,10.567805142516436,-0.9321948574835641,-0.09321948574835641
noise_200hz,k2_passive_stiffness,10.0,11.5,11.05339316226187,-0.4466068377381305,-0.04466068377381305
noise_200hz,rho1_stiffness_rest_combination,0.8726646259971648,0.6021385919380436,1.0096467312170183,0.40750813927897467,0.09339398599165831
noise_200hz,rho2_stiffness_rest_combination,1.7453292519943295,2.6092672317315224,2.275433389092609,-0.3338338426389136,-0.06375756747281404
noise_200hz,bv1_viscous_damping,5.0,5.0,5.157786219332307,0.15778621933230674,0.031557243866461346
noise_200hz,bv2_viscous_damping,5.0,5.0,4.8473688961852845,-0.15263110381471545,-0.03052622076294309
noise_bias_drift_200hz,a_inertia_combination,1.4508174768147026,1.7741460474323272,1.4072929525102615,-0.36685309492206564,-0.25285957798599074
noise_bias_drift_200hz,b_distal_inertia_combination,0.19868084092008,0.22838318214899916,0.2046412661476824,-0.023741916001316754,-0.11949776280072728
noise_bias_drift_200hz,d_mass_length_com_combination,0.338787595728,0.39467009468618813,0.34485461027899206,-0.049815484407196076,-0.14704046144355026
noise_bias_drift_200hz,g1_proximal_gravity_combination,33.064998596820004,38.48377520184592,33.61141160798017,-4.8723635938657495,-0.14735713898788264
