condition,n_runs,n_windows,exact_rank3_fraction,affine_rank3_fraction,exact_conditional_lambda_information_abs_median,affine_conditional_lambda_information_abs_median,exact_to_affine_conditional_lambda_information_ratio_median,exact_to_affine_conditional_lambda_information_ratio_p95,exact_affine_physical_weak_direction_angle_deg_median,exact_affine_physical_weak_direction_angle_deg_p95,half_step_relative_discrepancy_median,half_step_max_column_relative_discrepancy_p95,half_step_max_column_relative_discrepancy_max,numerical_derivative_stable_fraction,fit_optimizer_estimator_identifier_controller_invoked_fraction,exact_physical_scaled_weighted_sigma_1_median,affine_physical_scaled_weighted_sigma_1_median,exact_physical_scaled_weighted_sigma_2_median,affine_physical_scaled_weighted_sigma_2_median,exact_physical_scaled_weighted_sigma_3_median,affine_physical_scaled_weighted_sigma_3_median
clean,3,75,1.0,1.0,3276.528394655825,3.8422028057609063,724.7581469286536,849.595946011659,0.2584035459075179,3.213397513211601,4.680074208528322e-11,1.4112671914310018e-07,1.4720758654214202e-07,1.0,0.0,69.75704984354394,24.62460439360284,17.220393734113955,1.6958115740925366,0.7941013107842745,0.3327262176590347
initial_theta_offset,3,87,1.0,1.0,3435.8027399755283,4.1416045073141685,713.2054282999729,833.6146907519146,0.38080152197600975,3.9256758614511567,4.6589665925108934e-11,2.5700409715768087e-07,3.5119867912132423e-07,1.0,0.0,69.92034915708032,24.753265981843896,14.556425060333309,2.0814354356547633,0.7708787766820075,0.32584585780676273
noise,3,79,1.0,1.0,2943.768378725644,3.55372041568626,694.2036063865513,830.7698246534214,0.4263432533147522,6.240999777969533,4.958280772534004e-11,8.439167605378803e-08,1.6892272833208133e-07,1.0,0.0,69.71687333903542,25.08524354636621,14.720328309374313,1.4700059665974603,0.8429374577015597,0.3514469097977999
noise_bias,3,73,1.0,1.0,4068.8429434769096,4.952249546214118,693.5365378964425,830.4796200612402,0.39014845016126576,4.340590886261797,4.63063199905693e-11,7.393955185416184e-08,1.329431119563881e-07,1.0,0.0,69.81077587454976,23.79388474608617,17.086635498313175,1.7229064001616665,0.9465341806553894,0.3891967157921094
stronger_noise,3,90,1.0,1.0,1596.2718608517846,5.118308698283766,562.3209879771359,790.6442386333482,2.653273255754983,49.049742186406846,6.106013190433655e-11,1.0205760675069563e-08,2.103224260845636e-08,1.0,0.0,70.42189118320482,26.084245876319198,27.17650736641725,2.2305310630377573,1.743153917608311,0.6484586741830971
mass_mismatch,3,150,1.0,1.0,122.37676359923086,0.16404873500288672,687.4025034656959,775.5381380339485,1.7529447450933062,35.02183460417525,1.563702513754793e-10,1.6230993202137208e-05,2.412165548492175e-05,1.0,0.0,69.89302409115689,29.118597602182085,10.971026590100411,0.4020430067875851,0.20900490886960132,0.08955110616993688
parameter_mismatch_low_k,3,84,1.0,1.0,2053.2858241608387,2.4252014742584773,711.9615211265964,846.7718434970437,0.3103406781832244,1.0959476614878743,6.199626574905439e-11,5.066518002890156e-07,5.092127373140408e-07,1.0,0.0,69.8837288588658,26.16743116760987,12.65584189935306,1.3022203068129152,0.6591997323440356,0.2800491732009004
parameter_mismatch_high_k,3,72,1.0,1.0,4307.436326905277,5.084431993835375,723.1892579113621,852.8626080615817,0.3350652340371001,1.5852695818107367,3.996621962787198e-11,1.5781582330860947e-07,2.0518424464691422e-07,1.0,0.0,71.06871728620058,23.40776775333771,17.515925540981577,1.625838841519587,0.8449701171675352,0.35019253020643254
overall,24,710,1.0,1.0,2368.5842457585695,3.375351933781725,689.1966053122627,839.812920602813,0.4719642209483804,20.459325885804002,5.31380941634004e-11,7.774834292768145e-07,2.412165548492175e-05,1.0,0.0,69.89227771594804,25.958693846959015,16.368935678015788,1.6806775930270297,0.8594768305376614,0.3438885862687065
