condition,seed,update_index,step,time,window_start,window_end,solver_success,solver_status,iterations,solve_time_s,lambda_hat,m_hat,current_state_error,full_window_state_rmse,alpha_prediction_error,arrival_prior_error_shifted_previous,warm_start_to_final_rms,process_residual_rms,process_residual_max,state_bound_hits,parameter_bound_hit,current_is_final_window_state,fallback_applied,failed_solution_handling_ok,arrival_shift_consistent,deque_alignment_ok,control_measurement_alignment_ok,measurement_cost,process_cost,arrival_cost,parameter_prior_cost,total_cost,abnormal
clean,101,21,210,2.1,140,210,False,The maximum number of function evaluations is exceeded.,45,2.2581712909886846,0.8332591178672296,1.2001068797897494,1.840310870819368,nan,9.330461025250658,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,101,22,220,2.2,150,220,False,The maximum number of function evaluations is exceeded.,45,2.274479125000653,0.8332591178672296,1.2001068797897494,3.0639659160298245,nan,14.357775619938028,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,101,23,230,2.3000000000000003,160,230,True,`ftol` termination condition is satisfied.,26,3.6212753750005504,0.922117921168737,1.0844599991425732,0.015336944284485999,0.013824808673146173,-0.00729369499765653,nan,0.01414681555325107,1.1068588427629513e-05,3.2858183604767e-05,0.0,False,True,False,True,True,True,True,0.010786309068282436,2.131430288002712e-05,6.548836033846926e-05,3.9479434620879926e-06,0.010877059674963021,False
clean,101,24,240,2.4,170,240,False,The maximum number of function evaluations is exceeded.,45,2.3262548750062706,0.922117921168737,1.0844599991425732,0.014805571529808461,nan,0.03386680859349539,0.0,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,101,25,250,2.5,180,250,False,The maximum number of function evaluations is exceeded.,45,2.2842694589926396,0.922117921168737,1.0844599991425732,0.017082557661071748,nan,0.04410012354468529,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,101,26,260,2.6,190,260,True,Both `ftol` and `xtol` termination conditions are satisfied.,19,1.0852653750043828,0.9963063377440442,1.0037073559767966,0.012231250827209822,0.010510463093469579,-0.008552689793271673,nan,0.010977981223509797,8.80542949653841e-06,2.6597557758412105e-05,0.0,False,True,False,True,True,True,True,0.0035665200190519828,1.1475434500578274e-05,6.737027495188261e-06,2.7519605769756555e-06,0.003587484441624725,False
clean,101,27,270,2.7,200,270,False,The maximum number of function evaluations is exceeded.,45,2.3497717499994906,0.9963063377440442,1.0037073559767966,0.010949016953345759,nan,0.0014317608727484887,0.0,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,101,28,280,2.8000000000000003,210,280,False,The maximum number of function evaluations is exceeded.,45,2.407295915996656,0.9963063377440442,1.0037073559767966,0.009364569530480732,nan,0.0183875146288804,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,101,29,290,2.9,220,290,False,The maximum number of function evaluations is exceeded.,45,2.3653892500005895,0.9963063377440442,1.0037073559767966,0.01290396800708009,nan,0.046058013620457056,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,101,30,300,3.0,230,300,True,`xtol` termination condition is satisfied.,33,1.792085583001608,1.0353653745929898,0.9658426141526201,0.002573073627627661,0.003951755826470838,-0.010485298414568064,nan,0.005214643931781526,3.164757170111893e-06,1.021949336332817e-05,0.0,False,True,False,True,True,True,True,0.0003635790208677463,1.425028190000216e-06,1.982056216459186e-06,7.62804179783646e-07,0.0003677489094539894,False
clean,101,31,310,3.1,240,310,False,The maximum number of function evaluations is exceeded.,45,2.3436064169945894,1.0353653745929898,0.9658426141526201,0.0009520957848327742,nan,-0.02246580396380836,0.0,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,102,1,10,0.1,0,10,True,Both `ftol` and `xtol` termination conditions are satisfied.,29,0.2671843329881085,0.8332434697296643,1.2001294175451958,0.0013935813926000938,0.00109608802216618,-0.06302969049210017,nan,0.0042850426380703945,1.3762066347805794e-07,4.0239943413164503e-07,0.0,False,True,False,True,True,True,True,3.572557891522397e-05,9.096025257865164e-09,7.647575652454868e-08,2.4065571233059607e-05,5.987672193006599e-05,False
clean,102,2,20,0.2,0,20,False,The maximum number of function evaluations is exceeded.,45,0.7788359169935575,0.8332434697296643,1.2001294175451958,0.0022047199276909635,nan,0.024568640399025288,0.0,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,102,3,30,0.3,0,30,False,The maximum number of function evaluations is exceeded.,45,1.1538219999929424,0.8332434697296643,1.2001294175451958,0.0007607990431751322,nan,-0.0013557433836686172,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,102,4,40,0.4,0,40,False,The maximum number of function evaluations is exceeded.,45,1.3870042500057025,0.8332434697296643,1.2001294175451958,0.0026557885746203826,nan,0.025613907191662122,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,102,5,50,0.5,0,50,True,`xtol` termination condition is satisfied.,16,0.6703815420041792,0.8332591178672296,1.2001068797897494,0.0013387075682153192,0.0009913721438801987,-0.003394198526624148,nan,0.0072321300323008415,2.0484834509646225e-07,7.023342268475813e-07,0.0,False,True,False,True,True,True,True,8.992264072173101e-05,2.249848197854618e-07,6.886374175067747e-09,1.2243210463083403e-13,9.015451203812364e-05,False
clean,102,6,60,0.6,0,60,False,The maximum number of function evaluations is exceeded.,45,1.9792930420080665,0.8332591178672296,1.2001068797897494,0.0019415651135960593,nan,0.00337513259046629,0.0,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,102,7,70,0.7000000000000001,0,70,False,The maximum number of function evaluations is exceeded.,45,2.3026402500108816,0.8332591178672296,1.2001068797897494,0.0034635354935195727,nan,-0.025381242589095354,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,102,8,80,0.8,10,80,False,The maximum number of function evaluations is exceeded.,45,2.2850737080007093,0.8332591178672296,1.2001068797897494,0.0031669995371118084,nan,0.03982991928705992,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,102,9,90,0.9,20,90,False,The maximum number of function evaluations is exceeded.,45,2.293943249998847,0.8332591178672296,1.2001068797897494,0.005335862837846302,nan,-0.04174082599945894,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,102,10,100,1.0,30,100,False,The maximum number of function evaluations is exceeded.,45,2.2848982920113485,0.8332591178672296,1.2001068797897494,0.007927737311205432,nan,0.038977604377143926,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,102,11,110,1.1,40,110,False,The maximum number of function evaluations is exceeded.,45,2.279907624993939,0.8332591178672296,1.2001068797897494,0.00932775348868528,nan,0.026134659018506312,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,102,12,120,1.2,50,120,False,The maximum number of function evaluations is exceeded.,45,2.2840296250069514,0.8332591178672296,1.2001068797897494,0.012162921902363061,nan,0.04990261057413736,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,102,13,130,1.3,60,130,False,The maximum number of function evaluations is exceeded.,45,2.299305541004287,0.8332591178672296,1.2001068797897494,0.018526917689407403,nan,0.0763024425165959,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,102,14,140,1.4000000000000001,70,140,False,The maximum number of function evaluations is exceeded.,45,2.3082714170013787,0.8332591178672296,1.2001068797897494,0.031909250828446575,nan,0.1780324709467207,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,102,15,150,1.5,80,150,False,The maximum number of function evaluations is exceeded.,45,2.2984582080098335,0.8332591178672296,1.2001068797897494,0.057558725816618334,nan,0.33025263238644076,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,102,16,160,1.6,90,160,False,The maximum number of function evaluations is exceeded.,45,2.2990835000091465,0.8332591178672296,1.2001068797897494,0.10399868938197876,nan,0.5802397021019701,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,102,17,170,1.7,100,170,False,The maximum number of function evaluations is exceeded.,45,2.297535624995362,0.8332591178672296,1.2001068797897494,0.1873726310265812,nan,1.0637755647124436,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,102,18,180,1.8,110,180,False,The maximum number of function evaluations is exceeded.,45,2.2955122080020374,0.8332591178672296,1.2001068797897494,0.3385328574151346,nan,1.9066679904969686,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,102,19,190,1.9000000000000001,120,190,False,The maximum number of function evaluations is exceeded.,45,2.278806625006837,0.8332591178672296,1.2001068797897494,0.6061796822999591,nan,3.346317991887343,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,102,20,200,2.0,130,200,False,The maximum number of function evaluations is exceeded.,45,2.282357250005589,0.8332591178672296,1.2001068797897494,1.0687348082895722,nan,5.70332060677024,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,102,21,210,2.1,140,210,False,The maximum number of function evaluations is exceeded.,45,2.2770426670031156,0.8332591178672296,1.2001068797897494,1.840310870819368,nan,9.330461025250658,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,102,22,220,2.2,150,220,False,The maximum number of function evaluations is exceeded.,45,2.268806542007951,0.8332591178672296,1.2001068797897494,3.0639659160298245,nan,14.357775619938028,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,102,23,230,2.3000000000000003,160,230,True,`ftol` termination condition is satisfied.,26,3.6385112079879036,0.922117921168737,1.0844599991425732,0.015336944284485999,0.013824808673146173,-0.00729369499765653,nan,0.01414681555325107,1.1068588427629513e-05,3.2858183604767e-05,0.0,False,True,False,True,True,True,True,0.010786309068282436,2.131430288002712e-05,6.548836033846926e-05,3.9479434620879926e-06,0.010877059674963021,False
clean,102,24,240,2.4,170,240,False,The maximum number of function evaluations is exceeded.,45,2.3755025419959566,0.922117921168737,1.0844599991425732,0.014805571529808461,nan,0.03386680859349539,0.0,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,102,25,250,2.5,180,250,False,The maximum number of function evaluations is exceeded.,45,2.305406125000445,0.922117921168737,1.0844599991425732,0.017082557661071748,nan,0.04410012354468529,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,102,26,260,2.6,190,260,True,Both `ftol` and `xtol` termination conditions are satisfied.,19,1.0837747079931432,0.9963063377440442,1.0037073559767966,0.012231250827209822,0.010510463093469579,-0.008552689793271673,nan,0.010977981223509797,8.80542949653841e-06,2.6597557758412105e-05,0.0,False,True,False,True,True,True,True,0.0035665200190519828,1.1475434500578274e-05,6.737027495188261e-06,2.7519605769756555e-06,0.003587484441624725,False
clean,102,27,270,2.7,200,270,False,The maximum number of function evaluations is exceeded.,45,2.3562284579966217,0.9963063377440442,1.0037073559767966,0.010949016953345759,nan,0.0014317608727484887,0.0,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,102,28,280,2.8000000000000003,210,280,False,The maximum number of function evaluations is exceeded.,45,2.3846048330015037,0.9963063377440442,1.0037073559767966,0.009364569530480732,nan,0.0183875146288804,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,102,29,290,2.9,220,290,False,The maximum number of function evaluations is exceeded.,45,2.3731728749989998,0.9963063377440442,1.0037073559767966,0.01290396800708009,nan,0.046058013620457056,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,102,30,300,3.0,230,300,True,`xtol` termination condition is satisfied.,33,1.7912299589952454,1.0353653745929898,0.9658426141526201,0.002573073627627661,0.003951755826470838,-0.010485298414568064,nan,0.005214643931781526,3.164757170111893e-06,1.021949336332817e-05,0.0,False,True,False,True,True,True,True,0.0003635790208677463,1.425028190000216e-06,1.982056216459186e-06,7.62804179783646e-07,0.0003677489094539894,False
clean,102,31,310,3.1,240,310,False,The maximum number of function evaluations is exceeded.,45,2.376624249998713,1.0353653745929898,0.9658426141526201,0.0009520957848327742,nan,-0.02246580396380836,0.0,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,103,1,10,0.1,0,10,True,Both `ftol` and `xtol` termination conditions are satisfied.,29,0.26932766698882915,0.8332434697296643,1.2001294175451958,0.0013935813926000938,0.00109608802216618,-0.06302969049210017,nan,0.0042850426380703945,1.3762066347805794e-07,4.0239943413164503e-07,0.0,False,True,False,True,True,True,True,3.572557891522397e-05,9.096025257865164e-09,7.647575652454868e-08,2.4065571233059607e-05,5.987672193006599e-05,False
clean,103,2,20,0.2,0,20,False,The maximum number of function evaluations is exceeded.,45,0.7880623749952065,0.8332434697296643,1.2001294175451958,0.0022047199276909635,nan,0.024568640399025288,0.0,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,103,3,30,0.3,0,30,False,The maximum number of function evaluations is exceeded.,45,1.1583618750009919,0.8332434697296643,1.2001294175451958,0.0007607990431751322,nan,-0.0013557433836686172,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,103,4,40,0.4,0,40,False,The maximum number of function evaluations is exceeded.,45,1.384843167004874,0.8332434697296643,1.2001294175451958,0.0026557885746203826,nan,0.025613907191662122,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,103,5,50,0.5,0,50,True,`xtol` termination condition is satisfied.,16,0.6633575000014389,0.8332591178672296,1.2001068797897494,0.0013387075682153192,0.0009913721438801987,-0.003394198526624148,nan,0.0072321300323008415,2.0484834509646225e-07,7.023342268475813e-07,0.0,False,True,False,True,True,True,True,8.992264072173101e-05,2.249848197854618e-07,6.886374175067747e-09,1.2243210463083403e-13,9.015451203812364e-05,False
clean,103,6,60,0.6,0,60,False,The maximum number of function evaluations is exceeded.,45,1.9818628749926575,0.8332591178672296,1.2001068797897494,0.0019415651135960593,nan,0.00337513259046629,0.0,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,103,7,70,0.7000000000000001,0,70,False,The maximum number of function evaluations is exceeded.,45,2.3035782919905614,0.8332591178672296,1.2001068797897494,0.0034635354935195727,nan,-0.025381242589095354,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,103,8,80,0.8,10,80,False,The maximum number of function evaluations is exceeded.,45,2.2877540420013247,0.8332591178672296,1.2001068797897494,0.0031669995371118084,nan,0.03982991928705992,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,103,9,90,0.9,20,90,False,The maximum number of function evaluations is exceeded.,45,2.3010696249984903,0.8332591178672296,1.2001068797897494,0.005335862837846302,nan,-0.04174082599945894,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,103,10,100,1.0,30,100,False,The maximum number of function evaluations is exceeded.,45,2.2902982920059003,0.8332591178672296,1.2001068797897494,0.007927737311205432,nan,0.038977604377143926,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,103,11,110,1.1,40,110,False,The maximum number of function evaluations is exceeded.,45,2.2865279170073336,0.8332591178672296,1.2001068797897494,0.00932775348868528,nan,0.026134659018506312,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,103,12,120,1.2,50,120,False,The maximum number of function evaluations is exceeded.,45,2.2883325409929967,0.8332591178672296,1.2001068797897494,0.012162921902363061,nan,0.04990261057413736,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,103,13,130,1.3,60,130,False,The maximum number of function evaluations is exceeded.,45,2.2918071250023786,0.8332591178672296,1.2001068797897494,0.018526917689407403,nan,0.0763024425165959,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,103,14,140,1.4000000000000001,70,140,False,The maximum number of function evaluations is exceeded.,45,2.3020869580068393,0.8332591178672296,1.2001068797897494,0.031909250828446575,nan,0.1780324709467207,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,103,15,150,1.5,80,150,False,The maximum number of function evaluations is exceeded.,45,2.3041727090021595,0.8332591178672296,1.2001068797897494,0.057558725816618334,nan,0.33025263238644076,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,103,16,160,1.6,90,160,False,The maximum number of function evaluations is exceeded.,45,2.2985288329946343,0.8332591178672296,1.2001068797897494,0.10399868938197876,nan,0.5802397021019701,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,103,17,170,1.7,100,170,False,The maximum number of function evaluations is exceeded.,45,2.2920951249980135,0.8332591178672296,1.2001068797897494,0.1873726310265812,nan,1.0637755647124436,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
