condition,seed,update_index,step,time,window_start,window_end,solver_success,solver_status,iterations,solve_time_s,lambda_hat,m_hat,current_state_error,full_window_state_rmse,alpha_prediction_error,arrival_prior_error_shifted_previous,warm_start_to_final_rms,process_residual_rms,process_residual_max,state_bound_hits,parameter_bound_hit,current_is_final_window_state,fallback_applied,failed_solution_handling_ok,arrival_shift_consistent,deque_alignment_ok,control_measurement_alignment_ok,measurement_cost,process_cost,arrival_cost,parameter_prior_cost,total_cost,abnormal,event_role
initial_theta_offset,102,2,20,0.2,0,20,True,`xtol` termination condition is satisfied.,41,0.7438287499971921,0.8334071666027584,1.1998936895111292,0.001791499035184712,0.0005880157015792837,-0.012229273959596387,0.0,0.027116674637589752,9.672644875513973e-08,2.5917323849544704e-07,0.0,False,True,False,True,True,True,True,2.189023159735914e-05,9.394886267971918e-09,1.6799642059470954e-08,7.092352076353826e-11,2.1916497049207347e-05,False,context
initial_theta_offset,102,3,30,0.3,0,30,True,`xtol` termination condition is satisfied.,29,0.7775214159919415,0.8333883129351625,1.1999208345963448,0.0013613237124788422,0.0008025703347929606,0.00848083033179714,0.0,0.02532172467700647,1.5869806446845713e-07,5.229401481357532e-07,0.0,False,True,False,True,True,True,True,7.907776144605748e-05,4.5895603959067665e-08,6.966631729382875e-10,1.7773039090850208e-13,7.912435389091987e-05,False,context
initial_theta_offset,102,4,40,0.4,0,40,False,The maximum number of function evaluations is exceeded.,45,1.3795870000030845,0.8333883129351625,1.1999208345963448,0.0006176137223131847,nan,-0.03131986161417499,0.0,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True,first_divergence
initial_theta_offset,102,5,50,0.5,0,50,True,`xtol` termination condition is satisfied.,32,1.2376157499966212,0.8334097757377269,1.1998899330342134,0.0016435391609291958,0.0009592407689173841,0.017021439270861638,nan,0.024044654556375125,2.6789638608226085e-07,7.709675922118464e-07,0.0,False,True,False,True,True,True,True,0.00021170655668656242,1.8913629750593844e-07,2.6976171959748685e-10,2.3032594695988257e-13,0.00021189596297611392,False,context
initial_theta_offset,102,6,60,0.6,0,60,False,The maximum number of function evaluations is exceeded.,45,1.9955642499990063,0.8334097757377269,1.1998899330342134,0.003878680121705132,nan,-0.008947597530567286,0.0,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True,context
initial_theta_offset,103,2,20,0.2,0,20,True,`xtol` termination condition is satisfied.,41,0.7411362910061143,0.8334071666027584,1.1998936895111292,0.001791499035184712,0.0005880157015792837,-0.012229273959596387,0.0,0.027116674637589752,9.672644875513973e-08,2.5917323849544704e-07,0.0,False,True,False,True,True,True,True,2.189023159735914e-05,9.394886267971918e-09,1.6799642059470954e-08,7.092352076353826e-11,2.1916497049207347e-05,False,context
initial_theta_offset,103,3,30,0.3,0,30,True,`xtol` termination condition is satisfied.,29,0.7745979169994825,0.8333883129351625,1.1999208345963448,0.0013613237124788422,0.0008025703347929606,0.00848083033179714,0.0,0.02532172467700647,1.5869806446845713e-07,5.229401481357532e-07,0.0,False,True,False,True,True,True,True,7.907776144605748e-05,4.5895603959067665e-08,6.966631729382875e-10,1.7773039090850208e-13,7.912435389091987e-05,False,context
initial_theta_offset,103,4,40,0.4,0,40,False,The maximum number of function evaluations is exceeded.,45,1.3778704160067718,0.8333883129351625,1.1999208345963448,0.0006176137223131847,nan,-0.03131986161417499,0.0,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True,first_divergence
initial_theta_offset,103,5,50,0.5,0,50,True,`xtol` termination condition is satisfied.,32,1.2414539160090499,0.8334097757377269,1.1998899330342134,0.0016435391609291958,0.0009592407689173841,0.017021439270861638,nan,0.024044654556375125,2.6789638608226085e-07,7.709675922118464e-07,0.0,False,True,False,True,True,True,True,0.00021170655668656242,1.8913629750593844e-07,2.6976171959748685e-10,2.3032594695988257e-13,0.00021189596297611392,False,context
initial_theta_offset,103,6,60,0.6,0,60,False,The maximum number of function evaluations is exceeded.,45,1.9977852910087677,0.8334097757377269,1.1998899330342134,0.003878680121705132,nan,-0.008947597530567286,0.0,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True,context
noise,101,1,10,0.1,0,10,False,The maximum number of function evaluations is exceeded.,45,0.40017158299451694,1.0526315789473684,0.9500000000000001,0.7983932931637874,nan,7.78916370967902,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True,first_divergence
noise,101,2,20,0.2,0,20,False,The maximum number of function evaluations is exceeded.,45,0.7857819170021685,1.0526315789473684,0.9500000000000001,1.6394968319590975,nan,7.995446509764358,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True,context
noise,101,3,30,0.3,0,30,False,The maximum number of function evaluations is exceeded.,45,1.126533541988465,1.0526315789473684,0.9500000000000001,2.469289947400161,nan,8.070532584713824,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True,context
noise,102,1,10,0.1,0,10,False,The maximum number of function evaluations is exceeded.,45,0.4127235420019133,1.0526315789473684,0.9500000000000001,0.9221288158257965,nan,7.565167037934139,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True,first_divergence
noise,102,2,20,0.2,0,20,False,The maximum number of function evaluations is exceeded.,45,0.8170943749864819,1.0526315789473684,0.9500000000000001,1.8039166177012078,nan,8.678999895881368,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True,context
noise,102,3,30,0.3,0,30,False,The maximum number of function evaluations is exceeded.,45,1.1630552919959882,1.0526315789473684,0.9500000000000001,2.7154062722405725,nan,9.350555165383795,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True,context
noise,103,1,10,0.1,0,10,True,Both `ftol` and `xtol` termination conditions are satisfied.,27,0.2512994999997318,0.8404587677886525,1.1898263642737879,0.012335858108414435,0.004900017426411514,0.24595579471178297,nan,0.03169956402450514,1.2568661720639975e-06,4.57607141704508e-06,0.0,False,True,False,True,True,True,True,0.0007402993858377707,5.942943064159144e-08,2.355504019105679e-06,2.250865089749605e-05,0.000765222970185014,False,context
