solver_type,condition,target_reached,final_theta_deg,T_reach,max_abs_F_rad,max_abs_delta_r,max_abs_omega,max_abs_alpha_step,max_abs_F_tan,feasible_mpc_decisions,total_mpc_decisions,feasible_mpc_decision_ratio,mean_candidate_feasible_ratio,omega_violation_count,alpha_violation_count,done_reason,runtime_s
random_shooting,clean,False,89.92871114126763,nan,0.7355176844127158,0.012071019861621235,1.8944351347105883,15.16407150697584,9.144956993025556,220,267,0.8239700374531835,0.004291510611735331,56,79,max_time,59.6216964579653
random_shooting,noise,True,90.9116076818305,1.8800000000000014,0.9957620744347516,0.011935762412976225,2.0345501291079904,50.30622592789716,9.2063727289303,1,63,0.015873015873015872,8.267195767195767e-05,58,91,target_reached,14.648948707967065
random_shooting,noise_bias,True,90.0516506216676,1.8300000000000014,1.0,0.012244792151876516,1.7885476580867752,44.119265835321684,9.439771169438227,0,61,0.0,0.0,31,92,target_reached,13.916897332994267
cem,clean,True,90.07009804455394,2.0400000000000005,0.8111186805543643,0.011669650259969355,1.596524798242823,11.071127403206015,8.066946866492385,0,68,0.0,0.0,16,76,target_reached,30.21790587506257
cem,noise,True,91.40221587557045,1.350000000000001,0.8096104931276599,0.01050188750133002,3.8703388002383665,61.735912819438354,11.219567625427604,0,45,0.0,0.0,44,73,target_reached,19.571365542011335
cem,noise_bias,True,90.12212579830368,3.2199999999999753,0.7087302975094822,0.012001777005701708,2.614595690197909,40.43578011654856,11.707216051024433,10,108,0.09259259259259259,0.00024112654320987653,60,145,target_reached,47.550368750002235
